lat_long,school
"1.30530945, 103.90044091611762",TANJONG KATONG PRIMARY SCHOOL
"1.30492865, 103.91114509667042",TAO NAN SCHOOL
"1.36536405, 103.85093696575059",TECK GHEE PRIMARY SCHOOL
"1.3838682, 103.75364438639032",TECK WHYE PRIMARY SCHOOL
"1.33088455, 103.9113284864635",TELOK KURAU PRIMARY SCHOOL
"1.3173917, 103.94577303497164",TEMASEK PRIMARY SCHOOL
"1.3603771, 103.8538821884711",TOWNSVILLE PRIMARY SCHOOL
"Error: Not Singapore. Returned address Unity Primary School, Moi Drive, Umoja II, Nairobi, 00202, Kenya",UNITY PRIMARY SCHOOL
"1.4072779, 103.89885718105859",VALOUR PRIMARY SCHOOL
"1.3992087999999998, 103.91839414052309",WATERWAY PRIMARY SCHOOL
"Error: Not Singapore. Returned address Wellington Primary School, Church Close, Wellington, Herefordshire, West Midlands, England, HR4 8BX, United Kingdom",WELLINGTON PRIMARY SCHOOL
"Error: Not Singapore. Returned address West Grove Primary School, 218a, Chase Road, Oakwood, Southgate, London Borough of Enfield, London, Greater London, England, N14 4LR, United Kingdom",WEST GROVE PRIMARY SCHOOL
"1.38951255, 103.76629511736711",WEST SPRING PRIMARY SCHOOL
"Error: Not Singapore. Returned address West View Primary School, Miers Avenue, West View, Hartlepool, North East England, England, TS24 9JE, United Kingdom",WEST VIEW PRIMARY SCHOOL
"Error: Not Singapore. Returned address Westwood Primary School, Briarwood Road, Lowestoft, East Suffolk, Suffolk, East of England, England, NR33 9EQ, United Kingdom",WESTWOOD PRIMARY SCHOOL
