lat,lng,school
1.4429414,103.80034506744822,ADMIRALTY PRIMARY SCHOOL
1.4338487,103.83270977683569,AHMAD IBRAHIM PRIMARY SCHOOL
1.3607125500000001,103.83301753795786,AI TONG SCHOOL
1.2912837000000001,103.82406594082047,ALEXANDRA PRIMARY SCHOOL
1.3903797999999998,103.8873537933713,ANCHOR GREEN PRIMARY SCHOOL
1.38443915,103.84141596723363,ANDERSON PRIMARY SCHOOL
1.3691002,103.83936023522986,ANG MO KIO PRIMARY SCHOOL
1.30928255,103.8413025008237,ANGLO-CHINESE SCHOOL (JUNIOR)
1.31875235,103.83507692293153,ANGLO-CHINESE SCHOOL (PRIMARY)
1.36358045,103.93891021314855,ANGSANA PRIMARY SCHOOL
1.3841149499999998,103.77380560574733,BEACON PRIMARY SCHOOL
1.3240565000000002,103.93783056591907,BEDOK GREEN PRIMARY SCHOOL
1.3222938499999999,103.86508845,BENDEMEER PRIMARY SCHOOL
1.27640575,103.80880997314256,BLANGAH RISE PRIMARY SCHOOL
1.3428882,103.71293314363199,BOON LAY GARDEN PRIMARY SCHOOL
1.3734053,103.76939883022703,BUKIT PANJANG PRIMARY SCHOOL
1.33751905,103.76684937098565,BUKIT TIMAH PRIMARY SCHOOL
1.34570095,103.7535184997777,BUKIT VIEW PRIMARY SCHOOL
1.45085035,103.81559371692055,CANBERRA PRIMARY SCHOOL
1.3264927,103.8817672893136,CANOSSA CATHOLIC PRIMARY SCHOOL
1.2758142000000001,103.83988838698619,CANTONMENT PRIMARY SCHOOL
1.3728079,103.9572278570395,CASUARINA PRIMARY SCHOOL
1.3355312499999998,103.8754848107003,CEDAR PRIMARY SCHOOL
1.33982335,103.95227531092621,CHANGKAT PRIMARY SCHOOL
1.30643785,103.91083201080629,CHIJ (KATONG) PRIMARY
1.274664,103.8280550817506,CHIJ (KELLOCK)
1.3577786,103.86393027516013,CHIJ OUR LADY OF GOOD COUNSEL
1.37311065,103.89768985814462,CHIJ OUR LADY OF THE NATIVITY
1.3664051000000002,103.768196996015,CHIJ OUR LADY QUEEN OF PEACE
1.3331269,103.84240300250805,CHIJ PRIMARY (TOA PAYOH)
1.4387276,103.83929013137512,CHONGFU SCHOOL
1.35054425,103.95092058934961,CHONGZHENG PRIMARY SCHOOL
1.37793775,103.74198414587175,CHUA CHU KANG PRIMARY SCHOOL
1.31556955,103.76320883321443,CLEMENTI PRIMARY SCHOOL
1.3945064,103.8980350715747,COMPASSVALE PRIMARY SCHOOL
1.38021795,103.73633268488206,CONCORD PRIMARY SCHOOL
1.35142845,103.70769543642461,CORPORATION PRIMARY SCHOOL
1.3354514,103.92139171652317,DAMAI PRIMARY SCHOOL
1.3591826,103.74796785698436,DAZHONG PRIMARY SCHOOL
1.3950086000000002,103.74325929182976,DE LA SALLE SCHOOL
1.3528815,103.96191726928652,EAST SPRING PRIMARY SCHOOL
1.40035045,103.90752739305407,EDGEFIELD PRIMARY SCHOOL
1.37491195,103.94517579238352,ELIAS PARK PRIMARY SCHOOL
1.4544299500000002,103.81757920859401,ENDEAVOUR PRIMARY SCHOOL
1.32463215,103.90458530342072,EUNOS PRIMARY SCHOOL
1.4435723,103.7940923,EVERGREEN PRIMARY SCHOOL
1.30081995,103.7856489598941,FAIRFIELD METHODIST SCHOOL (PRIMARY)
1.3125247,103.8510381626646,FARRER PARK PRIMARY SCHOOL
1.3300987,103.93188245052653,FENGSHAN PRIMARY SCHOOL
1.3976461,103.88002141573315,FERN GREEN PRIMARY SCHOOL
1.38997975,103.8740776496129,FERNVALE PRIMARY SCHOOL
1.3404649,103.8558674534298,FIRST TOA PAYOH PRIMARY SCHOOL
1.3369298,103.69963774202806,FRONTIER PRIMARY SCHOOL
1.43072155,103.77823059447893,FUCHUN PRIMARY SCHOOL
1.3364853499999998,103.73645449079083,FUHUA PRIMARY SCHOOL
1.2858741500000002,103.81513175137866,GAN ENG SENG PRIMARY SCHOOL
1.3176038499999998,103.883251178634,GEYLANG METHODIST SCHOOL (PRIMARY)
1.3573263,103.94931114016394,GONGSHANG PRIMARY SCHOOL
1.39620005,103.91272454370991,GREENDALE PRIMARY SCHOOL
1.3856168,103.76800482210834,GREENRIDGE PRIMARY SCHOOL
1.4399652,103.8047573433338,GREENWOOD PRIMARY SCHOOL
1.3457530000000002,103.84930970398092,GUANGYANG PRIMARY SCHOOL
1.3119816499999999,103.90292042117221,HAIG GIRLS' SCHOOL
1.3170568999999999,103.78421632658535,HENRY PARK PRIMARY SCHOOL
1.37499965,103.85742947996668,HOLY INNOCENTS' PRIMARY SCHOOL
1.32178305,103.85752691301875,HONG WEN SCHOOL
1.39998505,103.91311619800231,HORIZON PRIMARY SCHOOL
1.3781375,103.8811475349458,HOUGANG PRIMARY SCHOOL
1.42686205,103.84426433501295,HUAMIN PRIMARY SCHOOL
1.4292761,103.79073434544745,INNOVA PRIMARY SCHOOL
1.42810765,103.83017091898063,JIEMIN PRIMARY SCHOOL
1.3722577999999999,103.85201520714915,JING SHAN PRIMARY SCHOOL
1.347782,103.9393972465966,JUNYUAN PRIMARY SCHOOL
1.3487249000000001,103.73305563805556,JURONG PRIMARY SCHOOL
1.3393141499999999,103.69902734141112,JURONG WEST PRIMARY SCHOOL
1.33875125,103.68825378175828,JUYING PRIMARY SCHOOL
1.3453422000000002,103.75639902669866,KEMING PRIMARY SCHOOL
1.33703365,103.84744227895004,KHENG CHENG SCHOOL
1.3111953,103.88787278336936,KONG HWA SCHOOL
1.39393915,103.74715505973106,KRANJI PRIMARY SCHOOL
1.3492022000000001,103.85503898769153,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL
1.33834735,103.71798831116391,LAKESIDE PRIMARY SCHOOL
1.3538616499999998,103.7540792422912,LIANHUA PRIMARY SCHOOL
1.3284777,103.90153454958934,MAHA BODHI SCHOOL
1.4341551,103.77336667761655,MARSILING PRIMARY SCHOOL
1.3402824,103.83975627199351,MARYMOUNT CONVENT SCHOOL
1.3766642,103.84324206414888,MAYFLOWER PRIMARY SCHOOL
1.3948814,103.90854484597197,MEE TOH SCHOOL
1.3760329,103.9352079847041,MERIDIAN PRIMARY SCHOOL
1.3328403500000001,103.78357653245811,METHODIST GIRLS' SCHOOL (PRIMARY)
1.3746523499999999,103.88953676594389,MONTFORT JUNIOR SCHOOL
1.3920267499999999,103.89104244775346,NAN CHIAU PRIMARY SCHOOL
1.3065167500000001,103.76477114778905,NAN HUA PRIMARY SCHOOL
1.3208318499999998,103.80821659496904,NANYANG PRIMARY SCHOOL
1.4165306000000002,103.83846101951393,NAVAL BASE PRIMARY SCHOOL
1.29972515,103.80008513099864,NEW TOWN PRIMARY SCHOOL
1.30554595,103.91795247595277,NGEE ANN PRIMARY SCHOOL
1.3876014,103.9037892237047,NORTH SPRING PRIMARY SCHOOL
1.42773465,103.8486565717647,NORTH VIEW PRIMARY SCHOOL
1.3828947999999999,103.89597706955436,NORTH VISTA PRIMARY SCHOOL
1.4212034,103.84058396984423,NORTHLAND PRIMARY SCHOOL
1.45694685,103.81354104538616,NORTHOAKS PRIMARY SCHOOL
1.4180937999999998,103.90466700674057,NORTHSHORE PRIMARY SCHOOL
1.40470205,103.91100795444132,OASIS PRIMARY SCHOOL
1.3196642,103.92376598402687,OPERA ESTATE PRIMARY SCHOOL
1.38410015,103.89115435183996,PALM VIEW PRIMARY SCHOOL
1.3776221999999998,103.93927848171822,PARK VIEW PRIMARY SCHOOL
1.37215285,103.96302630022184,PASIR RIS PRIMARY SCHOOL
1.34993195,103.88492375591991,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)
1.3370857,103.85567994909927,PEI CHUN PUBLIC SCHOOL
1.3380993,103.77621882050181,PEI HWA PRESBYTERIAN PRIMARY SCHOOL
1.316004,103.76784516774438,PEI TONG PRIMARY SCHOOL
1.4177946000000001,103.83016958773982,PEIYING PRIMARY SCHOOL
1.3489146,103.69480866814555,PIONEER PRIMARY SCHOOL
1.3577705,103.93548678736875,POI CHING SCHOOL
1.3493822,103.74095420018139,PRINCESS ELIZABETH PRIMARY SCHOOL
1.4116855,103.89911895564683,PUNGGOL COVE PRIMARY SCHOOL
1.4019807499999999,103.89854883359155,PUNGGOL GREEN PRIMARY SCHOOL
1.3781311500000002,103.89475446575264,PUNGGOL PRIMARY SCHOOL
1.4053286,103.90527821978418,PUNGGOL VIEW PRIMARY SCHOOL
1.31280555,103.75696495470032,QIFA PRIMARY SCHOOL
1.4420502000000002,103.78833369286497,QIHUA PRIMARY SCHOOL
1.2960256,103.8078517193143,QUEENSTOWN PRIMARY SCHOOL
1.2750442,103.8240239309686,RADIN MAS PRIMARY SCHOOL
1.33012955,103.80626230616794,RAFFLES GIRLS' PRIMARY SCHOOL
1.3336412,103.93461860928615,RED SWASTIKA SCHOOL
1.29398185,103.83608472066169,RIVER VALLEY PRIMARY SCHOOL
1.4472779,103.80183283378793,RIVERSIDE PRIMARY SCHOOL
1.39365955,103.9046125317468,RIVERVALE PRIMARY SCHOOL
1.37276625,103.87452822134901,ROSYTH SCHOOL
1.34660905,103.71873699937234,RULANG PRIMARY SCHOOL
1.4452989,103.82089038717231,SEMBAWANG PRIMARY SCHOOL
1.38939055,103.89939534841366,SENG KANG PRIMARY SCHOOL
1.39288245,103.87480361151378,SENGKANG GREEN PRIMARY SCHOOL
1.34712705,103.72159024757968,SHUQUN PRIMARY SCHOOL
1.4327239999999999,103.7857785129217,SI LING PRIMARY SCHOOL
1.3210897,103.82786731298657,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL
1.38167325,103.74682179773961,SOUTH VIEW PRIMARY SCHOOL
1.3949768,103.88977656483088,SPRINGDALE PRIMARY SCHOOL
1.3314877,103.8650956160098,ST. ANDREW'S JUNIOR SCHOOL
1.3349316,103.94086619821809,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL
1.36448445,103.74923565777337,ST. ANTHONY'S PRIMARY SCHOOL
1.34972,103.86216445635833,ST. GABRIEL'S PRIMARY SCHOOL
1.3493751,103.93659363311278,ST. HILDA'S PRIMARY SCHOOL
1.31754345,103.8463068157661,ST. JOSEPH'S INSTITUTION JUNIOR
1.30438115,103.84592880101985,ST. MARGARET'S PRIMARY SCHOOL
1.318257,103.91827351658476,ST. STEPHEN'S SCHOOL
1.3038409,103.85730102406205,STAMFORD PRIMARY SCHOOL
1.3605469000000001,103.94912431881409,TAMPINES NORTH PRIMARY SCHOOL
1.3503174,103.9439018600156,TAMPINES PRIMARY SCHOOL
1.30530945,103.90044091611762,TANJONG KATONG PRIMARY SCHOOL
1.30492865,103.91114509667042,TAO NAN SCHOOL
1.36536405,103.85093696575059,TECK GHEE PRIMARY SCHOOL
1.3838682,103.75364438639032,TECK WHYE PRIMARY SCHOOL
1.33088455,103.9113284864635,TELOK KURAU PRIMARY SCHOOL
