lat_long,school
"1.4327239999999999, 103.7857785129217",SI LING PRIMARY SCHOOL
NONE,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL
"Error: Not Singapore. Returned address South View Primary School, Peterborough Road, Crowland, South Holland, Lincolnshire, East Midlands, England, PE6 0BH, United Kingdom",SOUTH VIEW PRIMARY SCHOOL
"Error: Not Singapore. Returned address Springdale Primary School, Keurboom Road, Lentegeur, Cape Town Ward 76, Mitchells Plain, City of Cape Town, Western Cape, 7785, South Africa",SPRINGDALE PRIMARY SCHOOL
"1.3314877, 103.8650956160098",ST. ANDREW'S JUNIOR SCHOOL
"Error: Road retrieved. Returned address St Anthony's Canossian Primary School, 1602, Bedok North Avenue 4, Simpang Bedok, Bedok, Singapore, Southeast, 469701, Singapore",ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL
"Error: Not Singapore. Returned address St Anthonys Primary School, Sydenham Drive, Sydenham, Royal Leamington Spa, Warwick, Warwickshire, West Midlands, England, CV31 1NL, United Kingdom",ST. ANTHONY'S PRIMARY SCHOOL
"Error: Road retrieved. Returned address St Gabriel's Primary School, 220, Lorong Chuan, Serangoon, Singapore, Southeast, 556742, Singapore",ST. GABRIEL'S PRIMARY SCHOOL
"1.3493751, 103.93659363311278",ST. HILDA'S PRIMARY SCHOOL
"Error: Road retrieved. Returned address Saint Joseph's Institution Junior, 3, Essex Road, Novena, Singapore, Central, 309331, Singapore",ST. JOSEPH'S INSTITUTION JUNIOR
"Error: Not Singapore. Returned address St Margaret's Primary School, Town Street, Horsforth, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS18 5LA, United Kingdom",ST. MARGARET'S PRIMARY SCHOOL
"Error: Not Singapore. Returned address St. Stephen's School, Via Baldassarre Peruzzi, Municipio Roma I, Roma, Roma Capitale, Lazio, 00153, Italia",ST. STEPHEN'S SCHOOL
"1.3038409, 103.85730102406205",STAMFORD PRIMARY SCHOOL
"1.3605469000000001, 103.94912431881409",TAMPINES NORTH PRIMARY SCHOOL
"1.3503174, 103.9439018600156",TAMPINES PRIMARY SCHOOL
