address,block,street_name,lat_long
163 SIMEI ROAD,163,SIMEI RD,"1.3459104499999999, 103.95938543128159"
489B TAMPINES STREET 45,489B,TAMPINES ST 45,"1.3612348, 103.95753390502699"
314 YISHUN RING ROAD,314,YISHUN RING RD,"1.4316665999999998, 103.84185670459254"
564 ANG MO KIO AVENUE 3,564,ANG MO KIO AVE 3,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560564, Singapore"
338 BUKIT BATOK STREET 34,338,BT BATOK ST 34,"1.36312835, 103.75119760000001"
212 JURONG EAST STREET 21,212,JURONG EAST ST 21,"1.33907745, 103.74041497897491"
205 TOA PAYOH NORTH,205,TOA PAYOH NTH,"1.3420139, 103.84820662971964"
420 FAJAR ROAD,420,FAJAR RD,"Error: Road retrieved. Returned address Fajar Road, Bukit Panjang, Northwest, 673443, Singapore"
765 JURONG WEST STREET 74,765,JURONG WEST ST 74,"1.3500622500000001, 103.69834636700881"
244 KIM KEAT LINK,244,KIM KEAT LINK,"1.3307810999999998, 103.85640769970729"
875 WOODLANDS STREET 82,875,WOODLANDS ST 82,"Error: Road retrieved. Returned address Woodlands Street 82, Woodlands, Northwest, 738954, Singapore"
225 ANG MO KIO AVENUE 1,225,ANG MO KIO AVE 1,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore"
121 PAYA LEBAR WAY,121,PAYA LEBAR WAY,"1.3221721, 103.88363377517376"
231 HOUGANG STREET 21,231,HOUGANG ST 21,"1.3583002999999998, 103.88795189037666"
273D JURONG WEST AVENUE 3,273D,JURONG WEST AVE 3,"1.35226935, 103.70308854521645"
305B PUNGGOL ROAD,305B,PUNGGOL RD,"Error: Road retrieved. Returned address Punggol Road, Punggol, Northeast, 820198, Singapore"
506 PASIR RIS STREET 52,506,PASIR RIS ST 52,"1.3768774499999998, 103.94500414103697"
669B EDGEFIELD PLAINS,669B,EDGEFIELD PLAINS,"1.4048129500000002, 103.9142489232469"
1 LORONG 7 TOA PAYOH,1,LOR 7 TOA PAYOH,"1.33961615, 103.85337222704908"
273 YISHUN STREET 22,273,YISHUN ST 22,"Error: Road retrieved. Returned address Yishun Street 22, Yishun, Northwest, 760264, Singapore"
406 YISHUN AVENUE 6,406,YISHUN AVE 6,"1.4260438, 103.84930301398045"
558 ANG MO KIO AVENUE 10,558,ANG MO KIO AVE 10,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560449, Singapore"
179 LOMPANG ROAD,179,LOMPANG RD,"Error: Road retrieved. Returned address Lompang Road, Bukit Panjang, Northwest, 677743, Singapore"
14 SAINT GEORGE'S ROAD,14,ST. GEORGE'S RD,"1.3237549, 103.86204749272082"
532 SERANGOON NORTH AVENUE 4,532,SERANGOON NTH AVE 4,"Error: Road retrieved. Returned address Serangoon North Avenue 4, Ang Mo Kio Industrial Park 2, Serangoon North, Singapore, Central, 555859, Singapore"
291C BUKIT BATOK STREET 24,291C,BT BATOK ST 24,"1.3430023, 103.75524028613205"
440B CLEMENTI AVENUE 3,440B,CLEMENTI AVE 3,"Error: Road retrieved. Returned address Clementi Avenue 3, Clementi, Southwest, 120443, Singapore"
644 JURONG WEST STREET 61,644,JURONG WEST ST 61,"1.33943125, 103.69609250938775"
619 BUKIT PANJANG RING ROAD,619,BT PANJANG RING RD,"Error: Road retrieved. Returned address Bukit Panjang Ring Road, Bukit Panjang, Northwest, 679910, Singapore"
369 TAMPINES STREET 34,369,TAMPINES ST 34,"1.3586809, 103.96026712801508"
46 TEBAN GARDENS ROAD,46,TEBAN GDNS RD,"1.3201938, 103.74056408846442"
15 BEACH ROAD,15,BEACH RD,"Error: Not Singapore. Returned address 15, Beach Road, Town of Beekman, Dutchess County, New York, 12570, United States"
111 HOUGANG AVENUE 1,111,HOUGANG AVE 1,"Error: Road retrieved. Returned address Hougang Avenue 1, Hougang, Northeast, 530110, Singapore"
80C TELOK BLANGAH STREET 31,80C,TELOK BLANGAH ST 31,"1.2735167, 103.8072500075511"
528B PASIR RIS STREET 51,528B,PASIR RIS ST 51,"1.3706511, 103.94812842330498"
175D PUNGGOL FIELD,175D,PUNGGOL FIELD,"Error: Road retrieved. Returned address Punggol Field, Punggol Cove, Punggol, Northeast, 820198, Singapore"
49 CIRCUIT ROAD,49,CIRCUIT RD,"1.3251176500000001, 103.88568784167661"
657A JURONG WEST STREET 65,657A,JURONG WEST ST 65,"1.3354216, 103.70029253560725"
842B TAMPINES STREET 82,842B,TAMPINES ST 82,"1.3511437, 103.93712477701777"
818 WOODLANDS STREET 82,818,WOODLANDS ST 82,"1.4416703499999999, 103.7901776853478"
423 BUKIT BATOK WEST AVENUE 2,423,BT BATOK WEST AVE 2,"1.3621339, 103.74497709600439"
303 CLEMENTI AVENUE 4,303,CLEMENTI AVE 4,"1.3213542999999999, 103.76486146560785"
283 TOH GUAN ROAD,283,TOH GUAN RD,"1.3391573499999998, 103.74670722020048"
643 PUNGGOL CENTRAL,643,PUNGGOL CTRL,"1.3973033, 103.91600154504417"
868 WOODLANDS STREET 83,868,WOODLANDS ST 83,"Error: Road retrieved. Returned address Woodlands Street 83, Woodlands, Northwest, 738489, Singapore"
205 BEDOK NORTH STREET 1,205,BEDOK NTH ST 1,"1.32600805, 103.93111635808668"
133 EDGEDALE PLAINS,133,EDGEDALE PLAINS,"Error: Road retrieved. Returned address Edgedale Plains, Punggol, Northeast, 828867, Singapore"
921 TAMPINES STREET 91,921,TAMPINES ST 91,"1.34804015, 103.94090658143301"
527 WOODLANDS DRIVE 14,527,WOODLANDS DR 14,"1.43180055, 103.79214524080027"
685C WOODLANDS DRIVE 73,685C,WOODLANDS DR 73,"1.4418057, 103.80600850221238"
219A JURONG EAST STREET 21,219A,JURONG EAST ST 21,"1.3405954, 103.7374613210572"
406 JURONG WEST STREET 42,406,JURONG WEST ST 42,"1.35430215, 103.72245365567183"
159 LORONG 1 TOA PAYOH,159,LOR 1 TOA PAYOH,"Error: Road retrieved. Returned address Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 313130, Singapore"
225 BUKIT BATOK CENTRAL,225,BT BATOK CTRL,"1.34830185, 103.75295473332142"
728 CLEMENTI WEST STREET 2,728,CLEMENTI WEST ST 2,"1.3056131, 103.7636023"
144 PASIR RIS STREET 11,144,PASIR RIS ST 11,"1.3628258500000001, 103.96057225066278"
543 PASIR RIS STREET 51,543,PASIR RIS ST 51,"1.3691938000000001, 103.95153256684429"
291C COMPASSVALE STREET,291C,COMPASSVALE ST,"1.39634535, 103.89857076363637"
520 JELAPANG ROAD,520,JELAPANG RD,"Error: Road retrieved. Returned address Jelapang Road, Bukit Panjang, Northwest, 671524, Singapore"
256 KIM KEAT AVENUE,256,KIM KEAT AVE,"1.3321904999999998, 103.85831738600017"
124 POTONG PASIR AVENUE 1,124,POTONG PASIR AVE 1,"1.3353046, 103.86549585"
259 BUKIT PANJANG RING ROAD,259,BT PANJANG RING RD,"1.3770581, 103.7730258"
135 BISHAN STREET 12,135,BISHAN ST 12,"1.3445520499999999, 103.85130345"
124 BUKIT BATOK CENTRAL,124,BT BATOK CTRL,"1.3511357, 103.74724558735657"
491H TAMPINES STREET 45,491H,TAMPINES ST 45,"1.3628624999999999, 103.95454724647871"
402 FAJAR ROAD,402,FAJAR RD,"Error: Road retrieved. Returned address Fajar Road, Bukit Panjang, Northwest, 673443, Singapore"
665 CHOA CHU KANG CRESCENT,665,CHOA CHU KANG CRES,"Error: Road retrieved. Returned address Choa Chu Kang Crescent, Northwest, 689097, Singapore"
70A TELOK BLANGAH HEIGHTS,70A,TELOK BLANGAH HTS,"1.27641495, 103.81143909219794"
165 BISHAN STREET 13,165,BISHAN ST 13,"1.3490844, 103.85631549608578"
476B UPPER SERANGOON VIEW,476B,UPP SERANGOON VIEW,"Error: Road retrieved. Returned address Upper Serangoon View, Hougang, Northeast, 530476, Singapore"
668A JURONG WEST STREET 64,668A,JURONG WEST ST 64,"Error: Road retrieved. Returned address Jurong West Street 64, Jurong West, Southwest, 643685, Singapore"
602B PUNGGOL CENTRAL,602B,PUNGGOL CTRL,"1.4030367, 103.90685169192979"
154 MEI LING STREET,154,MEI LING ST,"1.2938177, 103.80366482948419"
28C DOVER CRESCENT,28C,DOVER CRES,"1.3057329, 103.7823707565637"
759 YISHUN STREET 72,759,YISHUN ST 72,"Error: Road retrieved. Returned address Yishun Street 72, Yishun, Northwest, 760731, Singapore"
854 YISHUN RING ROAD,854,YISHUN RING RD,"1.41665755, 103.83740224941548"
67 BEDOK SOUTH AVENUE 3,67,BEDOK STH AVE 3,"1.3189737, 103.94405685"
690A CHOA CHU KANG CRESCENT,690A,CHOA CHU KANG CRES,"1.4028937, 103.7516951254775"
377 CLEMENTI AVENUE 5,377,CLEMENTI AVE 5,"1.31753575, 103.768044584412"
327 UBI AVENUE 1,327,UBI AVE 1,"1.3269813, 103.90412244523307"
416 PANDAN GARDENS,416,PANDAN GDNS,"1.3209847, 103.748386736056"
416 CHOA CHU KANG AVENUE 4,416,CHOA CHU KANG AVE 4,"1.3833031, 103.7420326096174"
139 YISHUN RING ROAD,139,YISHUN RING RD,"Error: Road retrieved. Returned address Yishun Ring Road, Yishun, Northwest, 760413, Singapore"
112 EDGEFIELD PLAINS,112,EDGEFIELD PLAINS,"1.3963763, 103.90716207638461"
12B MARSILING LANE,12B,MARSILING LANE,"1.44108305, 103.7781339"
271 BUKIT BATOK EAST AVENUE 4,271,BT BATOK EAST AVE 4,"1.3483124000000002, 103.75865524541743"
