address,block,street_name,lat_long
195A PUNGGOL ROAD,195A,PUNGGOL RD,"1.40154095, 103.90614028633216"
173 ANG MO KIO AVENUE 4,173,ANG MO KIO AVE 4,"Error: Road retrieved. Returned address Ang Mo Kio Avenue 4, Ang Mo Kio, Singapore, Central, 568987, Singapore"
214 BISHAN STREET 23,214,BISHAN ST 23,"1.3573729, 103.84847804536601"
180 BUKIT BATOK WEST AVENUE 8,180,BT BATOK WEST AVE 8,"1.3456695, 103.74317765487326"
68 REDHILL CLOSE,68,REDHILL CL,"Error: Road retrieved. Returned address Redhill Close, Redhill Gardens, Bukit Merah, Singapore, Central, 150115, Singapore"
250 JURONG EAST STREET 24,250,JURONG EAST ST 24,"1.34260795, 103.73999429844173"
450C SENGKANG WEST WAY,450C,SENGKANG WEST WAY,"1.3938721, 103.87332111071957"
195 KIM KEAT AVENUE,195,KIM KEAT AVE,"1.33043865, 103.85889032862215"
273C PUNGGOL PLACE,273C,PUNGGOL PL,"1.4022354, 103.901273676367"
333C ANCHORVALE LINK,333C,ANCHORVALE LINK,"1.3944727000000001, 103.89182931708257"
408 TAMPINES STREET 41,408,TAMPINES ST 41,"1.3588163, 103.94524793057613"
133 BEDOK RESERVOIR ROAD,133,BEDOK RESERVOIR RD,"1.3323523499999999, 103.91176920171824"
247 BUKIT BATOK EAST AVENUE 5,247,BT BATOK EAST AVE 5,"1.3499039, 103.7569868515528"
165 BEDOK SOUTH ROAD,165,BEDOK STH RD,"1.3203038, 103.94609228604814"
52 SIMS PLACE,52,SIMS PL,"1.3166468, 103.88041879884284"
934 JURONG WEST STREET 91,934,JURONG WEST ST 91,"1.34229165, 103.68841554291058"
355 KANG CHING ROAD,355,KANG CHING RD,"1.3387893000000002, 103.72064614036603"
173C PUNGGOL FIELD,173C,PUNGGOL FIELD,"1.39628005, 103.91041763224925"
117 LORONG 1 TOA PAYOH,117,LOR 1 TOA PAYOH,"Error: Road retrieved. Returned address Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 313130, Singapore"
744 WOODLANDS CIRCLE,744,WOODLANDS CIRCLE,"1.44272805, 103.795765825"
114 BEDOK RESERVOIR ROAD,114,BEDOK RESERVOIR RD,"1.33054955, 103.90996142663552"
651 SENJA LINK,651,SENJA LINK,"1.38659075, 103.76363529369863"
807A CHOA CHU KANG AVENUE 1,807A,CHOA CHU KANG AVE 1,"Error: Road retrieved. Returned address Choa Chu Kang Avenue 1, Choa Chu Kang, Southwest, 682296, Singapore"
620 HOUGANG AVENUE 8,620,HOUGANG AVE 8,"1.3702608, 103.8835057"
678 HOUGANG AVENUE 8,678,HOUGANG AVE 8,"Error: Road retrieved. Returned address Hougang Avenue 8, Hougang, Northeast, 530631, Singapore"
640 JURONG WEST STREET 61,640,JURONG WEST ST 61,"1.340166, 103.69640615898038"
627 JURONG WEST STREET 65,627,JURONG WEST ST 65,"1.3419632, 103.69892943850505"
404A FERNVALE LANE,404A,FERNVALE LANE,"1.3884638, 103.87376786977211"
280 TAMPINES STREET 22,280,TAMPINES ST 22,"1.3476035, 103.95175955706878"
862 YISHUN AVENUE 4,862,YISHUN AVE 4,"1.41708855, 103.8393657"
189 BUKIT BATOK WEST AVENUE 6,189,BT BATOK WEST AVE 6,"1.3458653, 103.74645586781189"
406 FAJAR ROAD,406,FAJAR RD,"Error: Road retrieved. Returned address Fajar Road, Bukit Panjang, Northwest, 673443, Singapore"
