block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
102,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1977,56 years 06 months,265000.0,102 BEDOK NORTH AVENUE 4,"1.3338812500000001, 103.93746031397716",2.4330783
105,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,13 TO 15,82.0,New Generation,1977,56 years 06 months,332000.0,105 BEDOK NORTH AVENUE 4,"1.3337089, 103.93656069946745",2.5257118
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years 01 month,235000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.0580256
77,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,60.0,Improved,1986,65 years 03 months,250000.0,77 BEDOK NORTH ROAD,"1.328667, 103.94196030658946",2.069326
125,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1978,57 years 04 months,275000.0,125 BEDOK NORTH ROAD,"1.3288278, 103.93905302272728",2.3396118
75,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,57 years,268000.0,75 BEDOK NORTH ROAD,"1.3278894, 103.94211844583151",2.0670006
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years,237000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.0580256
1,BEDOK STH AVE 1,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1976,55 years,243000.0,1 BEDOK SOUTH AVENUE 1,"1.32084015, 103.93373861082546",2.959956
29,NEW UPP CHANGI RD,2020-01,BEDOK,3 ROOM,13 TO 15,65.0,Improved,1977,56 years 04 months,292000.0,29 NEW UPPER CHANGI ROAD,"1.3239124, 103.93620465210519",2.6799033
57,NEW UPP CHANGI RD,2020-01,BEDOK,3 ROOM,07 TO 09,60.0,Improved,1985,64 years 09 months,268000.0,57 NEW UPPER CHANGI ROAD,"1.3243255, 103.9415678696042",2.1728027
507,BEDOK NTH AVE 3,2020-01,BEDOK,4 ROOM,13 TO 15,92.0,New Generation,1978,57 years 11 months,395000.0,507 BEDOK NORTH AVENUE 3,"1.33295425, 103.93258005598048",2.941429
93,BEDOK NTH AVE 4,2020-01,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1979,58 years 06 months,335000.0,93 BEDOK NORTH AVENUE 4,"1.3328863499999999, 103.94141517481509",2.0583234
104,BEDOK NTH AVE 4,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1977,56 years 06 months,368000.0,104 BEDOK NORTH AVENUE 4,"1.3332926999999999, 103.93661838856605",2.5245364
80,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1978,57 years 06 months,355000.0,80 BEDOK NORTH ROAD,"1.328459, 103.9405280216913",2.204838
182,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,16 TO 18,85.0,Model A,2006,85 years 02 months,630000.0,182 BEDOK NORTH ROAD,"1.32693395, 103.94165795550099",2.123547
119,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1978,57 years 02 months,320000.0,119 BEDOK NORTH ROAD,"1.3301924, 103.93868668771022",2.3569393
78,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1978,57 years 05 months,390000.0,78 BEDOK NORTH ROAD,"1.3272392, 103.94078766672152",2.198579
761,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,04 TO 06,107.0,Premium Apartment,2000,79 years 11 months,535000.0,761 BEDOK RESERVOIR VIEW,"1.33625185, 103.93382933163517",2.7801106
767,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,07 TO 09,105.0,Premium Apartment,2000,79 years 11 months,533800.0,767 BEDOK RESERVOIR VIEW,"1.3359166999999998, 103.93694437760419",2.4626157
771,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,13 TO 15,105.0,Premium Apartment,2000,79 years 11 months,525000.0,771 BEDOK RESERVOIR VIEW,"1.3359523, 103.93893626089579",2.2611258
35,BEDOK STH AVE 2,2020-01,BEDOK,4 ROOM,01 TO 03,90.0,Improved,1977,56 years 08 months,338000.0,35 BEDOK SOUTH AVENUE 2,"1.32231235, 103.93977340417518",2.366164
6,BEDOK STH AVE 2,2020-01,BEDOK,4 ROOM,01 TO 03,82.0,Improved,1976,55 years,330000.0,6 BEDOK SOUTH AVENUE 2,"1.32220445, 103.93503778560873",2.815537
5,BEDOK STH AVE 2,2020-01,BEDOK,4 ROOM,07 TO 09,82.0,Improved,1976,55 years,315000.0,5 BEDOK SOUTH AVENUE 2,"1.3220355499999998, 103.9342919687501",2.8906016
166,BEDOK STH AVE 3,2020-01,BEDOK,4 ROOM,07 TO 09,105.0,Model A,1985,64 years 02 months,486000.0,166 BEDOK SOUTH AVENUE 3,"1.3200314, 103.94518834849134",1.9478306
43,BEDOK STH RD,2020-01,BEDOK,4 ROOM,07 TO 09,84.0,Improved,1977,56 years 08 months,309000.0,43 BEDOK SOUTH ROAD,"1.3215387, 103.94164494283507",2.2115715
407,BEDOK NTH AVE 3,2020-01,BEDOK,5 ROOM,25 TO 27,118.0,Improved,1980,59 years 06 months,660000.0,407 BEDOK NORTH AVENUE 3,"1.32844535, 103.93371655718016",2.8719416
405,BEDOK NTH AVE 3,2020-01,BEDOK,5 ROOM,16 TO 18,118.0,Improved,1980,59 years 06 months,633000.0,405 BEDOK NORTH AVENUE 3,"1.3287081500000002, 103.93412070718016",2.828151
99,BEDOK NTH AVE 4,2020-01,BEDOK,5 ROOM,04 TO 06,123.0,Standard,1978,57 years 10 months,470000.0,99 BEDOK NORTH AVENUE 4,"1.33391945, 103.93944638073918",2.2351332
94D,BEDOK NTH AVE 4,2020-01,BEDOK,5 ROOM,04 TO 06,132.0,Model A,1993,72 years 04 months,615000.0,94D BEDOK NORTH AVENUE 4,"1.33361565, 103.94139191642938",2.0504484
99,BEDOK NTH AVE 4,2020-01,BEDOK,5 ROOM,10 TO 12,123.0,Standard,1978,57 years 10 months,490000.0,99 BEDOK NORTH AVENUE 4,"1.33391945, 103.93944638073918",2.2351332
111,BEDOK NTH RD,2020-01,BEDOK,5 ROOM,01 TO 03,117.0,Standard,1978,57 years 05 months,380000.0,111 BEDOK NORTH ROAD,"1.3314359, 103.93553973694651",2.6542761
762,BEDOK RESERVOIR VIEW,2020-01,BEDOK,5 ROOM,13 TO 15,115.0,Premium Apartment,2000,79 years 11 months,650000.0,762 BEDOK RESERVOIR VIEW,"1.3363128, 103.93459167200558",2.7003617
32,BEDOK STH AVE 2,2020-01,BEDOK,5 ROOM,22 TO 24,118.0,Standard,1978,57 years 02 months,638000.0,32 BEDOK SOUTH AVENUE 2,"1.32262995, 103.93784152697935",2.5407689
14,BEDOK STH AVE 2,2020-01,BEDOK,5 ROOM,13 TO 15,133.0,Model A,1995,74 years 11 months,765000.0,14 BEDOK SOUTH AVENUE 2,"1.3211398, 103.93625286222647",2.7124007
32,BEDOK STH AVE 2,2020-01,BEDOK,5 ROOM,19 TO 21,115.0,Standard,1978,57 years 02 months,512800.0,32 BEDOK SOUTH AVENUE 2,"1.32262995, 103.93784152697935",2.5407689
60,NEW UPP CHANGI RD,2020-01,BEDOK,5 ROOM,22 TO 24,120.0,Standard,1977,56 years 06 months,615000.0,60 NEW UPPER CHANGI ROAD,"1.32246505, 103.94128680809197",2.22777
94C,BEDOK NTH AVE 4,2020-01,BEDOK,EXECUTIVE,13 TO 15,143.0,Apartment,1993,72 years 04 months,758000.0,94C BEDOK NORTH AVENUE 4,"1.3334902, 103.94283447842156",1.9163374
10E,BEDOK STH AVE 2,2020-01,BEDOK,EXECUTIVE,04 TO 06,146.0,Apartment,1993,72 years 05 months,740000.0,10E BEDOK SOUTH AVENUE 2,"1.32161165, 103.93696265416213",2.6382613
528A,PASIR RIS ST 51,2020-01,PASIR RIS,2 ROOM,10 TO 12,47.0,Model A,2015,94 years 07 months,280000.0,528A PASIR RIS STREET 51,"1.37024415, 103.94797883887789",1.0307384
528A,PASIR RIS ST 51,2020-01,PASIR RIS,2 ROOM,04 TO 06,47.0,Model A,2015,94 years 06 months,255000.0,528A PASIR RIS STREET 51,"1.37024415, 103.94797883887789",1.0307384
527B,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,07 TO 09,68.0,Model A,2015,94 years 07 months,372500.0,527B PASIR RIS STREET 51,"1.36908325, 103.94783080547919",1.0496656
527B,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 07 months,404000.0,527B PASIR RIS STREET 51,"1.36908325, 103.94783080547919",1.0496656
527B,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 06 months,368000.0,527B PASIR RIS STREET 51,"1.36908325, 103.94783080547919",1.0496656
528A,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 06 months,380000.0,528A PASIR RIS STREET 51,"1.37024415, 103.94797883887789",1.0307384
528A,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,07 TO 09,68.0,Model A,2015,94 years 06 months,380000.0,528A PASIR RIS STREET 51,"1.37024415, 103.94797883887789",1.0307384
527D,PASIR RIS ST 51,2020-01,PASIR RIS,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 06 months,380000.0,527D PASIR RIS STREET 51,"1.3696509, 103.9479234",1.0380651
640,PASIR RIS DR 1,2020-01,PASIR RIS,4 ROOM,01 TO 03,110.0,Model A,1995,74 years 04 months,380000.0,640 PASIR RIS DRIVE 1,"1.37584155, 103.94036124124791",1.877244
702,PASIR RIS DR 10,2020-01,PASIR RIS,4 ROOM,10 TO 12,114.0,Model A,1996,75 years,460000.0,702 PASIR RIS DRIVE 10,"1.38019395, 103.93760070250013",2.1913993
231,PASIR RIS DR 4,2020-01,PASIR RIS,4 ROOM,04 TO 06,106.0,Model A,1993,72 years 07 months,410000.0,231 PASIR RIS DRIVE 4,"1.37347935, 103.96160506194252",0.4870561
481,PASIR RIS DR 4,2020-01,PASIR RIS,4 ROOM,07 TO 09,103.0,Model A,1992,71 years 11 months,372000.0,481 PASIR RIS DRIVE 4,"1.3740776000000001, 103.95884602004159",0.18312593
451,PASIR RIS DR 6,2020-01,PASIR RIS,4 ROOM,04 TO 06,105.0,Model A,1989,68 years 08 months,410000.0,451 PASIR RIS DRIVE 6,"1.3713622, 103.95835361334335",0.13104632
427,PASIR RIS DR 6,2020-01,PASIR RIS,4 ROOM,10 TO 12,84.0,Simplified,1988,67 years 09 months,357000.0,427 PASIR RIS DRIVE 6,"1.3703163, 103.9560556",0.14647876
469,PASIR RIS DR 6,2020-01,PASIR RIS,4 ROOM,01 TO 03,105.0,Model A,1989,68 years 07 months,380000.0,469 PASIR RIS DRIVE 6,"1.37356525, 103.95759090075211",0.04519089
451,PASIR RIS DR 6,2020-01,PASIR RIS,4 ROOM,04 TO 06,104.0,Model A,1989,68 years 08 months,420000.0,451 PASIR RIS DRIVE 6,"1.3713622, 103.95835361334335",0.13104632
110,PASIR RIS ST 11,2020-01,PASIR RIS,4 ROOM,07 TO 09,106.0,Model A,1990,69 years 04 months,390000.0,110 PASIR RIS STREET 11,"1.36867275, 103.9565850545538",0.13193983
125,PASIR RIS ST 11,2020-01,PASIR RIS,4 ROOM,01 TO 03,105.0,Model A,1989,68 years 02 months,365000.0,125 PASIR RIS STREET 11,"1.3660727499999998, 103.9547328258117",0.3310496
113,PASIR RIS ST 11,2020-01,PASIR RIS,4 ROOM,07 TO 09,106.0,Model A,1990,69 years 03 months,380000.0,113 PASIR RIS STREET 11,"1.36807265, 103.95584063534807",0.19980212
524A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,10 TO 12,93.0,Model A,2015,94 years 07 months,542000.0,524A PASIR RIS STREET 51,"1.37136875, 103.94749979221697",1.0823994
527A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,01 TO 03,93.0,Model A,2015,94 years 07 months,510000.0,527A PASIR RIS STREET 51,"1.3685065, 103.9476750845024",1.0684619
526B,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,13 TO 15,93.0,Model A,2015,94 years 07 months,580000.0,526B PASIR RIS STREET 51,"1.3679042, 103.94721915576855",1.1206553
525A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,04 TO 06,93.0,Model A,2015,94 years 06 months,530000.0,525A PASIR RIS STREET 51,"1.3692844499999999, 103.94718893366309",1.1202673
526A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,10 TO 12,93.0,Model A,2015,94 years 07 months,540000.0,526A PASIR RIS STREET 51,"1.3675823999999999, 103.94706515191436",1.1386925
526D,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,10 TO 12,93.0,Model A,2015,94 years 06 months,570000.0,526D PASIR RIS STREET 51,"1.36880055, 103.94740832894584",1.097155
526B,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,10 TO 12,93.0,Model A,2015,94 years 06 months,553000.0,526B PASIR RIS STREET 51,"1.3679042, 103.94721915576855",1.1206553
526A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,13 TO 15,93.0,Model A,2015,94 years 06 months,535000.0,526A PASIR RIS STREET 51,"1.3675823999999999, 103.94706515191436",1.1386925
525A,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,04 TO 06,93.0,Model A,2015,94 years 06 months,520000.0,525A PASIR RIS STREET 51,"1.3692844499999999, 103.94718893366309",1.1202673
526C,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,04 TO 06,93.0,Model A,2015,94 years 06 months,510000.0,526C PASIR RIS STREET 51,"1.36837695, 103.94705934504562",1.1369104
524C,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,13 TO 15,93.0,Model A,2015,94 years 06 months,560000.0,524C PASIR RIS STREET 51,"1.3706288, 103.94756587724135",1.0759505
525B,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,01 TO 03,93.0,Model A,2015,94 years 06 months,503000.0,525B PASIR RIS STREET 51,"1.3696739999999998, 103.94742796229676",1.092933
524B,PASIR RIS ST 51,2020-01,PASIR RIS,4 ROOM,04 TO 06,93.0,Model A,2015,94 years 06 months,500000.0,524B PASIR RIS STREET 51,"1.37099675, 103.94747409761905",1.0856551
