block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
46,TELOK BLANGAH DR,2020-01,BUKIT MERAH,3 ROOM,01 TO 03,65.0,Improved,1976,55 years,310000.0,46 TELOK BLANGAH DRIVE,"1.2715752, 103.8099378",2.8099444
80C,TELOK BLANGAH ST 31,2020-01,BUKIT MERAH,3 ROOM,13 TO 15,68.0,Premium Apartment,2013,92 years 08 months,575000.0,80C TELOK BLANGAH STREET 31,"1.2735167, 103.8072500075511",2.5086708
80B,TELOK BLANGAH ST 31,2020-01,BUKIT MERAH,3 ROOM,13 TO 15,67.0,Premium Apartment,2013,92 years 07 months,608888.0,80B TELOK BLANGAH STREET 31,"1.27342865, 103.80700180846043",2.4829397
50,TELOK BLANGAH DR,2020-01,BUKIT MERAH,4 ROOM,01 TO 03,98.0,New Generation,1978,57 years 06 months,460000.0,50 TELOK BLANGAH DRIVE,"1.273108, 103.81020433510271",2.8276076
48,LENGKOK BAHRU,2020-01,BUKIT MERAH,5 ROOM,07 TO 09,122.0,Improved,1986,65 years 07 months,628000.0,48 LENGKOK BAHRU,"1.2871663500000001, 103.8113352940712",2.8790522
48,TELOK BLANGAH DR,2020-01,BUKIT MERAH,5 ROOM,22 TO 24,123.0,Standard,1976,55 years 10 months,825000.0,48 TELOK BLANGAH DRIVE,"1.2723789, 103.81066410657309",2.8820088
88,TELOK BLANGAH HTS,2020-01,BUKIT MERAH,5 ROOM,07 TO 09,110.0,Improved,2003,82 years 02 months,730000.0,88 TELOK BLANGAH HEIGHTS,"1.2774535999999999, 103.80826710945055",2.590228
547C,SEGAR RD,2020-01,BUKIT PANJANG,2 ROOM,13 TO 15,47.0,Model A,2015,94 years 06 months,230000.0,547C SEGAR ROAD,"1.38854415, 103.76889090088017",2.9780343
488,SEGAR RD,2020-01,BUKIT PANJANG,2 ROOM,13 TO 15,47.0,Model A,2014,93 years 11 months,235800.0,488 SEGAR ROAD,"1.3895681500000001, 103.77128250365321",2.8418267
454,FAJAR RD,2020-01,BUKIT PANJANG,3 ROOM,16 TO 18,68.0,Model A,2015,94 years 11 months,320000.0,454 FAJAR ROAD,"1.3844995999999998, 103.77127237409609",2.7325115
454,FAJAR RD,2020-01,BUKIT PANJANG,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 11 months,315000.0,454 FAJAR ROAD,"1.3844995999999998, 103.77127237409609",2.7325115
547D,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 06 months,326000.0,547D SEGAR ROAD,"1.3888981500000002, 103.76911095542637",2.970155
