block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
547C,SEGAR RD,2020-01,BUKIT PANJANG,2 ROOM,13 TO 15,47.0,Model A,2015,94 years 06 months,230000.0,547C SEGAR ROAD,"1.38854415, 103.76889090088017",2.657686
488,SEGAR RD,2020-01,BUKIT PANJANG,2 ROOM,13 TO 15,47.0,Model A,2014,93 years 11 months,235800.0,488 SEGAR ROAD,"1.3895681500000001, 103.77128250365321",2.4051151
454,FAJAR RD,2020-01,BUKIT PANJANG,3 ROOM,16 TO 18,68.0,Model A,2015,94 years 11 months,320000.0,454 FAJAR ROAD,"1.3844995999999998, 103.77127237409609",2.46777
454,FAJAR RD,2020-01,BUKIT PANJANG,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 11 months,315000.0,454 FAJAR ROAD,"1.3844995999999998, 103.77127237409609",2.46777
547D,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 06 months,326000.0,547D SEGAR ROAD,"1.3888981500000002, 103.76911095542637",2.6315215
547C,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 06 months,325000.0,547C SEGAR ROAD,"1.38854415, 103.76889090088017",2.657686
485,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,10 TO 12,67.0,Model A,2014,93 years 11 months,330000.0,485 SEGAR ROAD,"1.388666, 103.77157218834733",2.386867
547D,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 06 months,335000.0,547D SEGAR ROAD,"1.3888981500000002, 103.76911095542637",2.6315215
548B,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,16 TO 18,67.0,Model A,2015,94 years 11 months,330000.0,548B SEGAR ROAD,"1.3895197000000001, 103.76866019486388",2.670856
548B,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,16 TO 18,67.0,Model A,2015,94 years 11 months,327000.0,548B SEGAR ROAD,"1.3895197000000001, 103.76866019486388",2.670856
548B,SEGAR RD,2020-01,BUKIT PANJANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 11 months,330000.0,548B SEGAR ROAD,"1.3895197000000001, 103.76866019486388",2.670856
272,BANGKIT RD,2020-01,BUKIT PANJANG,4 ROOM,07 TO 09,104.0,Model A,1988,68 years,365000.0,272 BANGKIT ROAD,"1.37741925, 103.77422644743677",2.292711
257,BANGKIT RD,2020-01,BUKIT PANJANG,4 ROOM,01 TO 03,103.0,Model A,1989,68 years 06 months,300000.0,257 BANGKIT ROAD,"1.3785138, 103.7732147",2.3671165
235,BT PANJANG RING RD,2020-01,BUKIT PANJANG,4 ROOM,13 TO 15,106.0,Model A,1988,67 years 06 months,352000.0,235 BUKIT PANJANG RING ROAD,"1.37854295, 103.77127665",2.546957
205,PETIR RD,2020-01,BUKIT PANJANG,4 ROOM,10 TO 12,103.0,Model A,1988,67 years 11 months,375000.0,205 PETIR ROAD,"1.373593, 103.7737256",2.3984907
207,PETIR RD,2020-01,BUKIT PANJANG,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 03 months,326500.0,207 PETIR ROAD,"1.3736739, 103.77489856172781",2.2957091
412,SAUJANA RD,2020-01,BUKIT PANJANG,4 ROOM,07 TO 09,84.0,Simplified,1988,67 years 11 months,320000.0,412 SAUJANA ROAD,"1.38289445, 103.76832086193184",2.778563
412,SAUJANA RD,2020-01,BUKIT PANJANG,4 ROOM,01 TO 03,84.0,Simplified,1988,67 years 10 months,260000.0,412 SAUJANA ROAD,"1.38289445, 103.76832086193184",2.778563
486,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,10 TO 12,93.0,Model A,2014,94 years,405000.0,486 SEGAR ROAD,"1.3891068500000001, 103.77188246340792",2.3508165
549A,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 11 months,450000.0,549A SEGAR ROAD,"1.3897431500000001, 103.76818599811713",2.7171001
459,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,13 TO 15,93.0,Premium Apartment,2015,94 years 08 months,410000.0,459 SEGAR ROAD,"1.3877242, 103.77183189269999",2.372598
458,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,04 TO 06,93.0,Premium Apartment,2012,91 years 10 months,403000.0,458 SEGAR ROAD,"1.38800245, 103.77106537461461",2.4451063
486,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,04 TO 06,92.0,Model A,2014,94 years,375000.0,486 SEGAR ROAD,"1.3891068500000001, 103.77188246340792",2.3508165
460,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,10 TO 12,93.0,Premium Apartment,2015,94 years 07 months,440000.0,460 SEGAR ROAD,"1.38737455, 103.77209993749963",2.3505983
487,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,13 TO 15,92.0,Model A,2014,93 years 11 months,415000.0,487 SEGAR ROAD,"1.38917325, 103.77133360932481",2.404609
459,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,10 TO 12,93.0,Premium Apartment,2015,94 years 07 months,428000.0,459 SEGAR ROAD,"1.3877242, 103.77183189269999",2.372598
548B,SEGAR RD,2020-01,BUKIT PANJANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 11 months,440000.0,548B SEGAR ROAD,"1.3895197000000001, 103.76866019486388",2.670856
