block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
401,SIN MING AVE,2020-02,BISHAN,EXECUTIVE,01 TO 03,149.0,Maisonette,1985,64 years 09 months,845000.0,401 SIN MING AVENUE,"1.3624982, 103.83326895591242",0.055093583,1
401,SIN MING AVE,2020-08,BISHAN,EXECUTIVE,01 TO 03,155.0,Maisonette,1985,64 years 03 months,845000.0,401 SIN MING AVENUE,"1.3624982, 103.83326895591242",0.055093583,1
403,SIN MING AVE,2020-10,BISHAN,3 ROOM,04 TO 06,64.0,Simplified,1986,64 years 11 months,371000.0,403 SIN MING AVENUE,"1.3628103500000002, 103.83311130066438",0.05673829,1
403,SIN MING AVE,2020-12,BISHAN,3 ROOM,10 TO 12,64.0,Simplified,1986,64 years 09 months,390000.0,403 SIN MING AVENUE,"1.3628103500000002, 103.83311130066438",0.05673829,1
403,SIN MING AVE,2021-02,BISHAN,3 ROOM,07 TO 09,64.0,Simplified,1986,64 years 07 months,356000.0,403 SIN MING AVENUE,"1.3628103500000002, 103.83311130066438",0.05673829,1
402,SIN MING AVE,2020-03,BISHAN,5 ROOM,04 TO 06,120.0,Improved,1986,64 years 10 months,652000.0,402 SIN MING AVENUE,"1.3627589, 103.83276225",0.06136417,1
402,SIN MING AVE,2020-06,BISHAN,5 ROOM,13 TO 15,120.0,Improved,1986,64 years 08 months,690000.0,402 SIN MING AVENUE,"1.3627589, 103.83276225",0.06136417,1
402,SIN MING AVE,2020-10,BISHAN,5 ROOM,19 TO 21,120.0,Improved,1986,64 years 03 months,750000.0,402 SIN MING AVENUE,"1.3627589, 103.83276225",0.06136417,1
406,SIN MING AVE,2020-03,BISHAN,4 ROOM,13 TO 15,89.0,Simplified,1987,66 years 01 month,550000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2020-06,BISHAN,4 ROOM,07 TO 09,84.0,Simplified,1987,66 years,473000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2020-10,BISHAN,4 ROOM,04 TO 06,89.0,Simplified,1987,65 years 06 months,500000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2021-01,BISHAN,4 ROOM,10 TO 12,89.0,Simplified,1987,65 years 04 months,555000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2021-01,BISHAN,4 ROOM,04 TO 06,84.0,Simplified,1987,65 years 03 months,480000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2021-02,BISHAN,3 ROOM,04 TO 06,64.0,Simplified,1987,65 years 03 months,353000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
406,SIN MING AVE,2021-02,BISHAN,4 ROOM,13 TO 15,84.0,Simplified,1987,65 years 03 months,580000.0,406 SIN MING AVENUE,"1.3630843000000001, 103.83377082488701",0.10484364,1
447,BRIGHT HILL DR,2020-06,BISHAN,5 ROOM,16 TO 18,120.0,Improved,1990,68 years 08 months,700000.0,447 BRIGHT HILL DRIVE,"1.3582225, 103.8318362",0.14709604,1
447,BRIGHT HILL DR,2020-12,BISHAN,5 ROOM,13 TO 15,120.0,Improved,1990,68 years 02 months,715000.0,447 BRIGHT HILL DRIVE,"1.3582225, 103.8318362",0.14709604,1
447,BRIGHT HILL DR,2021-02,BISHAN,5 ROOM,07 TO 09,120.0,Improved,1990,67 years 11 months,705000.0,447 BRIGHT HILL DRIVE,"1.3582225, 103.8318362",0.14709604,1
445,SIN MING AVE,2020-02,BISHAN,4 ROOM,04 TO 06,107.0,Model A,1990,68 years 11 months,542000.0,445 SIN MING AVENUE,"1.358732, 103.8316987",0.15581375,1
445,SIN MING AVE,2020-09,BISHAN,4 ROOM,07 TO 09,105.0,Model A,1990,68 years 05 months,538000.0,445 SIN MING AVENUE,"1.358732, 103.8316987",0.15581375,1
445,SIN MING AVE,2020-10,BISHAN,4 ROOM,07 TO 09,105.0,Model A,1990,68 years 03 months,580000.0,445 SIN MING AVENUE,"1.358732, 103.8316987",0.15581375,1
445,SIN MING AVE,2021-01,BISHAN,EXECUTIVE,10 TO 12,187.0,Maisonette,1990,68 years,910000.0,445 SIN MING AVENUE,"1.358732, 103.8316987",0.15581375,1
407,SIN MING AVE,2020-04,BISHAN,3 ROOM,10 TO 12,64.0,Simplified,1986,65 years 05 months,380000.0,407 SIN MING AVENUE,"1.36342845, 103.83426887812382",0.1567631,1
