block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
426,SERANGOON AVE 1,2020-06,SERANGOON,4 ROOM,07 TO 09,103.0,Model A,1988,67 years 08 months,638000.0,426 SERANGOON AVENUE 1,"1.3478027, 103.87595816259898",0.33144134,1
426,SERANGOON AVE 1,2021-01,SERANGOON,4 ROOM,13 TO 15,113.0,Model A,1988,67 years,640000.0,426 SERANGOON AVENUE 1,"1.3478027, 103.87595816259898",0.33144134,1
427,SERANGOON CTRL,2020-12,SERANGOON,4 ROOM,01 TO 03,105.0,Model A,1989,67 years 01 month,588000.0,427 SERANGOON CENTRAL,"1.3479443999999998, 103.87503934985878",0.33468893,1
424,SERANGOON CTRL,2020-08,SERANGOON,EXECUTIVE,07 TO 09,146.0,Maisonette,1989,67 years 08 months,840000.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
424,SERANGOON CTRL,2020-09,SERANGOON,EXECUTIVE,10 TO 12,146.0,Maisonette,1989,67 years 07 months,920000.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
424,SERANGOON CTRL,2020-10,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1989,67 years 06 months,855000.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
424,SERANGOON CTRL,2020-10,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1989,67 years 06 months,870000.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
424,SERANGOON CTRL,2020-11,SERANGOON,EXECUTIVE,10 TO 12,146.0,Maisonette,1989,67 years 06 months,920000.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
424,SERANGOON CTRL,2020-11,SERANGOON,EXECUTIVE,10 TO 12,146.0,Maisonette,1989,67 years 06 months,901888.0,424 SERANGOON CENTRAL,"1.3481472499999998, 103.87558581006166",0.33660626,1
423,SERANGOON CTRL,2020-08,SERANGOON,EXECUTIVE,07 TO 09,146.0,Maisonette,1989,67 years 05 months,960000.0,423 SERANGOON CENTRAL,"1.34850815, 103.8755842067531",0.3462191,1
421,SERANGOON CTRL,2020-06,SERANGOON,4 ROOM,10 TO 12,103.0,Model A,1989,68 years 01 month,520000.0,421 SERANGOON CENTRAL,"1.3485719, 103.87506094337016",0.35091573,1
421,SERANGOON CTRL,2020-07,SERANGOON,4 ROOM,04 TO 06,111.0,Model A,1989,67 years 10 months,660000.0,421 SERANGOON CENTRAL,"1.3485719, 103.87506094337016",0.35091573,1
409,SERANGOON CTRL,2020-11,SERANGOON,5 ROOM,13 TO 15,123.0,Improved,1989,67 years 03 months,770000.0,409 SERANGOON CENTRAL,"1.3481535, 103.87449456152429",0.3541263,1
409,SERANGOON CTRL,2021-02,SERANGOON,4 ROOM,04 TO 06,111.0,Model A,1989,67 years,650000.0,409 SERANGOON CENTRAL,"1.3481535, 103.87449456152429",0.3541263,1
425,SERANGOON AVE 1,2020-08,SERANGOON,4 ROOM,07 TO 09,103.0,Model A,1989,67 years 10 months,610800.0,425 SERANGOON AVENUE 1,"1.3481220999999999, 103.87661901337574",0.35866523,1
425,SERANGOON AVE 1,2020-11,SERANGOON,4 ROOM,13 TO 15,106.0,Model A,1989,67 years 08 months,640088.0,425 SERANGOON AVENUE 1,"1.3481220999999999, 103.87661901337574",0.35866523,1
