block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
181A,BOON LAY DR,2020-01,JURONG WEST,4 ROOM,04 TO 06,93.0,Model A,2014,93 years 05 months,416000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-01,JURONG WEST,4 ROOM,01 TO 03,93.0,Model A,2014,93 years 04 months,400000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-01,JURONG WEST,4 ROOM,13 TO 15,93.0,Model A,2014,93 years 04 months,460000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-02,JURONG WEST,4 ROOM,04 TO 06,93.0,Model A,2014,93 years 03 months,408000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-03,JURONG WEST,4 ROOM,16 TO 18,93.0,Model A,2014,93 years 02 months,441800.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-06,JURONG WEST,3 ROOM,10 TO 12,68.0,Model A,2014,93 years 02 months,310000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-06,JURONG WEST,4 ROOM,10 TO 12,93.0,Model A,2014,93 years 01 month,410000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-07,JURONG WEST,3 ROOM,01 TO 03,68.0,Model A,2014,92 years 11 months,280000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-07,JURONG WEST,4 ROOM,01 TO 03,93.0,Model A,2014,92 years 11 months,400000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-07,JURONG WEST,4 ROOM,04 TO 06,93.0,Model A,2014,92 years 10 months,435000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-09,JURONG WEST,4 ROOM,13 TO 15,93.0,Model A,2014,92 years 09 months,450500.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
181A,BOON LAY DR,2020-10,JURONG WEST,4 ROOM,13 TO 15,93.0,Model A,2014,92 years 08 months,460000.0,181A BOON LAY DRIVE,"1.3485307, 103.70801339320084",0.084143855,1
