block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
357,TAMPINES ST 33,2020-02,TAMPINES,4 ROOM,04 TO 06,107.0,Model A,1996,75 years 03 months,380000.0,357 TAMPINES STREET 33,"1.35416435, 103.96187013002225",0.034814086,1
342,TAMPINES ST 33,2020-01,TAMPINES,4 ROOM,04 TO 06,107.0,Model A,1995,74 years 11 months,370000.0,342 TAMPINES STREET 33,"1.35134015, 103.96199358028048",0.04221424,1
342,TAMPINES ST 33,2020-02,TAMPINES,4 ROOM,04 TO 06,112.0,Model A,1995,74 years 10 months,370000.0,342 TAMPINES STREET 33,"1.35134015, 103.96199358028048",0.04221424,1
342,TAMPINES ST 33,2020-11,TAMPINES,4 ROOM,10 TO 12,108.0,Model A,1995,74 years 02 months,465000.0,342 TAMPINES STREET 33,"1.35134015, 103.96199358028048",0.04221424,1
342,TAMPINES ST 33,2020-11,TAMPINES,4 ROOM,04 TO 06,109.0,Model A,1995,74 years 02 months,400000.0,342 TAMPINES STREET 33,"1.35134015, 103.96199358028048",0.04221424,1
342,TAMPINES ST 33,2021-02,TAMPINES,5 ROOM,07 TO 09,124.0,Improved,1995,74 years,480000.0,342 TAMPINES STREET 33,"1.35134015, 103.96199358028048",0.04221424,1
355,TAMPINES ST 33,2020-12,TAMPINES,4 ROOM,01 TO 03,107.0,Model A,1996,74 years 03 months,400000.0,355 TAMPINES STREET 33,"1.35491165, 103.96189038479491",0.05454835,1
355,TAMPINES ST 33,2021-01,TAMPINES,4 ROOM,04 TO 06,107.0,Model A,1996,74 years 03 months,415000.0,355 TAMPINES STREET 33,"1.35491165, 103.96189038479491",0.05454835,1
345,TAMPINES ST 33,2020-08,TAMPINES,4 ROOM,04 TO 06,110.0,Model A,1996,74 years 10 months,370000.0,345 TAMPINES STREET 33,"1.3518173, 103.96247994782229",0.06877377,1
345,TAMPINES ST 33,2020-10,TAMPINES,4 ROOM,07 TO 09,105.0,Model A,1996,74 years 09 months,395000.0,345 TAMPINES STREET 33,"1.3518173, 103.96247994782229",0.06877377,1
359,TAMPINES ST 34,2020-07,TAMPINES,4 ROOM,04 TO 06,103.0,Model A,1996,74 years 08 months,400000.0,359 TAMPINES STREET 34,"1.3555153500000001, 103.96199484882219",0.07118775,1
359,TAMPINES ST 34,2020-09,TAMPINES,5 ROOM,04 TO 06,123.0,Improved,1996,74 years 06 months,500000.0,359 TAMPINES STREET 34,"1.3555153500000001, 103.96199484882219",0.07118775,1
359,TAMPINES ST 34,2021-01,TAMPINES,4 ROOM,01 TO 03,107.0,Model A,1996,74 years 02 months,390000.0,359 TAMPINES STREET 34,"1.3555153500000001, 103.96199484882219",0.07118775,1
356,TAMPINES ST 33,2020-08,TAMPINES,5 ROOM,04 TO 06,124.0,Improved,1996,74 years 07 months,460000.0,356 TAMPINES STREET 33,"1.35451645, 103.96138214424742",0.073922805,1
356,TAMPINES ST 33,2020-09,TAMPINES,5 ROOM,04 TO 06,125.0,Improved,1996,74 years 07 months,473000.0,356 TAMPINES STREET 33,"1.35451645, 103.96138214424742",0.073922805,1
352,TAMPINES ST 33,2020-09,TAMPINES,4 ROOM,04 TO 06,108.0,Model A,1996,75 years,375000.0,352 TAMPINES STREET 33,"1.3541889500000002, 103.96251094848274",0.07475513,1
352,TAMPINES ST 33,2020-12,TAMPINES,4 ROOM,01 TO 03,107.0,Model A,1996,74 years 09 months,365000.0,352 TAMPINES STREET 33,"1.3541889500000002, 103.96251094848274",0.07475513,1
333,TAMPINES ST 32,2021-01,TAMPINES,EXECUTIVE,07 TO 09,149.0,Apartment,1996,74 years 01 month,695888.0,333 TAMPINES STREET 32,"1.3533675500000002, 103.96119515017935",0.0813479,1
333,TAMPINES ST 32,2021-01,TAMPINES,EXECUTIVE,01 TO 03,147.0,Maisonette,1996,74 years,670000.0,333 TAMPINES STREET 32,"1.3533675500000002, 103.96119515017935",0.0813479,1
360,TAMPINES ST 34,2020-12,TAMPINES,4 ROOM,01 TO 03,107.0,Model A,1996,74 years 03 months,250000.0,360 TAMPINES STREET 34,"1.3555777, 103.96225917017185",0.081718564,1
354,TAMPINES ST 33,2021-01,TAMPINES,4 ROOM,04 TO 06,109.0,Model A,1996,74 years 08 months,440000.0,354 TAMPINES STREET 33,"1.35473505, 103.96253704264473",0.084984675,1
