block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
750,WOODLANDS AVE 4,2020-01,WOODLANDS,4 ROOM,01 TO 03,103.0,Model A,1998,77 years,311000.0,750 WOODLANDS AVENUE 4,"1.4444752, 103.79387961912568",0.033649754,1
750,WOODLANDS AVE 4,2020-06,WOODLANDS,5 ROOM,04 TO 06,122.0,Improved,1998,76 years 09 months,372000.0,750 WOODLANDS AVENUE 4,"1.4444752, 103.79387961912568",0.033649754,1
846,WOODLANDS AVE 4,2020-10,WOODLANDS,4 ROOM,04 TO 06,106.0,Model A,1996,74 years 10 months,340000.0,846 WOODLANDS AVENUE 4,"1.44342885, 103.79369145847333",0.044733506,1
752,WOODLANDS CIRCLE,2020-03,WOODLANDS,4 ROOM,07 TO 09,102.0,Model A,1998,76 years 11 months,336000.0,752 WOODLANDS CIRCLE,"1.4455056000000002, 103.7946937677853",0.08426342,1
752,WOODLANDS CIRCLE,2020-03,WOODLANDS,5 ROOM,07 TO 09,122.0,Improved,1998,76 years 10 months,420000.0,752 WOODLANDS CIRCLE,"1.4455056000000002, 103.7946937677853",0.08426342,1
752,WOODLANDS CIRCLE,2020-12,WOODLANDS,4 ROOM,01 TO 03,102.0,Model A,1998,76 years 02 months,345000.0,752 WOODLANDS CIRCLE,"1.4455056000000002, 103.7946937677853",0.08426342,1
857,WOODLANDS ST 83,2020-06,WOODLANDS,5 ROOM,04 TO 06,126.0,Improved,1996,75 years,410000.0,857 WOODLANDS STREET 83,"1.4404240000000001, 103.79385905690353",0.08740536,1
755,WOODLANDS AVE 4,2020-02,WOODLANDS,4 ROOM,01 TO 03,101.0,Model A,1997,76 years 11 months,310000.0,755 WOODLANDS AVENUE 4,"1.4452041, 103.79334281302442",0.09389899,1
755,WOODLANDS AVE 4,2020-02,WOODLANDS,5 ROOM,04 TO 06,122.0,Improved,1997,76 years 10 months,373000.0,755 WOODLANDS AVENUE 4,"1.4452041, 103.79334281302442",0.09389899,1
755,WOODLANDS AVE 4,2020-07,WOODLANDS,4 ROOM,04 TO 06,103.0,Model A,1997,76 years 05 months,313000.0,755 WOODLANDS AVENUE 4,"1.4452041, 103.79334281302442",0.09389899,1
755,WOODLANDS AVE 4,2020-09,WOODLANDS,5 ROOM,01 TO 03,121.0,Improved,1997,76 years 04 months,355000.0,755 WOODLANDS AVENUE 4,"1.4452041, 103.79334281302442",0.09389899,1
755,WOODLANDS AVE 4,2020-12,WOODLANDS,5 ROOM,01 TO 03,122.0,Improved,1997,76 years 01 month,390000.0,755 WOODLANDS AVENUE 4,"1.4452041, 103.79334281302442",0.09389899,1
858,WOODLANDS ST 83,2021-01,WOODLANDS,5 ROOM,04 TO 06,122.0,Improved,1996,74 years 03 months,470000.0,858 WOODLANDS STREET 83,"1.4404835999999999, 103.79451957972609",0.09467525,1
858,WOODLANDS ST 83,2021-01,WOODLANDS,5 ROOM,10 TO 12,127.0,Improved,1996,74 years 02 months,490000.0,858 WOODLANDS STREET 83,"1.4404835999999999, 103.79451957972609",0.09467525,1
864,WOODLANDS ST 83,2020-01,WOODLANDS,5 ROOM,01 TO 03,127.0,Improved,1996,75 years 03 months,410000.0,864 WOODLANDS STREET 83,"1.44104005, 103.79513027113785",0.13352434,1
864,WOODLANDS ST 83,2020-02,WOODLANDS,5 ROOM,04 TO 06,126.0,Improved,1996,75 years 01 month,415000.0,864 WOODLANDS STREET 83,"1.44104005, 103.79513027113785",0.13352434,1
864,WOODLANDS ST 83,2020-09,WOODLANDS,5 ROOM,04 TO 06,127.0,Improved,1996,74 years 06 months,451000.0,864 WOODLANDS STREET 83,"1.44104005, 103.79513027113785",0.13352434,1
864,WOODLANDS ST 83,2020-12,WOODLANDS,5 ROOM,10 TO 12,124.0,Improved,1996,74 years 04 months,500000.0,864 WOODLANDS STREET 83,"1.44104005, 103.79513027113785",0.13352434,1
855,WOODLANDS ST 83,2020-09,WOODLANDS,4 ROOM,10 TO 12,84.0,Simplified,1993,72 years,330000.0,855 WOODLANDS STREET 83,"1.4401414, 103.79314950072165",0.1387941,1
855,WOODLANDS ST 83,2020-10,WOODLANDS,4 ROOM,01 TO 03,84.0,Simplified,1993,71 years 10 months,310000.0,855 WOODLANDS STREET 83,"1.4401414, 103.79314950072165",0.1387941,1
845,WOODLANDS ST 82,2020-02,WOODLANDS,4 ROOM,10 TO 12,84.0,Simplified,1994,73 years 04 months,316000.0,845 WOODLANDS STREET 82,"1.44277615, 103.7928181615091",0.14324136,1
845,WOODLANDS ST 82,2020-07,WOODLANDS,4 ROOM,01 TO 03,84.0,Simplified,1994,72 years 11 months,308000.0,845 WOODLANDS STREET 82,"1.44277615, 103.7928181615091",0.14324136,1
845,WOODLANDS ST 82,2020-12,WOODLANDS,4 ROOM,10 TO 12,84.0,Simplified,1994,72 years 07 months,335000.0,845 WOODLANDS STREET 82,"1.44277615, 103.7928181615091",0.14324136,1
886C,WOODLANDS DR 50,2020-01,WOODLANDS,4 ROOM,13 TO 15,92.0,Premium Apartment,2015,94 years 02 months,450000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-01,WOODLANDS,4 ROOM,07 TO 09,92.0,Premium Apartment,2015,94 years 01 month,413000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-02,WOODLANDS,4 ROOM,10 TO 12,92.0,Premium Apartment,2015,94 years,415000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-03,WOODLANDS,4 ROOM,04 TO 06,92.0,Premium Apartment,2015,94 years,405000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-06,WOODLANDS,4 ROOM,07 TO 09,92.0,Premium Apartment,2015,93 years 10 months,430000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-06,WOODLANDS,4 ROOM,04 TO 06,92.0,Premium Apartment,2015,93 years 09 months,415000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-07,WOODLANDS,4 ROOM,10 TO 12,92.0,Premium Apartment,2015,93 years 08 months,425000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-11,WOODLANDS,3 ROOM,13 TO 15,67.0,Premium Apartment,2015,93 years 04 months,328000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
886C,WOODLANDS DR 50,2020-12,WOODLANDS,4 ROOM,13 TO 15,92.0,Premium Apartment,2015,93 years 03 months,471000.0,886C WOODLANDS DRIVE 50,"1.43786025, 103.7941753931864",0.1517232,1
748,WOODLANDS CIRCLE,2020-08,WOODLANDS,4 ROOM,01 TO 03,101.0,Model A,1998,76 years 05 months,295000.0,748 WOODLANDS CIRCLE,"1.44521065, 103.79546879138945",0.15910362,1
887A,WOODLANDS DR 50,2020-01,WOODLANDS,4 ROOM,04 TO 06,92.0,Premium Apartment,2015,94 years 01 month,400000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-03,WOODLANDS,4 ROOM,07 TO 09,92.0,Premium Apartment,2015,93 years 11 months,421888.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-06,WOODLANDS,4 ROOM,04 TO 06,92.0,Premium Apartment,2015,93 years 11 months,410000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-07,WOODLANDS,4 ROOM,16 TO 18,92.0,Premium Apartment,2015,93 years 07 months,455000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-07,WOODLANDS,4 ROOM,16 TO 18,95.0,Premium Apartment,2015,93 years 07 months,465000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-08,WOODLANDS,4 ROOM,10 TO 12,92.0,Premium Apartment,2015,93 years 07 months,432000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2020-09,WOODLANDS,4 ROOM,01 TO 03,92.0,Premium Apartment,2015,93 years 05 months,420000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
887A,WOODLANDS DR 50,2021-02,WOODLANDS,4 ROOM,04 TO 06,92.0,Premium Apartment,2015,93 years 01 month,420000.0,887A WOODLANDS DRIVE 50,"1.4373033, 103.79397080064176",0.1667548,1
866,WOODLANDS ST 83,2020-05,WOODLANDS,EXECUTIVE,07 TO 09,146.0,Apartment,1996,74 years 10 months,545000.0,866 WOODLANDS STREET 83,"1.4416285, 103.79262783151273",0.17080086,1
865,WOODLANDS ST 83,2020-08,WOODLANDS,EXECUTIVE,04 TO 06,152.0,Apartment,1996,74 years 07 months,580000.0,865 WOODLANDS STREET 83,"1.4410788, 103.79267429370569",0.17097196,1
887B,WOODLANDS DR 50,2020-07,WOODLANDS,4 ROOM,07 TO 09,92.0,Premium Apartment,2015,93 years 08 months,435000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
887B,WOODLANDS DR 50,2020-08,WOODLANDS,3 ROOM,04 TO 06,67.0,Premium Apartment,2015,93 years 07 months,318000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
887B,WOODLANDS DR 50,2020-08,WOODLANDS,3 ROOM,04 TO 06,67.0,Premium Apartment,2015,93 years 06 months,328000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
887B,WOODLANDS DR 50,2020-08,WOODLANDS,4 ROOM,07 TO 09,92.0,Premium Apartment,2015,93 years 06 months,429000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
887B,WOODLANDS DR 50,2020-09,WOODLANDS,4 ROOM,01 TO 03,92.0,Premium Apartment,2015,93 years 06 months,405000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
887B,WOODLANDS DR 50,2020-11,WOODLANDS,3 ROOM,07 TO 09,67.0,Premium Apartment,2015,93 years 03 months,355000.0,887B WOODLANDS DRIVE 50,"1.4371155, 103.79419450464344",0.17156383,1
842,WOODLANDS ST 82,2020-07,WOODLANDS,4 ROOM,10 TO 12,84.0,Simplified,1994,72 years 11 months,295000.0,842 WOODLANDS STREET 82,"1.44347175, 103.7925191124161",0.1749508,1
