block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
470B,FERNVALE LINK,2020-09,SENGKANG,3 ROOM,07 TO 09,68.0,Model A,2016,95 years,330000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-09,SENGKANG,4 ROOM,19 TO 21,93.0,Model A,2016,95 years,468000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-09,SENGKANG,4 ROOM,25 TO 27,93.0,Model A,2016,95 years,480000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-09,SENGKANG,4 ROOM,16 TO 18,93.0,Model A,2016,95 years,463000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-09,SENGKANG,4 ROOM,25 TO 27,93.0,Model A,2016,95 years,470000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-10,SENGKANG,3 ROOM,25 TO 27,68.0,Model A,2016,94 years 11 months,372000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-10,SENGKANG,4 ROOM,16 TO 18,93.0,Model A,2016,94 years 11 months,467000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-11,SENGKANG,3 ROOM,01 TO 03,68.0,Model A,2016,94 years 11 months,320000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2020-11,SENGKANG,4 ROOM,25 TO 27,93.0,Model A,2016,94 years 11 months,495000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2021-02,SENGKANG,3 ROOM,22 TO 24,68.0,Model A,2016,94 years 08 months,380888.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2021-02,SENGKANG,3 ROOM,25 TO 27,68.0,Model A,2016,94 years 07 months,380000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2021-02,SENGKANG,4 ROOM,10 TO 12,93.0,Model A,2016,94 years 07 months,452000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
470B,FERNVALE LINK,2021-02,SENGKANG,4 ROOM,22 TO 24,93.0,Model A,2016,94 years 08 months,469000.0,470B FERNVALE LINK,"1.3968625000000001, 103.87995962821222",0.02200229,1
