block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
223,LOR 8 TOA PAYOH,2020-01,TOA PAYOH,5 ROOM,07 TO 09,114.0,Standard,1976,55 years 02 months,495000.0,223 LORONG 8 TOA PAYOH,"1.3412581000000001, 103.855580675",0.03824917,1
223,LOR 8 TOA PAYOH,2020-02,TOA PAYOH,5 ROOM,10 TO 12,117.0,Standard,1976,55 years 01 month,520000.0,223 LORONG 8 TOA PAYOH,"1.3412581000000001, 103.855580675",0.03824917,1
223,LOR 8 TOA PAYOH,2020-06,TOA PAYOH,5 ROOM,04 TO 06,117.0,Standard,1976,54 years 11 months,475000.0,223 LORONG 8 TOA PAYOH,"1.3412581000000001, 103.855580675",0.03824917,1
223,LOR 8 TOA PAYOH,2020-07,TOA PAYOH,5 ROOM,04 TO 06,117.0,Standard,1976,54 years 08 months,475000.0,223 LORONG 8 TOA PAYOH,"1.3412581000000001, 103.855580675",0.03824917,1
223,LOR 8 TOA PAYOH,2020-08,TOA PAYOH,5 ROOM,01 TO 03,117.0,Standard,1976,54 years 07 months,468000.0,223 LORONG 8 TOA PAYOH,"1.3412581000000001, 103.855580675",0.03824917,1
4,LOR 7 TOA PAYOH,2020-10,TOA PAYOH,3 ROOM,04 TO 06,68.0,Improved,1969,47 years 09 months,232000.0,4 LORONG 7 TOA PAYOH,"1.3390393, 103.8554033",0.064068995,1
149,BISHAN ST 11,2020-07,BISHAN,5 ROOM,04 TO 06,122.0,Improved,1987,65 years 07 months,630000.0,149 BISHAN STREET 11,"1.34408795, 103.85589326309932",0.09652093,1
149,BISHAN ST 11,2020-12,BISHAN,5 ROOM,04 TO 06,122.0,Improved,1987,65 years 02 months,660000.0,149 BISHAN STREET 11,"1.34408795, 103.85589326309932",0.09652093,1
150A,BISHAN ST 11,2020-01,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,1989,68 years,392000.0,150A BISHAN STREET 11,"1.34469605, 103.85592293182222",0.11284023,1
150A,BISHAN ST 11,2020-11,BISHAN,3 ROOM,01 TO 03,64.0,Simplified,1989,67 years 03 months,298000.0,150A BISHAN STREET 11,"1.34469605, 103.85592293182222",0.11284023,1
17,LOR 7 TOA PAYOH,2020-03,TOA PAYOH,3 ROOM,01 TO 03,66.0,Improved,1971,49 years 10 months,190000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
17,LOR 7 TOA PAYOH,2020-06,TOA PAYOH,3 ROOM,10 TO 12,67.0,Improved,1971,49 years 08 months,255000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
17,LOR 7 TOA PAYOH,2020-08,TOA PAYOH,3 ROOM,16 TO 18,67.0,Improved,1971,49 years 06 months,252000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
17,LOR 7 TOA PAYOH,2020-09,TOA PAYOH,3 ROOM,10 TO 12,67.0,Improved,1971,49 years 05 months,250000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
17,LOR 7 TOA PAYOH,2020-12,TOA PAYOH,3 ROOM,19 TO 21,67.0,Improved,1971,49 years 01 month,280000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
17,LOR 7 TOA PAYOH,2021-01,TOA PAYOH,3 ROOM,16 TO 18,67.0,Improved,1971,49 years 01 month,298000.0,17 LORONG 7 TOA PAYOH,"1.3363470999999998, 103.85629440055638",0.11949028,1
147,BISHAN ST 11,2020-10,BISHAN,5 ROOM,07 TO 09,122.0,Improved,1987,65 years 05 months,640000.0,147 BISHAN STREET 11,"1.343887, 103.85514144768435",0.121740505,1
150,BISHAN ST 11,2021-02,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,1989,67 years,395000.0,150 BISHAN STREET 11,"1.3446847499999999, 103.85538185304591",0.124668606,1
151,BISHAN ST 11,2020-01,BISHAN,4 ROOM,04 TO 06,93.0,Simplified,1989,68 years 02 months,420000.0,151 BISHAN STREET 11,"1.3452161, 103.8558022198873",0.12672713,1
8,LOR 7 TOA PAYOH,2020-03,TOA PAYOH,3 ROOM,04 TO 06,66.0,Improved,1970,49 years 04 months,213500.0,8 LORONG 7 TOA PAYOH,"1.3376641, 103.85687193282543",0.13430662,1
8,LOR 7 TOA PAYOH,2020-08,TOA PAYOH,3 ROOM,10 TO 12,66.0,Improved,1970,48 years 11 months,235000.0,8 LORONG 7 TOA PAYOH,"1.3376641, 103.85687193282543",0.13430662,1
8,LOR 7 TOA PAYOH,2020-10,TOA PAYOH,3 ROOM,01 TO 03,66.0,Improved,1970,48 years 10 months,220000.0,8 LORONG 7 TOA PAYOH,"1.3376641, 103.85687193282543",0.13430662,1
8,LOR 7 TOA PAYOH,2021-02,TOA PAYOH,3 ROOM,01 TO 03,66.0,Improved,1970,48 years 06 months,228888.0,8 LORONG 7 TOA PAYOH,"1.3376641, 103.85687193282543",0.13430662,1
38,LOR 5 TOA PAYOH,2020-12,TOA PAYOH,3 ROOM,07 TO 09,67.0,Improved,1970,48 years 01 month,268000.0,38 LORONG 5 TOA PAYOH,"1.3353065, 103.8556829",0.13888654,1
6,LOR 7 TOA PAYOH,2020-10,TOA PAYOH,5 ROOM,10 TO 12,121.0,Improved,1998,77 years,668000.0,6 LORONG 7 TOA PAYOH,"1.3384817999999998, 103.85707579485924",0.14436729,1
6,LOR 7 TOA PAYOH,2020-11,TOA PAYOH,5 ROOM,22 TO 24,120.0,Improved,1998,76 years 11 months,740000.0,6 LORONG 7 TOA PAYOH,"1.3384817999999998, 103.85707579485924",0.14436729,1
