block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
622,JURONG WEST ST 61,2020-07,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 07 months,450000.0,622 JURONG WEST STREET 61,"1.3407142, 103.69909806087195",0.03769742,1
622,JURONG WEST ST 61,2020-11,JURONG WEST,5 ROOM,04 TO 06,110.0,Improved,2001,79 years 04 months,450000.0,622 JURONG WEST STREET 61,"1.3407142, 103.69909806087195",0.03769742,1
622,JURONG WEST ST 61,2020-12,JURONG WEST,4 ROOM,01 TO 03,91.0,Model A,2001,79 years 03 months,360000.0,622 JURONG WEST STREET 61,"1.3407142, 103.69909806087195",0.03769742,1
605,JURONG WEST ST 62,2020-01,JURONG WEST,4 ROOM,01 TO 03,95.0,Premium Apartment,2001,80 years 04 months,370000.0,605 JURONG WEST STREET 62,"1.3385064500000001, 103.6995016873155",0.05687201,1
605,JURONG WEST ST 62,2021-01,JURONG WEST,EXECUTIVE,07 TO 09,133.0,Premium Apartment,2001,79 years 04 months,610000.0,605 JURONG WEST STREET 62,"1.3385064500000001, 103.6995016873155",0.05687201,1
620,JURONG WEST ST 65,2020-10,JURONG WEST,5 ROOM,04 TO 06,110.0,Improved,2000,79 years 03 months,490000.0,620 JURONG WEST STREET 65,"1.34144675, 103.69938075622053",0.06854334,1
625,JURONG WEST ST 61,2020-02,JURONG WEST,5 ROOM,16 TO 18,110.0,Improved,2001,80 years,445000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2020-08,JURONG WEST,4 ROOM,07 TO 09,91.0,Model A,2001,79 years 06 months,395000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2020-08,JURONG WEST,5 ROOM,04 TO 06,110.0,Improved,2001,79 years 07 months,435000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2020-09,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 06 months,460000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2020-10,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 05 months,475000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2020-12,JURONG WEST,4 ROOM,01 TO 03,91.0,Model A,2001,79 years 03 months,365000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
625,JURONG WEST ST 61,2021-02,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 01 month,505000.0,625 JURONG WEST STREET 61,"1.34135, 103.69862436412367",0.06987047,1
627,JURONG WEST ST 65,2020-07,JURONG WEST,EXECUTIVE,16 TO 18,130.0,Apartment,2001,80 years 02 months,568000.0,627 JURONG WEST STREET 65,"1.3419632, 103.69892943850505",0.0706025,1
627,JURONG WEST ST 65,2020-09,JURONG WEST,EXECUTIVE,07 TO 09,130.0,Apartment,2001,79 years 11 months,540000.0,627 JURONG WEST STREET 65,"1.3419632, 103.69892943850505",0.0706025,1
627,JURONG WEST ST 65,2021-02,JURONG WEST,EXECUTIVE,10 TO 12,130.0,Apartment,2001,79 years 07 months,550000.0,627 JURONG WEST STREET 65,"1.3419632, 103.69892943850505",0.0706025,1
607,JURONG WEST ST 65,2020-06,JURONG WEST,EXECUTIVE,01 TO 03,133.0,Premium Apartment,2001,80 years,520000.0,607 JURONG WEST STREET 65,"1.3380401, 103.69962209004923",0.07415679,1
649B,JURONG WEST ST 61,2020-01,JURONG WEST,4 ROOM,10 TO 12,91.0,Model A,2001,80 years 03 months,388000.0,649B JURONG WEST STREET 61,"1.3380705000000002, 103.69835701014512",0.08141442,1
626,JURONG WEST ST 65,2021-01,JURONG WEST,EXECUTIVE,01 TO 03,130.0,Apartment,2001,79 years 08 months,515000.0,626 JURONG WEST STREET 65,"1.3418086, 103.69852642385771",0.08612256,1
628,JURONG WEST ST 65,2020-02,JURONG WEST,EXECUTIVE,10 TO 12,130.0,Apartment,2001,80 years 06 months,555000.0,628 JURONG WEST STREET 65,"1.34217355, 103.69945267239086",0.088919565,1
651B,JURONG WEST ST 61,2020-06,JURONG WEST,4 ROOM,10 TO 12,91.0,Model A,2002,81 years 02 months,406000.0,651B JURONG WEST STREET 61,"1.3370769, 103.69841826050029",0.08976443,1
651B,JURONG WEST ST 61,2020-07,JURONG WEST,4 ROOM,04 TO 06,91.0,Model A,2002,80 years 11 months,385000.0,651B JURONG WEST STREET 61,"1.3370769, 103.69841826050029",0.08976443,1
652A,JURONG WEST ST 61,2020-12,JURONG WEST,5 ROOM,07 TO 09,110.0,Improved,2002,80 years 06 months,475000.0,652A JURONG WEST STREET 61,"1.3366668, 103.69849956305453",0.09112566,1
652A,JURONG WEST ST 61,2021-01,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2002,80 years 04 months,510000.0,652A JURONG WEST STREET 61,"1.3366668, 103.69849956305453",0.09112566,1
621,JURONG WEST ST 65,2020-01,JURONG WEST,4 ROOM,01 TO 03,85.0,Model A2,2000,79 years 10 months,350000.0,621 JURONG WEST STREET 65,"1.3410727, 103.69975192335232",0.09293057,1
621,JURONG WEST ST 65,2020-01,JURONG WEST,4 ROOM,04 TO 06,90.0,Model A2,2000,79 years 10 months,352000.0,621 JURONG WEST STREET 65,"1.3410727, 103.69975192335232",0.09293057,1
621,JURONG WEST ST 65,2020-02,JURONG WEST,4 ROOM,13 TO 15,85.0,Model A2,2000,79 years 10 months,370000.0,621 JURONG WEST STREET 65,"1.3410727, 103.69975192335232",0.09293057,1
621,JURONG WEST ST 65,2020-06,JURONG WEST,4 ROOM,13 TO 15,90.0,Model A2,2000,79 years 07 months,410000.0,621 JURONG WEST STREET 65,"1.3410727, 103.69975192335232",0.09293057,1
634,JURONG WEST ST 65,2020-03,JURONG WEST,5 ROOM,04 TO 06,110.0,Improved,2001,80 years 08 months,400000.0,634 JURONG WEST STREET 65,"1.34307965, 103.69896927651277",0.099368066,1
634,JURONG WEST ST 65,2020-07,JURONG WEST,5 ROOM,16 TO 18,110.0,Improved,2001,80 years 05 months,435000.0,634 JURONG WEST STREET 65,"1.34307965, 103.69896927651277",0.099368066,1
634,JURONG WEST ST 65,2020-11,JURONG WEST,4 ROOM,10 TO 12,91.0,Model A,2001,80 years 01 month,375000.0,634 JURONG WEST STREET 65,"1.34307965, 103.69896927651277",0.099368066,1
656B,JURONG WEST ST 61,2020-01,JURONG WEST,EXECUTIVE,10 TO 12,132.0,Apartment,2001,80 years 06 months,530000.0,656B JURONG WEST STREET 61,"1.3358922, 103.6994653886016",0.102434665,1
656B,JURONG WEST ST 61,2020-03,JURONG WEST,EXECUTIVE,13 TO 15,132.0,Apartment,2001,80 years 04 months,570000.0,656B JURONG WEST STREET 61,"1.3358922, 103.6994653886016",0.102434665,1
656B,JURONG WEST ST 61,2020-03,JURONG WEST,EXECUTIVE,13 TO 15,133.0,Apartment,2001,80 years 04 months,550000.0,656B JURONG WEST STREET 61,"1.3358922, 103.6994653886016",0.102434665,1
656B,JURONG WEST ST 61,2020-09,JURONG WEST,EXECUTIVE,10 TO 12,132.0,Apartment,2001,79 years 10 months,535000.0,656B JURONG WEST STREET 61,"1.3358922, 103.6994653886016",0.102434665,1
654A,JURONG WEST ST 61,2020-02,JURONG WEST,5 ROOM,04 TO 06,111.0,Improved,2002,81 years 06 months,445000.0,654A JURONG WEST STREET 61,"1.3361271000000001, 103.69845518713998",0.10531302,1
654A,JURONG WEST ST 61,2020-04,JURONG WEST,5 ROOM,04 TO 06,110.0,Improved,2002,81 years 04 months,490000.0,654A JURONG WEST STREET 61,"1.3361271000000001, 103.69845518713998",0.10531302,1
654A,JURONG WEST ST 61,2020-06,JURONG WEST,5 ROOM,07 TO 09,110.0,Improved,2002,81 years 04 months,465000.0,654A JURONG WEST STREET 61,"1.3361271000000001, 103.69845518713998",0.10531302,1
654A,JURONG WEST ST 61,2020-10,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2002,80 years 11 months,490000.0,654A JURONG WEST STREET 61,"1.3361271000000001, 103.69845518713998",0.10531302,1
619,JURONG WEST ST 65,2020-08,JURONG WEST,4 ROOM,10 TO 12,91.0,Model A,2000,79 years 05 months,380000.0,619 JURONG WEST STREET 65,"1.34150755, 103.69982102200834",0.10547511,1
619,JURONG WEST ST 65,2020-12,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2000,79 years 01 month,485000.0,619 JURONG WEST STREET 65,"1.34150755, 103.69982102200834",0.10547511,1
619,JURONG WEST ST 65,2020-12,JURONG WEST,5 ROOM,10 TO 12,110.0,Improved,2000,79 years,495000.0,619 JURONG WEST STREET 65,"1.34150755, 103.69982102200834",0.10547511,1
633,JURONG WEST ST 65,2020-08,JURONG WEST,5 ROOM,16 TO 18,110.0,Improved,2001,80 years 03 months,462000.0,633 JURONG WEST STREET 65,"1.34343065, 103.69918530959812",0.10981581,1
629,JURONG WEST ST 65,2020-03,JURONG WEST,EXECUTIVE,10 TO 12,130.0,Apartment,2001,80 years 05 months,538000.0,629 JURONG WEST STREET 65,"1.34251565, 103.699677635352",0.11106992,1
629,JURONG WEST ST 65,2020-03,JURONG WEST,EXECUTIVE,16 TO 18,130.0,Apartment,2001,80 years 05 months,561888.0,629 JURONG WEST STREET 65,"1.34251565, 103.699677635352",0.11106992,1
656A,JURONG WEST ST 61,2020-02,JURONG WEST,EXECUTIVE,10 TO 12,132.0,Apartment,2002,81 years 02 months,530000.0,656A JURONG WEST STREET 61,"1.33535855, 103.69941433778847",0.11270426,1
656A,JURONG WEST ST 61,2020-08,JURONG WEST,EXECUTIVE,13 TO 15,132.0,Apartment,2002,80 years 07 months,525000.0,656A JURONG WEST STREET 61,"1.33535855, 103.69941433778847",0.11270426,1
656A,JURONG WEST ST 61,2020-12,JURONG WEST,EXECUTIVE,07 TO 09,132.0,Apartment,2002,80 years 04 months,555000.0,656A JURONG WEST STREET 61,"1.33535855, 103.69941433778847",0.11270426,1
656A,JURONG WEST ST 61,2021-01,JURONG WEST,EXECUTIVE,01 TO 03,132.0,Apartment,2002,80 years 03 months,538000.0,656A JURONG WEST STREET 61,"1.33535855, 103.69941433778847",0.11270426,1
655A,JURONG WEST ST 61,2020-02,JURONG WEST,4 ROOM,01 TO 03,86.0,Model A2,2002,81 years 08 months,305000.0,655A JURONG WEST STREET 61,"1.33552305, 103.69850236155173",0.1156451,1
655A,JURONG WEST ST 61,2020-03,JURONG WEST,4 ROOM,04 TO 06,86.0,Model A2,2002,81 years 07 months,338000.0,655A JURONG WEST STREET 61,"1.33552305, 103.69850236155173",0.1156451,1
655A,JURONG WEST ST 61,2020-06,JURONG WEST,4 ROOM,16 TO 18,86.0,Model A2,2002,81 years 04 months,388000.0,655A JURONG WEST STREET 61,"1.33552305, 103.69850236155173",0.1156451,1
655A,JURONG WEST ST 61,2020-08,JURONG WEST,4 ROOM,04 TO 06,87.0,Model A2,2002,81 years 02 months,370000.0,655A JURONG WEST STREET 61,"1.33552305, 103.69850236155173",0.1156451,1
