block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
99,OLD AIRPORT RD,2020-12,GEYLANG,3 ROOM,10 TO 12,56.0,Standard,1969,47 years 01 month,295000.0,99 OLD AIRPORT ROAD,"1.3086003499999999, 103.8882672800285",0.081981376,1
97,JLN DUA,2021-02,GEYLANG,3 ROOM,04 TO 06,56.0,Standard,1969,47 years,275000.0,97 JALAN DUA,"1.30894975, 103.88839554071109",0.083491646,1
95,OLD AIRPORT RD,2020-12,GEYLANG,3 ROOM,07 TO 09,56.0,Standard,1969,47 years 02 months,253000.0,95 OLD AIRPORT ROAD,"1.308416, 103.88739410787929",0.0912971,1
95,OLD AIRPORT RD,2021-01,GEYLANG,3 ROOM,04 TO 06,56.0,Standard,1969,47 years 01 month,305000.0,95 OLD AIRPORT ROAD,"1.308416, 103.88739410787929",0.0912971,1
93,JLN DUA,2020-01,GEYLANG,3 ROOM,07 TO 09,62.0,Standard,1969,48 years,293000.0,93 JALAN DUA,"1.3086604, 103.88713940439857",0.10595754,1
93,JLN DUA,2020-02,GEYLANG,4 ROOM,04 TO 06,124.0,Adjoined flat,1969,48 years,588000.0,93 JALAN DUA,"1.3086604, 103.88713940439857",0.10595754,1
93,JLN DUA,2020-07,GEYLANG,3 ROOM,04 TO 06,62.0,Standard,1969,47 years 06 months,290000.0,93 JALAN DUA,"1.3086604, 103.88713940439857",0.10595754,1
93,JLN DUA,2020-07,GEYLANG,3 ROOM,04 TO 06,62.0,Standard,1969,47 years 07 months,292000.0,93 JALAN DUA,"1.3086604, 103.88713940439857",0.10595754,1
93,JLN DUA,2020-11,GEYLANG,4 ROOM,07 TO 09,124.0,Adjoined flat,1969,47 years 03 months,560000.0,93 JALAN DUA,"1.3086604, 103.88713940439857",0.10595754,1
60,DAKOTA CRES,2020-01,GEYLANG,4 ROOM,07 TO 09,111.0,Model A,1983,62 years 09 months,668000.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
60,DAKOTA CRES,2020-09,GEYLANG,5 ROOM,10 TO 12,140.0,Model A-Maisonette,1983,62 years 01 month,960000.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
60,DAKOTA CRES,2020-11,GEYLANG,4 ROOM,13 TO 15,111.0,Model A,1983,61 years 11 months,755000.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
60,DAKOTA CRES,2020-12,GEYLANG,5 ROOM,10 TO 12,140.0,Model A-Maisonette,1983,61 years 11 months,1008888.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
60,DAKOTA CRES,2021-01,GEYLANG,5 ROOM,10 TO 12,140.0,Model A-Maisonette,1983,61 years 09 months,935000.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
60,DAKOTA CRES,2021-01,GEYLANG,5 ROOM,07 TO 09,140.0,Model A-Maisonette,1983,61 years 09 months,980000.0,60 DAKOTA CRESCENT,"1.3078658, 103.8885715",0.11803882,1
62,DAKOTA CRES,2020-09,GEYLANG,4 ROOM,07 TO 09,104.0,Model A,1984,63 years 02 months,648000.0,62 DAKOTA CRESCENT,"1.30785825, 103.88887287566604",0.14247619,1
130,GEYLANG EAST AVE 1,2020-02,GEYLANG,EXECUTIVE,13 TO 15,152.0,Maisonette,1987,66 years 03 months,862000.0,130 GEYLANG EAST AVENUE 1,"1.3168601500000001, 103.88775552349635",0.1517514,1
130,GEYLANG EAST AVE 1,2020-05,GEYLANG,EXECUTIVE,04 TO 06,146.0,Maisonette,1987,66 years 01 month,788000.0,130 GEYLANG EAST AVENUE 1,"1.3168601500000001, 103.88775552349635",0.1517514,1
