block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
153,ANG MO KIO AVE 5,2020-03,ANG MO KIO,3 ROOM,01 TO 03,68.0,New Generation,1981,59 years 10 months,250000.0,153 ANG MO KIO AVENUE 5,"1.3763727000000001, 103.84207419040436",0.130093,1
153,ANG MO KIO AVE 5,2020-03,ANG MO KIO,3 ROOM,01 TO 03,68.0,New Generation,1981,59 years 10 months,269000.0,153 ANG MO KIO AVENUE 5,"1.3763727000000001, 103.84207419040436",0.130093,1
153,ANG MO KIO AVE 5,2020-06,ANG MO KIO,3 ROOM,04 TO 06,68.0,New Generation,1981,59 years 09 months,258000.0,153 ANG MO KIO AVENUE 5,"1.3763727000000001, 103.84207419040436",0.130093,1
153,ANG MO KIO AVE 5,2020-06,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,59 years 08 months,248000.0,153 ANG MO KIO AVENUE 5,"1.3763727000000001, 103.84207419040436",0.130093,1
150,ANG MO KIO AVE 5,2020-06,ANG MO KIO,4 ROOM,01 TO 03,93.0,New Generation,1981,59 years 09 months,330000.0,150 ANG MO KIO AVENUE 5,"1.3767776999999999, 103.84201139498651",0.13687748,1
150,ANG MO KIO AVE 5,2020-07,ANG MO KIO,3 ROOM,07 TO 09,82.0,New Generation,1981,59 years 06 months,348000.0,150 ANG MO KIO AVENUE 5,"1.3767776999999999, 103.84201139498651",0.13687748,1
150,ANG MO KIO AVE 5,2020-10,ANG MO KIO,3 ROOM,04 TO 06,68.0,New Generation,1981,59 years 03 months,278000.0,150 ANG MO KIO AVENUE 5,"1.3767776999999999, 103.84201139498651",0.13687748,1
128,ANG MO KIO AVE 3,2020-09,ANG MO KIO,3 ROOM,04 TO 06,67.0,New Generation,1978,57 years 01 month,260000.0,128 ANG MO KIO AVENUE 3,"1.3707970999999999, 103.84355555",0.15994184,1
154,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 01 month,278000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",0.22290796,1
154,ANG MO KIO AVE 5,2020-02,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years,263000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",0.22290796,1
154,ANG MO KIO AVE 5,2021-01,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,59 years 01 month,309000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",0.22290796,1
154,ANG MO KIO AVE 5,2021-02,ANG MO KIO,4 ROOM,01 TO 03,93.0,New Generation,1981,59 years,388000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",0.22290796,1
