block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
26,CHAI CHEE RD,2020-09,BEDOK,5 ROOM,04 TO 06,122.0,Improved,1993,71 years 08 months,625000.0,26 CHAI CHEE ROAD,"1.32329295, 103.92358857270074",0.09907733,1
26,CHAI CHEE RD,2020-12,BEDOK,5 ROOM,13 TO 15,133.0,Model A,1993,71 years 06 months,710000.0,26 CHAI CHEE ROAD,"1.32329295, 103.92358857270074",0.09907733,1
25,CHAI CHEE RD,2020-12,BEDOK,4 ROOM,13 TO 15,104.0,Model A,1993,71 years 05 months,580000.0,25 CHAI CHEE ROAD,"1.32373105, 103.92413737041167",0.11639024,1
27,CHAI CHEE RD,2020-07,BEDOK,4 ROOM,04 TO 06,104.0,Model A,1993,71 years 11 months,530000.0,27 CHAI CHEE ROAD,"1.3241630500000001, 103.92350032780476",0.1239457,1
29A,CHAI CHEE AVE,2020-06,BEDOK,EXECUTIVE,04 TO 06,145.0,Apartment,1996,75 years 05 months,810000.0,29A CHAI CHEE AVENUE,"1.3247048000000001, 103.9238311336324",0.1350656,1
29A,CHAI CHEE AVE,2020-08,BEDOK,EXECUTIVE,01 TO 03,145.0,Apartment,1996,75 years 03 months,703000.0,29A CHAI CHEE AVENUE,"1.3247048000000001, 103.9238311336324",0.1350656,1
20,CHAI CHEE RD,2020-06,BEDOK,3 ROOM,01 TO 03,65.0,Improved,1972,51 years 03 months,245000.0,20 CHAI CHEE ROAD,"1.3260784, 103.92309944569587",0.18694012,1
20,CHAI CHEE RD,2020-09,BEDOK,3 ROOM,07 TO 09,65.0,Improved,1972,50 years 11 months,260000.0,20 CHAI CHEE ROAD,"1.3260784, 103.92309944569587",0.18694012,1
20,CHAI CHEE RD,2020-09,BEDOK,3 ROOM,04 TO 06,65.0,Improved,1972,50 years 10 months,251000.0,20 CHAI CHEE ROAD,"1.3260784, 103.92309944569587",0.18694012,1
20,CHAI CHEE RD,2020-09,BEDOK,3 ROOM,10 TO 12,65.0,Improved,1972,50 years 10 months,248000.0,20 CHAI CHEE ROAD,"1.3260784, 103.92309944569587",0.18694012,1
808A,CHAI CHEE RD,2020-07,BEDOK,4 ROOM,13 TO 15,93.0,Model A,2016,95 years 05 months,680000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-08,BEDOK,4 ROOM,13 TO 15,93.0,Model A,2016,95 years 03 months,653000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-08,BEDOK,4 ROOM,07 TO 09,93.0,Model A,2016,95 years 03 months,610000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-09,BEDOK,4 ROOM,13 TO 15,93.0,Model A,2016,95 years 03 months,675000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-10,BEDOK,4 ROOM,07 TO 09,93.0,Model A,2016,95 years 02 months,642000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-10,BEDOK,4 ROOM,07 TO 09,93.0,Model A,2016,95 years 02 months,625000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-10,BEDOK,4 ROOM,04 TO 06,93.0,Model A,2016,95 years 01 month,640000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-11,BEDOK,4 ROOM,10 TO 12,93.0,Model A,2016,95 years 01 month,635000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-12,BEDOK,3 ROOM,13 TO 15,68.0,Model A,2016,94 years 11 months,450000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2020-12,BEDOK,4 ROOM,04 TO 06,93.0,Model A,2016,95 years,598000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2021-01,BEDOK,4 ROOM,13 TO 15,93.0,Model A,2016,94 years 11 months,685000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
808A,CHAI CHEE RD,2021-02,BEDOK,3 ROOM,10 TO 12,68.0,Model A,2016,94 years 09 months,480000.0,808A CHAI CHEE ROAD,"1.3269912499999998, 103.92403088745593",0.19825152,1
807A,CHAI CHEE RD,2020-05,BEDOK,4 ROOM,13 TO 15,93.0,Model A,2016,95 years 07 months,650000.0,807A CHAI CHEE ROAD,"1.3271522, 103.92343526257311",0.20370041,1
807A,CHAI CHEE RD,2020-08,BEDOK,4 ROOM,01 TO 03,93.0,Model A,2016,95 years 03 months,618000.0,807A CHAI CHEE ROAD,"1.3271522, 103.92343526257311",0.20370041,1
