block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
647,PASIR RIS DR 10,2020-06,PASIR RIS,EXECUTIVE,04 TO 06,148.0,Apartment,1995,74 years 04 months,610000.0,647 PASIR RIS DRIVE 10,"1.37845665, 103.93906100711152",0.032929666,1
647,PASIR RIS DR 10,2020-12,PASIR RIS,EXECUTIVE,10 TO 12,149.0,Apartment,1995,73 years 09 months,688000.0,647 PASIR RIS DRIVE 10,"1.37845665, 103.93906100711152",0.032929666,1
641,PASIR RIS DR 1,2020-06,PASIR RIS,4 ROOM,10 TO 12,104.0,Model A,1995,74 years 03 months,400000.0,641 PASIR RIS DRIVE 1,"1.37643525, 103.9396616072794",0.053157978,1
648,PASIR RIS DR 10,2020-08,PASIR RIS,EXECUTIVE,04 TO 06,148.0,Apartment,1995,74 years,622000.0,648 PASIR RIS DRIVE 10,"1.3787956000000001, 103.93868006253462",0.07359066,1
632,PASIR RIS DR 3,2020-10,PASIR RIS,4 ROOM,01 TO 03,104.0,Model A,1995,73 years 09 months,410000.0,632 PASIR RIS DRIVE 3,"1.3786553000000001, 103.93992815674403",0.077359654,1
639,PASIR RIS DR 1,2020-03,PASIR RIS,5 ROOM,10 TO 12,122.0,Improved,1995,74 years 04 months,513888.0,639 PASIR RIS DRIVE 1,"1.3766151500000001, 103.9399991189079",0.084549956,1
639,PASIR RIS DR 1,2020-10,PASIR RIS,5 ROOM,07 TO 09,122.0,Improved,1995,73 years 10 months,515000.0,639 PASIR RIS DRIVE 1,"1.3766151500000001, 103.9399991189079",0.084549956,1
639,PASIR RIS DR 1,2020-11,PASIR RIS,4 ROOM,07 TO 09,104.0,Model A,1995,73 years 09 months,408000.0,639 PASIR RIS DRIVE 1,"1.3766151500000001, 103.9399991189079",0.084549956,1
649,PASIR RIS DR 10,2020-12,PASIR RIS,EXECUTIVE,07 TO 09,145.0,Apartment,1995,73 years 09 months,608000.0,649 PASIR RIS DRIVE 10,"1.3784492, 103.93847129345474",0.092448324,1
649,PASIR RIS DR 10,2020-12,PASIR RIS,EXECUTIVE,04 TO 06,146.0,Apartment,1995,73 years 09 months,610000.0,649 PASIR RIS DRIVE 10,"1.3784492, 103.93847129345474",0.092448324,1
649,PASIR RIS DR 10,2021-02,PASIR RIS,EXECUTIVE,04 TO 06,146.0,Apartment,1995,73 years 07 months,615000.0,649 PASIR RIS DRIVE 10,"1.3784492, 103.93847129345474",0.092448324,1
708,PASIR RIS DR 10,2021-02,PASIR RIS,5 ROOM,07 TO 09,126.0,Improved,1996,74 years,550000.0,708 PASIR RIS DRIVE 10,"1.3812703, 103.93909009303404",0.099937916,1
642,PASIR RIS DR 10,2020-03,PASIR RIS,EXECUTIVE,07 TO 09,148.0,Apartment,1995,74 years 05 months,610000.0,642 PASIR RIS DRIVE 10,"1.3775051999999999, 103.9383279557407",0.105740115,1
642,PASIR RIS DR 10,2020-06,PASIR RIS,EXECUTIVE,04 TO 06,150.0,Apartment,1995,74 years 03 months,615000.0,642 PASIR RIS DRIVE 10,"1.3775051999999999, 103.9383279557407",0.105740115,1
