block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
333,CLEMENTI AVE 2,2020-03,CLEMENTI,4 ROOM,07 TO 09,92.0,New Generation,1978,57 years 05 months,508000.0,333 CLEMENTI AVENUE 2,"1.3151924, 103.76751276979252",0.042747904,1
333,CLEMENTI AVE 2,2020-10,CLEMENTI,4 ROOM,04 TO 06,92.0,New Generation,1978,56 years 11 months,475000.0,333 CLEMENTI AVENUE 2,"1.3151924, 103.76751276979252",0.042747904,1
333,CLEMENTI AVE 2,2021-01,CLEMENTI,4 ROOM,07 TO 09,92.0,New Generation,1978,56 years 08 months,512000.0,333 CLEMENTI AVENUE 2,"1.3151924, 103.76751276979252",0.042747904,1
377,CLEMENTI AVE 5,2020-02,CLEMENTI,3 ROOM,01 TO 03,67.0,New Generation,1980,59 years 08 months,257000.0,377 CLEMENTI AVENUE 5,"1.31753575, 103.768044584412",0.046203785,1
377,CLEMENTI AVE 5,2020-09,CLEMENTI,3 ROOM,10 TO 12,67.0,New Generation,1980,59 years 02 months,313000.0,377 CLEMENTI AVENUE 5,"1.31753575, 103.768044584412",0.046203785,1
377,CLEMENTI AVE 5,2020-11,CLEMENTI,3 ROOM,10 TO 12,67.0,New Generation,1980,58 years 11 months,326000.0,377 CLEMENTI AVENUE 5,"1.31753575, 103.768044584412",0.046203785,1
332,CLEMENTI AVE 2,2020-10,CLEMENTI,4 ROOM,04 TO 06,92.0,New Generation,1978,56 years 10 months,502000.0,332 CLEMENTI AVENUE 2,"1.31474555, 103.76750914685249",0.050050817,1
332,CLEMENTI AVE 2,2020-11,CLEMENTI,4 ROOM,10 TO 12,92.0,New Generation,1978,56 years 09 months,520000.0,332 CLEMENTI AVENUE 2,"1.31474555, 103.76750914685249",0.050050817,1
331,CLEMENTI AVE 2,2020-10,CLEMENTI,3 ROOM,04 TO 06,67.0,New Generation,1978,56 years 10 months,330000.0,331 CLEMENTI AVENUE 2,"1.3141201, 103.7679299486413",0.05073749,1
379,CLEMENTI AVE 5,2020-03,CLEMENTI,3 ROOM,04 TO 06,67.0,New Generation,1980,59 years 06 months,320000.0,379 CLEMENTI AVENUE 5,"1.3179888499999999, 103.76788775226908",0.05273838,1
379,CLEMENTI AVE 5,2020-04,CLEMENTI,3 ROOM,04 TO 06,67.0,New Generation,1980,59 years 06 months,295000.0,379 CLEMENTI AVENUE 5,"1.3179888499999999, 103.76788775226908",0.05273838,1
379,CLEMENTI AVE 5,2020-05,CLEMENTI,3 ROOM,04 TO 06,82.0,New Generation,1980,59 years 05 months,347000.0,379 CLEMENTI AVENUE 5,"1.3179888499999999, 103.76788775226908",0.05273838,1
379,CLEMENTI AVE 5,2020-07,CLEMENTI,3 ROOM,10 TO 12,67.0,New Generation,1980,59 years 03 months,325000.0,379 CLEMENTI AVENUE 5,"1.3179888499999999, 103.76788775226908",0.05273838,1
379,CLEMENTI AVE 5,2020-12,CLEMENTI,3 ROOM,10 TO 12,82.0,New Generation,1980,58 years 09 months,380000.0,379 CLEMENTI AVENUE 5,"1.3179888499999999, 103.76788775226908",0.05273838,1
330,CLEMENTI AVE 2,2020-12,CLEMENTI,3 ROOM,10 TO 12,82.0,New Generation,1978,56 years 08 months,365000.0,330 CLEMENTI AVENUE 2,"1.3136846, 103.76780273019526",0.061559558,1
334,CLEMENTI AVE 2,2020-08,CLEMENTI,3 ROOM,04 TO 06,67.0,New Generation,1978,56 years 11 months,308000.0,334 CLEMENTI AVENUE 2,"1.3151301, 103.7684348421302",0.06952774,1
334,CLEMENTI AVE 2,2020-12,CLEMENTI,3 ROOM,01 TO 03,67.0,New Generation,1978,56 years 08 months,288000.0,334 CLEMENTI AVENUE 2,"1.3151301, 103.7684348421302",0.06952774,1
334,CLEMENTI AVE 2,2021-02,CLEMENTI,3 ROOM,04 TO 06,67.0,New Generation,1978,56 years 06 months,320000.0,334 CLEMENTI AVENUE 2,"1.3151301, 103.7684348421302",0.06952774,1
381,CLEMENTI AVE 5,2020-06,CLEMENTI,4 ROOM,10 TO 12,91.0,New Generation,1981,60 years 04 months,475000.0,381 CLEMENTI AVENUE 5,"1.3185422999999998, 103.76802021693018",0.06993504,1
381,CLEMENTI AVE 5,2021-02,CLEMENTI,4 ROOM,10 TO 12,91.0,New Generation,1981,59 years 06 months,538000.0,381 CLEMENTI AVENUE 5,"1.3185422999999998, 103.76802021693018",0.06993504,1
335,CLEMENTI AVE 2,2020-11,CLEMENTI,3 ROOM,07 TO 09,67.0,New Generation,1978,57 years 01 month,326000.0,335 CLEMENTI AVENUE 2,"1.3169821000000002, 103.76858008467407",0.08572044,1
