block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
718,TAMPINES ST 72,2020-04,TAMPINES,5 ROOM,10 TO 12,120.0,Improved,1997,76 years,560000.0,718 TAMPINES STREET 72,"1.3591123999999999, 103.93560120407479",0.038120575,1
718,TAMPINES ST 72,2020-09,TAMPINES,5 ROOM,04 TO 06,119.0,Improved,1997,75 years 07 months,525000.0,718 TAMPINES STREET 72,"1.3591123999999999, 103.93560120407479",0.038120575,1
718,TAMPINES ST 72,2020-09,TAMPINES,5 ROOM,07 TO 09,119.0,Improved,1997,75 years 07 months,530000.0,718 TAMPINES STREET 72,"1.3591123999999999, 103.93560120407479",0.038120575,1
727,TAMPINES ST 71,2020-03,TAMPINES,5 ROOM,07 TO 09,123.0,Improved,1997,76 years 06 months,540000.0,727 TAMPINES STREET 71,"1.3562181999999998, 103.93545296251393",0.04173878,1
727,TAMPINES ST 71,2020-10,TAMPINES,5 ROOM,01 TO 03,124.0,Improved,1997,76 years,510000.0,727 TAMPINES STREET 71,"1.3562181999999998, 103.93545296251393",0.04173878,1
726,TAMPINES ST 71,2020-03,TAMPINES,5 ROOM,01 TO 03,125.0,Improved,1997,76 years 05 months,485000.0,726 TAMPINES STREET 71,"1.3570288499999998, 103.9359115488072",0.051237233,1
726,TAMPINES ST 71,2020-09,TAMPINES,5 ROOM,10 TO 12,124.0,Improved,1997,76 years,538000.0,726 TAMPINES STREET 71,"1.3570288499999998, 103.9359115488072",0.051237233,1
726,TAMPINES ST 71,2020-12,TAMPINES,4 ROOM,01 TO 03,104.0,Model A,1997,75 years 09 months,425000.0,726 TAMPINES STREET 71,"1.3570288499999998, 103.9359115488072",0.051237233,1
722,TAMPINES ST 72,2020-02,TAMPINES,5 ROOM,07 TO 09,120.0,Improved,1997,76 years 03 months,560000.0,722 TAMPINES STREET 72,"1.3599526, 103.93567352199571",0.062014263,1
722,TAMPINES ST 72,2020-08,TAMPINES,5 ROOM,04 TO 06,120.0,Improved,1997,75 years 09 months,495000.0,722 TAMPINES STREET 72,"1.3599526, 103.93567352199571",0.062014263,1
722,TAMPINES ST 72,2020-10,TAMPINES,4 ROOM,01 TO 03,99.0,Model A,1997,75 years 06 months,435000.0,722 TAMPINES STREET 72,"1.3599526, 103.93567352199571",0.062014263,1
722,TAMPINES ST 72,2020-10,TAMPINES,5 ROOM,13 TO 15,119.0,Improved,1997,75 years 07 months,576000.0,722 TAMPINES STREET 72,"1.3599526, 103.93567352199571",0.062014263,1
