block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
105,BT PURMEI RD,2020-07,BUKIT MERAH,3 ROOM,13 TO 15,69.0,New Generation,1983,61 years 07 months,370500.0,105 BUKIT PURMEI ROAD,"1.2725955500000001, 103.8245715672677",0.08911146,1
105,BT PURMEI RD,2021-01,BUKIT MERAH,3 ROOM,01 TO 03,69.0,New Generation,1983,61 years 02 months,356000.0,105 BUKIT PURMEI ROAD,"1.2725955500000001, 103.8245715672677",0.08911146,1
107,BT PURMEI RD,2020-02,BUKIT MERAH,3 ROOM,10 TO 12,67.0,New Generation,1983,61 years 11 months,385000.0,107 BUKIT PURMEI ROAD,"1.27303935, 103.82470883725105",0.09293842,1
107,BT PURMEI RD,2020-03,BUKIT MERAH,4 ROOM,10 TO 12,93.0,New Generation,1983,61 years 10 months,520000.0,107 BUKIT PURMEI ROAD,"1.27303935, 103.82470883725105",0.09293842,1
40,TELOK BLANGAH RISE,2020-03,BUKIT MERAH,4 ROOM,04 TO 06,82.0,Improved,1976,55 years 01 month,365000.0,40 TELOK BLANGAH RISE,"1.2716843500000001, 103.82363023093377",0.09942325,1
40,TELOK BLANGAH RISE,2020-09,BUKIT MERAH,4 ROOM,10 TO 12,82.0,Improved,1976,54 years 07 months,400000.0,40 TELOK BLANGAH RISE,"1.2716843500000001, 103.82363023093377",0.09942325,1
40,TELOK BLANGAH RISE,2020-10,BUKIT MERAH,4 ROOM,07 TO 09,82.0,Improved,1976,54 years 07 months,370000.0,40 TELOK BLANGAH RISE,"1.2716843500000001, 103.82363023093377",0.09942325,1
40,TELOK BLANGAH RISE,2020-10,BUKIT MERAH,4 ROOM,13 TO 15,82.0,Improved,1976,54 years 07 months,415000.0,40 TELOK BLANGAH RISE,"1.2716843500000001, 103.82363023093377",0.09942325,1
40,TELOK BLANGAH RISE,2021-02,BUKIT MERAH,4 ROOM,13 TO 15,82.0,Improved,1976,54 years 02 months,388000.0,40 TELOK BLANGAH RISE,"1.2716843500000001, 103.82363023093377",0.09942325,1
37,TELOK BLANGAH RISE,2020-01,BUKIT MERAH,5 ROOM,25 TO 27,117.0,Standard,1976,55 years 08 months,580000.0,37 TELOK BLANGAH RISE,"1.27270945, 103.82287261381866",0.14225656,1
37,TELOK BLANGAH RISE,2020-07,BUKIT MERAH,5 ROOM,22 TO 24,117.0,Standard,1976,55 years 02 months,620000.0,37 TELOK BLANGAH RISE,"1.27270945, 103.82287261381866",0.14225656,1
37,TELOK BLANGAH RISE,2020-11,BUKIT MERAH,5 ROOM,19 TO 21,119.0,Standard,1976,54 years 10 months,680000.0,37 TELOK BLANGAH RISE,"1.27270945, 103.82287261381866",0.14225656,1
37,TELOK BLANGAH RISE,2021-02,BUKIT MERAH,5 ROOM,04 TO 06,114.0,Standard,1976,54 years 08 months,553000.0,37 TELOK BLANGAH RISE,"1.27270945, 103.82287261381866",0.14225656,1
43,TELOK BLANGAH RISE,2020-11,BUKIT MERAH,3 ROOM,07 TO 09,70.0,Improved,1976,54 years 05 months,333000.0,43 TELOK BLANGAH RISE,"1.2703715, 103.82331360303257",0.14714204,1
109,BT PURMEI RD,2020-12,BUKIT MERAH,3 ROOM,07 TO 09,79.0,Model A,1984,62 years 08 months,410000.0,109 BUKIT PURMEI ROAD,"1.27388335, 103.82533927474063",0.14947645,1
112,BT PURMEI RD,2021-01,BUKIT MERAH,3 ROOM,01 TO 03,74.0,Model A,1985,63 years 03 months,345000.0,112 BUKIT PURMEI ROAD,"1.2744724, 103.825486",0.16328302,1
42,TELOK BLANGAH RISE,2020-01,BUKIT MERAH,3 ROOM,10 TO 12,59.0,Improved,1976,55 years 03 months,266000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-01,BUKIT MERAH,3 ROOM,04 TO 06,59.0,Improved,1976,55 years 03 months,242000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-02,BUKIT MERAH,3 ROOM,04 TO 06,70.0,Improved,1976,55 years 02 months,300000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-06,BUKIT MERAH,3 ROOM,10 TO 12,59.0,Improved,1976,55 years,275000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-06,BUKIT MERAH,3 ROOM,07 TO 09,59.0,Improved,1976,55 years,270000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-08,BUKIT MERAH,3 ROOM,13 TO 15,59.0,Improved,1976,54 years 08 months,278000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2020-10,BUKIT MERAH,3 ROOM,07 TO 09,70.0,Improved,1976,54 years 07 months,318000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2021-01,BUKIT MERAH,3 ROOM,07 TO 09,70.0,Improved,1976,54 years 04 months,395000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
42,TELOK BLANGAH RISE,2021-02,BUKIT MERAH,3 ROOM,04 TO 06,59.0,Improved,1976,54 years 02 months,275000.0,42 TELOK BLANGAH RISE,"1.2709196999999999, 103.82277245",0.17712307,1
33,TELOK BLANGAH WAY,2020-01,BUKIT MERAH,3 ROOM,10 TO 12,59.0,Improved,1976,55 years 04 months,278000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-07,BUKIT MERAH,3 ROOM,07 TO 09,59.0,Improved,1976,54 years 09 months,243800.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-08,BUKIT MERAH,3 ROOM,01 TO 03,59.0,Improved,1976,54 years 08 months,235000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-10,BUKIT MERAH,3 ROOM,07 TO 09,59.0,Improved,1976,54 years 06 months,245000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-10,BUKIT MERAH,5 ROOM,10 TO 12,118.0,Adjoined flat,1976,54 years 07 months,565000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-11,BUKIT MERAH,3 ROOM,04 TO 06,70.0,Improved,1976,54 years 06 months,300000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2020-11,BUKIT MERAH,3 ROOM,10 TO 12,59.0,Improved,1976,54 years 05 months,276000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
33,TELOK BLANGAH WAY,2021-02,BUKIT MERAH,3 ROOM,10 TO 12,59.0,Improved,1976,54 years 03 months,280000.0,33 TELOK BLANGAH WAY,"1.2741913500000002, 103.82243971608177",0.17760788,1
18,TELOK BLANGAH CRES,2020-03,BUKIT MERAH,3 ROOM,13 TO 15,76.0,Improved,1975,54 years 01 month,350000.0,18 TELOK BLANGAH CRESCENT,"1.2778847999999998, 103.82255315",0.1801162,1
18,TELOK BLANGAH CRES,2020-06,BUKIT MERAH,3 ROOM,10 TO 12,76.0,Improved,1975,54 years,360000.0,18 TELOK BLANGAH CRESCENT,"1.2778847999999998, 103.82255315",0.1801162,1
39,TELOK BLANGAH RISE,2020-02,BUKIT MERAH,5 ROOM,07 TO 09,114.0,Standard,1976,55 years 07 months,550000.0,39 TELOK BLANGAH RISE,"1.2717686499999998, 103.82259192435632",0.18146046,1
39,TELOK BLANGAH RISE,2020-04,BUKIT MERAH,5 ROOM,04 TO 06,117.0,Standard,1976,55 years 05 months,570000.0,39 TELOK BLANGAH RISE,"1.2717686499999998, 103.82259192435632",0.18146046,1
39,TELOK BLANGAH RISE,2020-10,BUKIT MERAH,5 ROOM,19 TO 21,117.0,Standard,1976,55 years,600000.0,39 TELOK BLANGAH RISE,"1.2717686499999998, 103.82259192435632",0.18146046,1
39,TELOK BLANGAH RISE,2021-01,BUKIT MERAH,5 ROOM,22 TO 24,114.0,Standard,1976,54 years 09 months,640000.0,39 TELOK BLANGAH RISE,"1.2717686499999998, 103.82259192435632",0.18146046,1
104,BT PURMEI RD,2020-08,BUKIT MERAH,3 ROOM,07 TO 09,77.0,Model A,1984,62 years 08 months,350000.0,104 BUKIT PURMEI ROAD,"1.2724582, 103.82553591415487",0.18162374,1
104,BT PURMEI RD,2020-11,BUKIT MERAH,3 ROOM,10 TO 12,73.0,Model A,1984,62 years 06 months,383000.0,104 BUKIT PURMEI ROAD,"1.2724582, 103.82553591415487",0.18162374,1
104,BT PURMEI RD,2020-11,BUKIT MERAH,3 ROOM,01 TO 03,75.0,Model A,1984,62 years 05 months,348000.0,104 BUKIT PURMEI ROAD,"1.2724582, 103.82553591415487",0.18162374,1
104,BT PURMEI RD,2021-02,BUKIT MERAH,3 ROOM,04 TO 06,73.0,Model A,1984,62 years 04 months,380000.0,104 BUKIT PURMEI ROAD,"1.2724582, 103.82553591415487",0.18162374,1
106,BT PURMEI RD,2020-03,BUKIT MERAH,3 ROOM,10 TO 12,73.0,Model A,1984,63 years 04 months,320000.0,106 BUKIT PURMEI ROAD,"1.2729243499999998, 103.82562375500262",0.18659645,1
106,BT PURMEI RD,2021-01,BUKIT MERAH,4 ROOM,04 TO 06,103.0,Model A,1984,62 years 07 months,520000.0,106 BUKIT PURMEI ROAD,"1.2729243499999998, 103.82562375500262",0.18659645,1
101,BT PURMEI RD,2020-09,BUKIT MERAH,3 ROOM,04 TO 06,72.0,New Generation,1983,62 years,372500.0,101 BUKIT PURMEI ROAD,"1.2716132500000001, 103.82554328337454",0.19197041,1
101,BT PURMEI RD,2020-11,BUKIT MERAH,3 ROOM,04 TO 06,69.0,New Generation,1983,61 years 09 months,360000.0,101 BUKIT PURMEI ROAD,"1.2716132500000001, 103.82554328337454",0.19197041,1
101,BT PURMEI RD,2020-12,BUKIT MERAH,3 ROOM,04 TO 06,69.0,New Generation,1983,61 years 09 months,395000.0,101 BUKIT PURMEI ROAD,"1.2716132500000001, 103.82554328337454",0.19197041,1
101,BT PURMEI RD,2021-02,BUKIT MERAH,3 ROOM,01 TO 03,67.0,New Generation,1983,61 years 06 months,355000.0,101 BUKIT PURMEI ROAD,"1.2716132500000001, 103.82554328337454",0.19197041,1
103,BT PURMEI RD,2020-08,BUKIT MERAH,3 ROOM,07 TO 09,67.0,New Generation,1982,61 years 04 months,358000.0,103 BUKIT PURMEI ROAD,"1.2721113, 103.82568321958732",0.20028678,1
103,BT PURMEI RD,2020-10,BUKIT MERAH,3 ROOM,01 TO 03,67.0,New Generation,1982,61 years 03 months,325000.0,103 BUKIT PURMEI ROAD,"1.2721113, 103.82568321958732",0.20028678,1
103,BT PURMEI RD,2020-10,BUKIT MERAH,4 ROOM,01 TO 03,93.0,New Generation,1982,61 years 02 months,410000.0,103 BUKIT PURMEI ROAD,"1.2721113, 103.82568321958732",0.20028678,1
27A,JLN MEMBINA,2020-01,BUKIT MERAH,4 ROOM,01 TO 03,85.0,Model A,2008,87 years 11 months,640000.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2020-03,BUKIT MERAH,4 ROOM,10 TO 12,90.0,Model A,2008,87 years 09 months,728888.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2020-07,BUKIT MERAH,4 ROOM,04 TO 06,90.0,Model A,2008,87 years 06 months,680000.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2020-08,BUKIT MERAH,4 ROOM,19 TO 21,85.0,Model A,2008,87 years 04 months,729600.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2020-11,BUKIT MERAH,4 ROOM,19 TO 21,90.0,Model A,2008,87 years 02 months,740000.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2021-01,BUKIT MERAH,4 ROOM,22 TO 24,90.0,Model A,2008,87 years,745000.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
27A,JLN MEMBINA,2021-01,BUKIT MERAH,4 ROOM,07 TO 09,90.0,Model A,2008,86 years 11 months,720000.0,27A JALAN MEMBINA,"1.28223555, 103.82462402019462",0.2023872,1
