block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
210,PASIR RIS ST 21,2020-06,PASIR RIS,EXECUTIVE,04 TO 06,149.0,Apartment,1993,72 years 04 months,573000.0,210 PASIR RIS STREET 21,"1.3669873, 103.96147245556803",0.047302887,1
210,PASIR RIS ST 21,2021-02,PASIR RIS,EXECUTIVE,07 TO 09,147.0,Apartment,1993,71 years 07 months,600000.0,210 PASIR RIS STREET 21,"1.3669873, 103.96147245556803",0.047302887,1
211,PASIR RIS ST 21,2020-07,PASIR RIS,5 ROOM,07 TO 09,135.0,Model A,1993,71 years 11 months,490000.0,211 PASIR RIS STREET 21,"1.3673451, 103.96126270244702",0.05023332,1
211,PASIR RIS ST 21,2020-10,PASIR RIS,5 ROOM,10 TO 12,135.0,Model A,1993,71 years 10 months,525000.0,211 PASIR RIS STREET 21,"1.3673451, 103.96126270244702",0.05023332,1
197,PASIR RIS ST 12,2020-12,PASIR RIS,5 ROOM,01 TO 03,127.0,Improved,1993,71 years 10 months,480000.0,197 PASIR RIS STREET 12,"1.36646145, 103.960795570654",0.057515442,1
145,PASIR RIS ST 11,2020-09,PASIR RIS,5 ROOM,01 TO 03,125.0,Improved,1994,72 years 07 months,440000.0,145 PASIR RIS STREET 11,"1.36329395, 103.9611044134873",0.06079425,1
145,PASIR RIS ST 11,2020-11,PASIR RIS,5 ROOM,04 TO 06,126.0,Improved,1994,72 years 05 months,490000.0,145 PASIR RIS STREET 11,"1.36329395, 103.9611044134873",0.06079425,1
145,PASIR RIS ST 11,2020-12,PASIR RIS,5 ROOM,04 TO 06,125.0,Improved,1994,72 years 05 months,485000.0,145 PASIR RIS STREET 11,"1.36329395, 103.9611044134873",0.06079425,1
145,PASIR RIS ST 11,2021-01,PASIR RIS,5 ROOM,07 TO 09,125.0,Improved,1994,72 years 04 months,480000.0,145 PASIR RIS STREET 11,"1.36329395, 103.9611044134873",0.06079425,1
214,PASIR RIS ST 21,2020-07,PASIR RIS,5 ROOM,04 TO 06,126.0,Improved,1993,72 years 01 month,450000.0,214 PASIR RIS STREET 21,"1.3677937500000001, 103.96120769412082",0.062478907,1
214,PASIR RIS ST 21,2020-12,PASIR RIS,5 ROOM,01 TO 03,126.0,Improved,1993,71 years 07 months,515000.0,214 PASIR RIS STREET 21,"1.3677937500000001, 103.96120769412082",0.062478907,1
209,PASIR RIS ST 21,2020-06,PASIR RIS,EXECUTIVE,10 TO 12,149.0,Apartment,1993,72 years 05 months,588888.0,209 PASIR RIS STREET 21,"1.3666626, 103.96178634454361",0.06719529,1
209,PASIR RIS ST 21,2020-09,PASIR RIS,EXECUTIVE,04 TO 06,147.0,Apartment,1993,72 years,593000.0,209 PASIR RIS STREET 21,"1.3666626, 103.96178634454361",0.06719529,1
