block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
913,JURONG WEST ST 91,2020-12,JURONG WEST,5 ROOM,01 TO 03,122.0,Improved,1988,66 years 05 months,417000.0,913 JURONG WEST STREET 91,"1.3418413, 103.68766827155125",0.03668282,1
914,JURONG WEST ST 91,2020-02,JURONG WEST,3 ROOM,10 TO 12,73.0,Model A,1988,67 years 05 months,263000.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.05185251,1
914,JURONG WEST ST 91,2020-08,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1988,66 years 11 months,318800.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.05185251,1
914,JURONG WEST ST 91,2021-02,JURONG WEST,4 ROOM,07 TO 09,103.0,Model A,1988,66 years 06 months,360000.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.05185251,1
915,JURONG WEST ST 91,2020-02,JURONG WEST,4 ROOM,07 TO 09,103.0,Model A,1988,67 years 05 months,320000.0,915 JURONG WEST STREET 91,"1.3410923000000001, 103.68789314425557",0.057538502,1
935,JURONG WEST ST 91,2020-08,JURONG WEST,EXECUTIVE,01 TO 03,146.0,Maisonette,1988,66 years 06 months,508888.0,935 JURONG WEST STREET 91,"1.34267665, 103.68833535775356",0.06657299,1
912,JURONG WEST ST 91,2020-06,JURONG WEST,EXECUTIVE,01 TO 03,142.0,Apartment,1988,67 years 06 months,480000.0,912 JURONG WEST STREET 91,"1.3413783000000001, 103.68726291513678",0.072136626,1
917,JURONG WEST ST 91,2021-02,JURONG WEST,3 ROOM,07 TO 09,73.0,Model A,1988,66 years 06 months,285000.0,917 JURONG WEST STREET 91,"1.34033225, 103.68787167510052",0.07648868,1
917,JURONG WEST ST 91,2021-02,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1988,66 years 06 months,342000.0,917 JURONG WEST STREET 91,"1.34033225, 103.68787167510052",0.07648868,1
934,JURONG WEST ST 91,2020-06,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 06 months,315000.0,934 JURONG WEST STREET 91,"1.34229165, 103.68841554291058",0.07779102,1
934,JURONG WEST ST 91,2020-08,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 02 months,330000.0,934 JURONG WEST STREET 91,"1.34229165, 103.68841554291058",0.07779102,1
918,JURONG WEST ST 91,2020-09,JURONG WEST,EXECUTIVE,01 TO 03,146.0,Maisonette,1989,67 years 06 months,508000.0,918 JURONG WEST STREET 91,"1.34053315, 103.68715760723464",0.09604713,1
920,JURONG WEST ST 92,2020-08,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1989,67 years 06 months,320000.0,920 JURONG WEST STREET 92,"1.33984975, 103.68814682548114",0.09844845,1
919,JURONG WEST ST 91,2020-08,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1988,66 years 11 months,375000.0,919 JURONG WEST STREET 91,"1.3399961999999999, 103.68721351605416",0.10306649,1
911,JURONG WEST ST 91,2021-02,JURONG WEST,4 ROOM,10 TO 12,104.0,Model A,1989,67 years,355000.0,911 JURONG WEST STREET 91,"1.3417329, 103.68684009337275",0.108144514,1
941,JURONG WEST ST 91,2020-02,JURONG WEST,4 ROOM,01 TO 03,105.0,Model A,1989,68 years 02 months,300000.0,941 JURONG WEST STREET 91,"1.3438358, 103.68871966038284",0.10922383,1
939,JURONG WEST ST 91,2020-03,JURONG WEST,3 ROOM,10 TO 12,73.0,Model A,1989,67 years 11 months,267000.0,939 JURONG WEST STREET 91,"1.34299085, 103.68876963233495",0.11358643,1
939,JURONG WEST ST 91,2020-08,JURONG WEST,3 ROOM,01 TO 03,73.0,Model A,1989,67 years 06 months,260000.0,939 JURONG WEST STREET 91,"1.34299085, 103.68876963233495",0.11358643,1
939,JURONG WEST ST 91,2020-09,JURONG WEST,4 ROOM,01 TO 03,103.0,Model A,1989,67 years 05 months,348000.0,939 JURONG WEST STREET 91,"1.34299085, 103.68876963233495",0.11358643,1
939,JURONG WEST ST 91,2020-12,JURONG WEST,3 ROOM,04 TO 06,73.0,Model A,1989,67 years 03 months,262000.0,939 JURONG WEST STREET 91,"1.34299085, 103.68876963233495",0.11358643,1
939,JURONG WEST ST 91,2020-12,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1989,67 years 03 months,340000.0,939 JURONG WEST STREET 91,"1.34299085, 103.68876963233495",0.11358643,1
932,JURONG WEST ST 92,2020-01,JURONG WEST,4 ROOM,10 TO 12,104.0,Model A,1988,67 years 05 months,318000.0,932 JURONG WEST STREET 92,"1.3416546999999999, 103.6890203444627",0.14702044,1
932,JURONG WEST ST 92,2021-01,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1988,66 years 05 months,320000.0,932 JURONG WEST STREET 92,"1.3416546999999999, 103.6890203444627",0.14702044,1
940,JURONG WEST ST 91,2020-01,JURONG WEST,5 ROOM,01 TO 03,121.0,Improved,1989,68 years 04 months,332000.0,940 JURONG WEST STREET 91,"1.34326145, 103.68911079078332",0.15140793,1
940,JURONG WEST ST 91,2020-07,JURONG WEST,5 ROOM,07 TO 09,121.0,Improved,1989,67 years 10 months,392000.0,940 JURONG WEST STREET 91,"1.34326145, 103.68911079078332",0.15140793,1
940,JURONG WEST ST 91,2021-02,JURONG WEST,5 ROOM,04 TO 06,121.0,Improved,1989,67 years 04 months,400000.0,940 JURONG WEST STREET 91,"1.34326145, 103.68911079078332",0.15140793,1
902,JURONG WEST ST 91,2020-06,JURONG WEST,4 ROOM,10 TO 12,108.0,Model A,1988,67 years 04 months,300000.0,902 JURONG WEST STREET 91,"1.33917505, 103.68669362399106",0.15796475,1
902,JURONG WEST ST 91,2020-06,JURONG WEST,4 ROOM,10 TO 12,104.0,Model A,1988,67 years 04 months,309000.0,902 JURONG WEST STREET 91,"1.33917505, 103.68669362399106",0.15796475,1
902,JURONG WEST ST 91,2020-06,JURONG WEST,5 ROOM,10 TO 12,122.0,Improved,1988,67 years 04 months,385000.0,902 JURONG WEST STREET 91,"1.33917505, 103.68669362399106",0.15796475,1
902,JURONG WEST ST 91,2020-10,JURONG WEST,5 ROOM,13 TO 15,122.0,Improved,1988,66 years 11 months,380000.0,902 JURONG WEST STREET 91,"1.33917505, 103.68669362399106",0.15796475,1
921,JURONG WEST ST 92,2020-06,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1988,67 years 07 months,392000.0,921 JURONG WEST STREET 92,"1.33960345, 103.68891800305732",0.16065468,1
908,JURONG WEST ST 91,2020-02,JURONG WEST,4 ROOM,07 TO 09,103.0,Model A,1989,68 years 04 months,310000.0,908 JURONG WEST STREET 91,"1.34051435, 103.68638314962686",0.16745377,1
908,JURONG WEST ST 91,2020-06,JURONG WEST,3 ROOM,01 TO 03,73.0,Model A,1989,68 years 01 month,275000.0,908 JURONG WEST STREET 91,"1.34051435, 103.68638314962686",0.16745377,1
910,JURONG WEST ST 91,2020-01,JURONG WEST,EXECUTIVE,04 TO 06,145.0,Maisonette,1988,67 years 08 months,520000.0,910 JURONG WEST STREET 91,"1.3420220999999999, 103.68624504639425",0.17007163,1
910,JURONG WEST ST 91,2020-03,JURONG WEST,EXECUTIVE,04 TO 06,141.0,Apartment,1988,67 years 06 months,457000.0,910 JURONG WEST STREET 91,"1.3420220999999999, 103.68624504639425",0.17007163,1
910,JURONG WEST ST 91,2020-12,JURONG WEST,EXECUTIVE,07 TO 09,141.0,Apartment,1988,66 years 09 months,485000.0,910 JURONG WEST STREET 91,"1.3420220999999999, 103.68624504639425",0.17007163,1
909,JURONG WEST ST 91,2020-02,JURONG WEST,5 ROOM,07 TO 09,122.0,Improved,1989,67 years 11 months,375000.0,909 JURONG WEST STREET 91,"1.3413012000000002, 103.68625682429985",0.17325184,1
909,JURONG WEST ST 91,2020-03,JURONG WEST,5 ROOM,10 TO 12,122.0,Improved,1989,67 years 10 months,380000.0,909 JURONG WEST STREET 91,"1.3413012000000002, 103.68625682429985",0.17325184,1
909,JURONG WEST ST 91,2020-09,JURONG WEST,5 ROOM,07 TO 09,122.0,Improved,1989,67 years 05 months,383000.0,909 JURONG WEST STREET 91,"1.3413012000000002, 103.68625682429985",0.17325184,1
909,JURONG WEST ST 91,2020-11,JURONG WEST,4 ROOM,07 TO 09,108.0,Model A,1989,67 years 03 months,320000.0,909 JURONG WEST STREET 91,"1.3413012000000002, 103.68625682429985",0.17325184,1
929,JURONG WEST ST 92,2020-01,JURONG WEST,3 ROOM,04 TO 06,73.0,Model A,1989,68 years,265000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-02,JURONG WEST,3 ROOM,01 TO 03,73.0,Model A,1989,67 years 11 months,275000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-08,JURONG WEST,4 ROOM,01 TO 03,103.0,Model A,1989,67 years 06 months,310000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-10,JURONG WEST,4 ROOM,01 TO 03,103.0,Model A,1989,67 years 04 months,315000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-10,JURONG WEST,4 ROOM,01 TO 03,103.0,Model A,1989,67 years 04 months,300000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-11,JURONG WEST,3 ROOM,04 TO 06,73.0,Model A,1989,67 years 03 months,280000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2020-11,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1989,67 years 03 months,330000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
929,JURONG WEST ST 92,2021-01,JURONG WEST,3 ROOM,04 TO 06,73.0,Model A,1989,67 years 01 month,280000.0,929 JURONG WEST STREET 92,"1.34124535, 103.68924877711126",0.17443731,1
926,JURONG WEST ST 92,2020-01,JURONG WEST,3 ROOM,07 TO 09,73.0,Model A,1989,68 years 01 month,270000.0,926 JURONG WEST STREET 92,"1.3404980499999999, 103.68919640444932",0.17584722,1
