block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
621,HOUGANG AVE 8,2020-01,HOUGANG,EXECUTIVE,01 TO 03,147.0,Maisonette,1986,65 years 01 month,605000.0,621 HOUGANG AVENUE 8,"1.3701116500000001, 103.88311920026007",0.035051793,1
620,HOUGANG AVE 8,2020-07,HOUGANG,3 ROOM,01 TO 03,69.0,Improved,1985,64 years 01 month,266000.0,620 HOUGANG AVENUE 8,"1.3702608, 103.8835057",0.04743445,1
620,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,07 TO 09,60.0,Improved,1985,63 years 10 months,268000.0,620 HOUGANG AVENUE 8,"1.3702608, 103.8835057",0.04743445,1
620,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,04 TO 06,69.0,Improved,1985,63 years 08 months,305000.0,620 HOUGANG AVENUE 8,"1.3702608, 103.8835057",0.04743445,1
623,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,64 years 06 months,260000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.098151855,1
623,HOUGANG AVE 8,2020-08,HOUGANG,3 ROOM,01 TO 03,60.0,Improved,1985,63 years 11 months,228000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.098151855,1
623,HOUGANG AVE 8,2020-08,HOUGANG,3 ROOM,01 TO 03,69.0,Improved,1985,63 years 11 months,330000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.098151855,1
623,HOUGANG AVE 8,2020-09,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,63 years 11 months,285000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.098151855,1
917,HOUGANG AVE 9,2020-11,HOUGANG,5 ROOM,16 TO 18,120.0,Improved,1998,76 years 05 months,530000.0,917 HOUGANG AVENUE 9,"1.3749763499999998, 103.88346410871776",0.10051504,1
662,HOUGANG AVE 4,2020-06,HOUGANG,4 ROOM,10 TO 12,103.0,Model A,1987,66 years 04 months,375000.0,662 HOUGANG AVENUE 4,"1.3744431499999998, 103.88262693445816",0.10171687,1
662,HOUGANG AVE 4,2020-07,HOUGANG,3 ROOM,04 TO 06,74.0,Model A,1987,66 years 01 month,286000.0,662 HOUGANG AVENUE 4,"1.3744431499999998, 103.88262693445816",0.10171687,1
624,HOUGANG AVE 8,2020-03,HOUGANG,4 ROOM,01 TO 03,84.0,Simplified,1986,65 years 06 months,318000.0,624 HOUGANG AVENUE 8,"1.3701903, 103.88224869999999",0.1083326,1
918,HOUGANG AVE 9,2020-01,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1998,77 years 03 months,382000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.11299448,1
918,HOUGANG AVE 9,2020-07,HOUGANG,4 ROOM,10 TO 12,100.0,Model A,1998,76 years 10 months,388000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.11299448,1
918,HOUGANG AVE 9,2020-07,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1998,76 years 10 months,375000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.11299448,1
918,HOUGANG AVE 9,2021-02,HOUGANG,5 ROOM,13 TO 15,120.0,Improved,1998,76 years 02 months,565000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.11299448,1
925,HOUGANG ST 91,2020-04,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years 06 months,488000.0,925 HOUGANG STREET 91,"1.37665835, 103.88259103682658",0.15471226,1
925,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,04 TO 06,101.0,Model A,1998,77 years 01 month,370000.0,925 HOUGANG STREET 91,"1.37665835, 103.88259103682658",0.15471226,1
920,HOUGANG ST 91,2020-02,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years 02 months,478000.0,920 HOUGANG STREET 91,"1.3768284999999998, 103.88405128204359",0.17430027,1
920,HOUGANG ST 91,2020-11,HOUGANG,5 ROOM,04 TO 06,120.0,Improved,1998,76 years 06 months,470000.0,920 HOUGANG STREET 91,"1.3768284999999998, 103.88405128204359",0.17430027,1
625,HOUGANG AVE 8,2020-03,HOUGANG,3 ROOM,04 TO 06,64.0,Simplified,1986,64 years 10 months,268000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.1747536,1
625,HOUGANG AVE 8,2020-07,HOUGANG,3 ROOM,01 TO 03,64.0,Simplified,1986,64 years 07 months,270000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.1747536,1
625,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,01 TO 03,70.0,Simplified,1986,64 years,305000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.1747536,1
915,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1998,77 years 01 month,455000.0,915 HOUGANG STREET 91,"1.3775594, 103.88381009957338",0.17866693,1
915,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,13 TO 15,100.0,Model A,1998,76 years 06 months,400000.0,915 HOUGANG STREET 91,"1.3775594, 103.88381009957338",0.17866693,1
631,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,04 TO 06,69.0,Improved,1985,64 years 08 months,269888.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.18622835,1
631,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,04 TO 06,69.0,Improved,1985,63 years 09 months,288500.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.18622835,1
631,HOUGANG AVE 8,2020-12,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,63 years 09 months,272000.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.18622835,1
631,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,13 TO 15,69.0,Improved,1985,63 years 08 months,330000.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.18622835,1
914,HOUGANG ST 91,2020-06,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1998,76 years 10 months,472000.0,914 HOUGANG STREET 91,"1.3775783, 103.88400924004702",0.18891387,1
914,HOUGANG ST 91,2020-12,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1998,76 years 02 months,408000.0,914 HOUGANG STREET 91,"1.3775783, 103.88400924004702",0.18891387,1
645,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1987,66 years 01 month,260000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.19341043,1
645,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,10 TO 12,69.0,Improved,1987,65 years 04 months,285000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.19341043,1
645,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,07 TO 09,69.0,Improved,1987,65 years 03 months,320000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.19341043,1
645,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,01 TO 03,60.0,Improved,1987,65 years 01 month,260000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.19341043,1
666,HOUGANG AVE 4,2021-02,HOUGANG,4 ROOM,01 TO 03,103.0,Model A,1988,66 years 02 months,415000.0,666 HOUGANG AVENUE 4,"1.3738003, 103.88490638088149",0.20250076,1
912,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,13 TO 15,121.0,Improved,1997,76 years 10 months,480000.0,912 HOUGANG STREET 91,"1.3786041999999998, 103.88385334765039",0.20629379,1
