block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
329,SERANGOON AVE 3,2020-01,SERANGOON,4 ROOM,04 TO 06,84.0,Simplified,1986,65 years 06 months,530000.0,329 SERANGOON AVENUE 3,"1.349869, 103.86876233908026",0.044405613,1
328,SERANGOON AVE 3,2020-09,SERANGOON,4 ROOM,04 TO 06,84.0,Simplified,1986,64 years 09 months,420000.0,328 SERANGOON AVENUE 3,"1.35032975, 103.86826696281858",0.04712433,1
328,SERANGOON AVE 3,2020-11,SERANGOON,4 ROOM,01 TO 03,84.0,Simplified,1986,64 years 07 months,450000.0,328 SERANGOON AVENUE 3,"1.35032975, 103.86826696281858",0.04712433,1
327,SERANGOON AVE 3,2020-08,SERANGOON,4 ROOM,07 TO 09,84.0,Simplified,1986,64 years 09 months,492500.0,327 SERANGOON AVENUE 3,"1.35064365, 103.86843692684062",0.050199967,1
325,SERANGOON AVE 3,2020-09,SERANGOON,4 ROOM,10 TO 12,104.0,Model A,1986,64 years 08 months,600000.0,325 SERANGOON AVENUE 3,"1.3509788999999999, 103.8685931952705",0.06078152,1
325,SERANGOON AVE 3,2021-02,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1986,64 years 03 months,531000.0,325 SERANGOON AVENUE 3,"1.3509788999999999, 103.8685931952705",0.06078152,1
322,SERANGOON AVE 3,2020-02,SERANGOON,EXECUTIVE,07 TO 09,150.0,Apartment,1986,65 years 01 month,868000.0,322 SERANGOON AVENUE 3,"1.351601, 103.86844783293458",0.075648665,1
322,SERANGOON AVE 3,2020-11,SERANGOON,EXECUTIVE,10 TO 12,146.0,Maisonette,1986,64 years 05 months,816000.0,322 SERANGOON AVENUE 3,"1.351601, 103.86844783293458",0.075648665,1
322,SERANGOON AVE 3,2020-11,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1986,64 years 04 months,878000.0,322 SERANGOON AVENUE 3,"1.351601, 103.86844783293458",0.075648665,1
324,SERANGOON AVE 3,2020-11,SERANGOON,4 ROOM,07 TO 09,104.0,Model A,1986,64 years 05 months,580000.0,324 SERANGOON AVENUE 3,"1.35124195, 103.86888873870649",0.08123338,1
324,SERANGOON AVE 3,2021-01,SERANGOON,4 ROOM,04 TO 06,84.0,Simplified,1986,64 years 03 months,475000.0,324 SERANGOON AVENUE 3,"1.35124195, 103.86888873870649",0.08123338,1
321,SERANGOON AVE 2,2020-06,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1986,64 years 09 months,820000.0,321 SERANGOON AVENUE 2,"1.3512899, 103.86779065846642",0.1006622,1
321,SERANGOON AVE 2,2020-12,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1986,64 years 02 months,833888.0,321 SERANGOON AVENUE 2,"1.3512899, 103.86779065846642",0.1006622,1
244,SERANGOON AVE 2,2020-03,SERANGOON,4 ROOM,01 TO 03,89.0,Simplified,1985,64 years 06 months,490000.0,244 SERANGOON AVENUE 2,"1.3524992, 103.86874765",0.10445915,1
319,SERANGOON AVE 2,2020-03,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1985,64 years 08 months,800000.0,319 SERANGOON AVENUE 2,"1.3525743000000001, 103.86811868277891",0.10856752,1
319,SERANGOON AVE 2,2020-08,SERANGOON,EXECUTIVE,01 TO 03,150.0,Apartment,1985,64 years 03 months,840000.0,319 SERANGOON AVENUE 2,"1.3525743000000001, 103.86811868277891",0.10856752,1
319,SERANGOON AVE 2,2020-08,SERANGOON,EXECUTIVE,04 TO 06,146.0,Maisonette,1985,64 years 03 months,765000.0,319 SERANGOON AVENUE 2,"1.3525743000000001, 103.86811868277891",0.10856752,1
319,SERANGOON AVE 2,2020-10,SERANGOON,EXECUTIVE,01 TO 03,146.0,Maisonette,1985,64 years 02 months,780000.0,319 SERANGOON AVENUE 2,"1.3525743000000001, 103.86811868277891",0.10856752,1
243,SERANGOON AVE 2,2020-09,SERANGOON,4 ROOM,01 TO 03,89.0,Simplified,1985,64 years 02 months,480000.0,243 SERANGOON AVENUE 2,"1.35282145, 103.86864658170438",0.11005503,1
330,SERANGOON AVE 3,2020-06,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1986,65 years 03 months,545000.0,330 SERANGOON AVENUE 3,"1.3500410999999999, 103.86946626069472",0.116577715,1
330,SERANGOON AVE 3,2020-06,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1986,65 years 01 month,557000.0,330 SERANGOON AVENUE 3,"1.3500410999999999, 103.86946626069472",0.116577715,1
330,SERANGOON AVE 3,2020-07,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1986,65 years,555000.0,330 SERANGOON AVENUE 3,"1.3500410999999999, 103.86946626069472",0.116577715,1
330,SERANGOON AVE 3,2020-12,SERANGOON,4 ROOM,07 TO 09,84.0,Simplified,1986,64 years 08 months,547000.0,330 SERANGOON AVENUE 3,"1.3500410999999999, 103.86946626069472",0.116577715,1
330,SERANGOON AVE 3,2021-01,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1986,64 years 06 months,590000.0,330 SERANGOON AVENUE 3,"1.3500410999999999, 103.86946626069472",0.116577715,1
239,SERANGOON AVE 2,2020-02,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 04 months,500000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.13029306,1
239,SERANGOON AVE 2,2020-04,SERANGOON,4 ROOM,07 TO 09,84.0,Simplified,1985,64 years 03 months,508000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.13029306,1
239,SERANGOON AVE 2,2020-05,SERANGOON,4 ROOM,10 TO 12,104.0,Model A,1985,64 years 02 months,615000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.13029306,1
239,SERANGOON AVE 2,2020-09,SERANGOON,4 ROOM,01 TO 03,104.0,Model A,1985,63 years 09 months,575000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.13029306,1
239,SERANGOON AVE 2,2021-01,SERANGOON,4 ROOM,04 TO 06,90.0,Simplified,1985,63 years 06 months,505000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.13029306,1
323,SERANGOON AVE 3,2020-07,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 06 months,425000.0,323 SERANGOON AVENUE 3,"1.3513177, 103.86950343644438",0.1341807,1
323,SERANGOON AVE 3,2020-10,SERANGOON,3 ROOM,01 TO 03,64.0,Simplified,1985,64 years 02 months,343000.0,323 SERANGOON AVENUE 3,"1.3513177, 103.86950343644438",0.1341807,1
323,SERANGOON AVE 3,2020-11,SERANGOON,3 ROOM,07 TO 09,64.0,Simplified,1985,64 years 01 month,380000.0,323 SERANGOON AVENUE 3,"1.3513177, 103.86950343644438",0.1341807,1
323,SERANGOON AVE 3,2020-12,SERANGOON,3 ROOM,04 TO 06,64.0,Simplified,1985,64 years 01 month,386000.0,323 SERANGOON AVENUE 3,"1.3513177, 103.86950343644438",0.1341807,1
323,SERANGOON AVE 3,2021-02,SERANGOON,4 ROOM,01 TO 03,89.0,Simplified,1985,63 years 11 months,488000.0,323 SERANGOON AVENUE 3,"1.3513177, 103.86950343644438",0.1341807,1
318,SERANGOON AVE 2,2020-03,SERANGOON,EXECUTIVE,07 TO 09,151.0,Maisonette,1985,64 years 04 months,788000.0,318 SERANGOON AVENUE 2,"1.3529683, 103.8675894",0.14835013,1
318,SERANGOON AVE 2,2021-01,SERANGOON,EXECUTIVE,07 TO 09,143.0,Apartment,1985,63 years 06 months,850000.0,318 SERANGOON AVENUE 2,"1.3529683, 103.8675894",0.14835013,1
