block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
508,BEDOK NTH AVE 3,2020-02,BEDOK,4 ROOM,10 TO 12,92.0,New Generation,1978,57 years 09 months,380000.0,508 BEDOK NORTH AVENUE 3,"1.3333774, 103.9325173033074",0.043035734,1
508,BEDOK NTH AVE 3,2020-11,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1978,57 years 01 month,358000.0,508 BEDOK NORTH AVENUE 3,"1.3333774, 103.9325173033074",0.043035734,1
507,BEDOK NTH AVE 3,2020-01,BEDOK,4 ROOM,13 TO 15,92.0,New Generation,1978,57 years 11 months,395000.0,507 BEDOK NORTH AVENUE 3,"1.33295425, 103.93258005598048",0.046066955,1
507,BEDOK NTH AVE 3,2020-05,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1978,57 years 07 months,345000.0,507 BEDOK NORTH AVENUE 3,"1.33295425, 103.93258005598048",0.046066955,1
507,BEDOK NTH AVE 3,2020-09,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1978,57 years 03 months,400000.0,507 BEDOK NORTH AVENUE 3,"1.33295425, 103.93258005598048",0.046066955,1
504,BEDOK NTH ST 3,2020-02,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,57 years 03 months,223000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-07,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 10 months,233000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-08,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 09 months,232000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-10,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,56 years 07 months,260000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-10,BEDOK,3 ROOM,10 TO 12,70.0,Improved,1978,56 years 07 months,286000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 06 months,235000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 05 months,235000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 05 months,252500.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 05 months,250000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
504,BEDOK NTH ST 3,2021-02,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 03 months,260000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.077830695,1
503,BEDOK NTH ST 3,2020-07,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 09 months,242000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
503,BEDOK NTH ST 3,2020-08,BEDOK,3 ROOM,10 TO 12,70.0,Improved,1978,56 years 08 months,265000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
503,BEDOK NTH ST 3,2020-09,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 07 months,255000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
503,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 05 months,260000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
503,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,01 TO 03,59.0,Improved,1978,56 years 04 months,248000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
503,BEDOK NTH ST 3,2021-02,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 02 months,265000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.08940385,1
506,BEDOK NTH AVE 3,2020-02,BEDOK,5 ROOM,25 TO 27,119.0,Improved,1978,57 years 09 months,575000.0,506 BEDOK NORTH AVENUE 3,"1.332128, 103.93372090427377",0.11533432,1
506,BEDOK NTH AVE 3,2020-07,BEDOK,5 ROOM,01 TO 03,119.0,Improved,1978,57 years 04 months,470000.0,506 BEDOK NORTH AVENUE 3,"1.332128, 103.93372090427377",0.11533432,1
506,BEDOK NTH AVE 3,2020-10,BEDOK,5 ROOM,16 TO 18,119.0,Improved,1978,57 years 02 months,543888.0,506 BEDOK NORTH AVENUE 3,"1.332128, 103.93372090427377",0.11533432,1
506,BEDOK NTH AVE 3,2020-12,BEDOK,5 ROOM,19 TO 21,119.0,Improved,1978,57 years,569000.0,506 BEDOK NORTH AVENUE 3,"1.332128, 103.93372090427377",0.11533432,1
761,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,04 TO 06,107.0,Premium Apartment,2000,79 years 11 months,535000.0,761 BEDOK RESERVOIR VIEW,"1.33625185, 103.93382933163517",0.122544974,1
761,BEDOK RESERVOIR VIEW,2021-01,BEDOK,5 ROOM,10 TO 12,115.0,Premium Apartment,2000,79 years,612000.0,761 BEDOK RESERVOIR VIEW,"1.33625185, 103.93382933163517",0.122544974,1
401,BEDOK NTH AVE 3,2020-02,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1979,58 years 05 months,285000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-02,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 05 months,248000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-06,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1979,58 years 02 months,320000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-06,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1979,58 years 02 months,252000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-09,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1979,57 years 09 months,280000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-10,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1979,57 years 09 months,280000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-11,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1979,57 years 08 months,280000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
401,BEDOK NTH AVE 3,2020-12,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,57 years 07 months,280000.0,401 BEDOK NORTH AVENUE 3,"1.33093895, 103.9336714498124",0.13041198,1
402,BEDOK NTH AVE 3,2020-08,BEDOK,3 ROOM,13 TO 15,67.0,New Generation,1979,57 years 11 months,300000.0,402 BEDOK NORTH AVENUE 3,"1.3305346999999998, 103.93371925813838",0.14182079,1
402,BEDOK NTH AVE 3,2020-11,BEDOK,3 ROOM,10 TO 12,67.0,New Generation,1979,57 years 08 months,280000.0,402 BEDOK NORTH AVENUE 3,"1.3305346999999998, 103.93371925813838",0.14182079,1
402,BEDOK NTH AVE 3,2020-11,BEDOK,3 ROOM,04 TO 06,82.0,New Generation,1979,57 years 08 months,330000.0,402 BEDOK NORTH AVENUE 3,"1.3305346999999998, 103.93371925813838",0.14182079,1
402,BEDOK NTH AVE 3,2020-12,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1979,57 years 06 months,416500.0,402 BEDOK NORTH AVENUE 3,"1.3305346999999998, 103.93371925813838",0.14182079,1
408,BEDOK NTH AVE 2,2020-08,BEDOK,4 ROOM,01 TO 03,92.0,New Generation,1980,58 years 08 months,378000.0,408 BEDOK NORTH AVENUE 2,"1.32850075, 103.9329116559478",0.15630794,1
408,BEDOK NTH AVE 2,2020-08,BEDOK,4 ROOM,10 TO 12,92.0,New Generation,1980,58 years 08 months,430000.0,408 BEDOK NORTH AVENUE 2,"1.32850075, 103.9329116559478",0.15630794,1
408,BEDOK NTH AVE 2,2020-09,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1980,58 years 07 months,400000.0,408 BEDOK NORTH AVENUE 2,"1.32850075, 103.9329116559478",0.15630794,1
403,BEDOK NTH AVE 3,2020-03,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1980,59 years 02 months,420000.0,403 BEDOK NORTH AVENUE 3,"1.3297727, 103.93390430237662",0.17079411,1
403,BEDOK NTH AVE 3,2020-12,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1980,58 years 05 months,405000.0,403 BEDOK NORTH AVENUE 3,"1.3297727, 103.93390430237662",0.17079411,1
403,BEDOK NTH AVE 3,2021-01,BEDOK,4 ROOM,10 TO 12,92.0,New Generation,1980,58 years 04 months,410000.0,403 BEDOK NORTH AVENUE 3,"1.3297727, 103.93390430237662",0.17079411,1
403,BEDOK NTH AVE 3,2021-02,BEDOK,4 ROOM,10 TO 12,92.0,New Generation,1980,58 years 02 months,446000.0,403 BEDOK NORTH AVENUE 3,"1.3297727, 103.93390430237662",0.17079411,1
404,BEDOK NTH AVE 3,2020-09,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1980,58 years 08 months,420000.0,404 BEDOK NORTH AVENUE 3,"1.3293495, 103.93396337817384",0.18351369,1
404,BEDOK NTH AVE 3,2020-09,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1980,58 years 07 months,380000.0,404 BEDOK NORTH AVENUE 3,"1.3293495, 103.93396337817384",0.18351369,1
404,BEDOK NTH AVE 3,2020-11,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1980,58 years 06 months,405000.0,404 BEDOK NORTH AVENUE 3,"1.3293495, 103.93396337817384",0.18351369,1
404,BEDOK NTH AVE 3,2020-12,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1980,58 years 05 months,418000.0,404 BEDOK NORTH AVENUE 3,"1.3293495, 103.93396337817384",0.18351369,1
407,BEDOK NTH AVE 3,2020-01,BEDOK,5 ROOM,25 TO 27,118.0,Improved,1980,59 years 06 months,660000.0,407 BEDOK NORTH AVENUE 3,"1.32844535, 103.93371655718016",0.18587364,1
407,BEDOK NTH AVE 3,2020-11,BEDOK,5 ROOM,19 TO 21,118.0,Improved,1980,58 years 09 months,600000.0,407 BEDOK NORTH AVENUE 3,"1.32844535, 103.93371655718016",0.18587364,1
501,BEDOK NTH ST 3,2020-02,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,57 years 02 months,225000.0,501 BEDOK NORTH STREET 3,"1.33161695, 103.93123729911773",0.19132838,1
501,BEDOK NTH ST 3,2020-03,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,57 years 01 month,200000.0,501 BEDOK NORTH STREET 3,"1.33161695, 103.93123729911773",0.19132838,1
501,BEDOK NTH ST 3,2020-03,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,57 years 01 month,215000.0,501 BEDOK NORTH STREET 3,"1.33161695, 103.93123729911773",0.19132838,1
501,BEDOK NTH ST 3,2021-02,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,56 years 03 months,260000.0,501 BEDOK NORTH STREET 3,"1.33161695, 103.93123729911773",0.19132838,1
510,BEDOK NTH ST 3,2020-08,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1979,58 years 01 month,237000.0,510 BEDOK NORTH STREET 3,"1.33242145, 103.93116912983982",0.19153087,1
510,BEDOK NTH ST 3,2020-09,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 02 months,260000.0,510 BEDOK NORTH STREET 3,"1.33242145, 103.93116912983982",0.19153087,1
