block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
266,TAMPINES ST 21,2020-01,TAMPINES,3 ROOM,04 TO 06,74.0,Model A,1984,63 years 06 months,325000.0,266 TAMPINES STREET 21,"1.3520414, 103.95058511778703",0.038243514,1
266,TAMPINES ST 21,2020-06,TAMPINES,4 ROOM,01 TO 03,105.0,Model A,1984,63 years 03 months,375000.0,266 TAMPINES STREET 21,"1.3520414, 103.95058511778703",0.038243514,1
266,TAMPINES ST 21,2020-09,TAMPINES,4 ROOM,07 TO 09,103.0,Model A,1984,62 years 11 months,455000.0,266 TAMPINES STREET 21,"1.3520414, 103.95058511778703",0.038243514,1
266,TAMPINES ST 21,2020-12,TAMPINES,4 ROOM,07 TO 09,103.0,Model A,1984,62 years 08 months,443888.0,266 TAMPINES STREET 21,"1.3520414, 103.95058511778703",0.038243514,1
266,TAMPINES ST 21,2021-02,TAMPINES,4 ROOM,07 TO 09,105.0,Model A,1984,62 years 06 months,448000.0,266 TAMPINES STREET 21,"1.3520414, 103.95058511778703",0.038243514,1
263,TAMPINES ST 21,2020-07,TAMPINES,4 ROOM,07 TO 09,103.0,Model A,1984,63 years 02 months,460000.0,263 TAMPINES STREET 21,"1.3533064, 103.951144",0.062461417,1
263,TAMPINES ST 21,2020-09,TAMPINES,4 ROOM,10 TO 12,103.0,Model A,1984,63 years,451000.0,263 TAMPINES STREET 21,"1.3533064, 103.951144",0.062461417,1
263,TAMPINES ST 21,2020-11,TAMPINES,3 ROOM,01 TO 03,74.0,Model A,1984,62 years 11 months,315000.0,263 TAMPINES STREET 21,"1.3533064, 103.951144",0.062461417,1
263,TAMPINES ST 21,2021-01,TAMPINES,3 ROOM,10 TO 12,74.0,Model A,1984,62 years 09 months,360000.0,263 TAMPINES STREET 21,"1.3533064, 103.951144",0.062461417,1
263,TAMPINES ST 21,2021-02,TAMPINES,3 ROOM,04 TO 06,74.0,Model A,1984,62 years 07 months,358000.0,263 TAMPINES STREET 21,"1.3533064, 103.951144",0.062461417,1
272,TAMPINES ST 22,2020-01,TAMPINES,3 ROOM,07 TO 09,73.0,Model A,1984,63 years 07 months,345000.0,272 TAMPINES STREET 22,"1.34892575, 103.9507634",0.063876666,1
272,TAMPINES ST 22,2020-03,TAMPINES,4 ROOM,01 TO 03,103.0,Model A,1984,63 years 04 months,378888.0,272 TAMPINES STREET 22,"1.34892575, 103.9507634",0.063876666,1
272,TAMPINES ST 22,2020-07,TAMPINES,4 ROOM,01 TO 03,103.0,Model A,1984,63 years 01 month,390000.0,272 TAMPINES STREET 22,"1.34892575, 103.9507634",0.063876666,1
