block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
102,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1977,56 years 06 months,265000.0,102 BEDOK NORTH AVENUE 4,"1.3338812500000001, 103.93746031397716",2.7667716
105,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,13 TO 15,82.0,New Generation,1977,56 years 06 months,332000.0,105 BEDOK NORTH AVENUE 4,"1.3337089, 103.93656069946745",2.8659756
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years 01 month,235000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.2866185
77,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,60.0,Improved,1986,65 years 03 months,250000.0,77 BEDOK NORTH ROAD,"1.328667, 103.94196030658946",2.3121223
125,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1978,57 years 04 months,275000.0,125 BEDOK NORTH ROAD,"1.3288278, 103.93905302272728",2.6228843
75,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,57 years,268000.0,75 BEDOK NORTH ROAD,"1.3278894, 103.94211844583151",2.3012352
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years,237000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",2.2866185
29,NEW UPP CHANGI RD,2020-01,BEDOK,3 ROOM,13 TO 15,65.0,Improved,1977,56 years 04 months,292000.0,29 NEW UPPER CHANGI ROAD,"1.3239124, 103.93620465210519",2.9626815
57,NEW UPP CHANGI RD,2020-01,BEDOK,3 ROOM,07 TO 09,60.0,Improved,1985,64 years 09 months,268000.0,57 NEW UPPER CHANGI ROAD,"1.3243255, 103.9415678696042",2.3887534
93,BEDOK NTH AVE 4,2020-01,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1979,58 years 06 months,335000.0,93 BEDOK NORTH AVENUE 4,"1.3328863499999999, 103.94141517481509",2.3419058
104,BEDOK NTH AVE 4,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1977,56 years 06 months,368000.0,104 BEDOK NORTH AVENUE 4,"1.3332926999999999, 103.93661838856605",2.8616912
80,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1978,57 years 06 months,355000.0,80 BEDOK NORTH ROAD,"1.328459, 103.9405280216913",2.4668498
182,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,16 TO 18,85.0,Model A,2006,85 years 02 months,630000.0,182 BEDOK NORTH ROAD,"1.32693395, 103.94165795550099",2.3576956
119,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1978,57 years 02 months,320000.0,119 BEDOK NORTH ROAD,"1.3301924, 103.93868668771022",2.6537633
78,BEDOK NTH RD,2020-01,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1978,57 years 05 months,390000.0,78 BEDOK NORTH ROAD,"1.3272392, 103.94078766672152",2.4480088
767,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,07 TO 09,105.0,Premium Apartment,2000,79 years 11 months,533800.0,767 BEDOK RESERVOIR VIEW,"1.3359166999999998, 103.93694437760419",2.8138475
771,BEDOK RESERVOIR VIEW,2020-01,BEDOK,4 ROOM,13 TO 15,105.0,Premium Apartment,2000,79 years 11 months,525000.0,771 BEDOK RESERVOIR VIEW,"1.3359523, 103.93893626089579",2.5953572
35,BEDOK STH AVE 2,2020-01,BEDOK,4 ROOM,01 TO 03,90.0,Improved,1977,56 years 08 months,338000.0,35 BEDOK SOUTH AVENUE 2,"1.32231235, 103.93977340417518",2.5950763
