block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
163,LOR 1 TOA PAYOH,2020-07,TOA PAYOH,3 ROOM,04 TO 06,65.0,Improved,1972,51 years 01 month,250000.0,163 LORONG 1 TOA PAYOH,"1.33203315, 103.84409033163348",0.18986563,1
163,LOR 1 TOA PAYOH,2020-12,TOA PAYOH,3 ROOM,07 TO 09,65.0,Improved,1972,50 years 08 months,300000.0,163 LORONG 1 TOA PAYOH,"1.33203315, 103.84409033163348",0.18986563,1
139A,LOR 1A TOA PAYOH,2020-01,TOA PAYOH,4 ROOM,34 TO 36,91.0,DBSS,2012,91 years 04 months,830000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-03,TOA PAYOH,3 ROOM,07 TO 09,70.0,DBSS,2012,91 years 02 months,625000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-06,TOA PAYOH,4 ROOM,25 TO 27,91.0,DBSS,2012,90 years 11 months,760000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-07,TOA PAYOH,4 ROOM,22 TO 24,91.0,DBSS,2012,90 years 10 months,803000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-07,TOA PAYOH,5 ROOM,16 TO 18,110.0,DBSS,2012,90 years 10 months,935000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-09,TOA PAYOH,4 ROOM,10 TO 12,91.0,DBSS,2012,90 years 08 months,783000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-09,TOA PAYOH,5 ROOM,01 TO 03,113.0,DBSS,2012,90 years 08 months,825000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-09,TOA PAYOH,5 ROOM,10 TO 12,113.0,DBSS,2012,90 years 08 months,912888.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
139A,LOR 1A TOA PAYOH,2020-10,TOA PAYOH,4 ROOM,19 TO 21,91.0,DBSS,2012,90 years 07 months,790000.0,139A LORONG 1A TOA PAYOH,"1.3362491, 103.84398744992941",0.19478275,1
