block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
283,YISHUN AVE 6,2020-01,YISHUN,3 ROOM,07 TO 09,74.0,Model A,1985,64 years 09 months,270500.0,283 YISHUN AVENUE 6,"1.4393866000000002, 103.83905935",0.031076467,1
283,YISHUN AVE 6,2020-08,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1985,64 years 03 months,320000.0,283 YISHUN AVENUE 6,"1.4393866000000002, 103.83905935",0.031076467,1
283,YISHUN AVE 6,2020-10,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1985,64 years 01 month,310000.0,283 YISHUN AVENUE 6,"1.4393866000000002, 103.83905935",0.031076467,1
283,YISHUN AVE 6,2021-01,YISHUN,3 ROOM,01 TO 03,74.0,Model A,1985,63 years 09 months,300000.0,283 YISHUN AVENUE 6,"1.4393866000000002, 103.83905935",0.031076467,1
283,YISHUN AVE 6,2021-01,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1985,63 years 10 months,373000.0,283 YISHUN AVENUE 6,"1.4393866000000002, 103.83905935",0.031076467,1
267,YISHUN ST 22,2020-08,YISHUN,3 ROOM,01 TO 03,70.0,Simplified,1985,64 years 02 months,238000.0,267 YISHUN STREET 22,"1.4370224999999999, 103.83932620735116",0.045528952,1
289,YISHUN AVE 6,2020-03,YISHUN,5 ROOM,01 TO 03,122.0,Improved,1987,66 years 04 months,380000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
289,YISHUN AVE 6,2020-07,YISHUN,4 ROOM,04 TO 06,103.0,Model A,1987,66 years,325000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
289,YISHUN AVE 6,2020-07,YISHUN,4 ROOM,07 TO 09,84.0,Simplified,1987,66 years,300000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
289,YISHUN AVE 6,2020-08,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1987,65 years 11 months,320000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
289,YISHUN AVE 6,2020-12,YISHUN,5 ROOM,10 TO 12,122.0,Improved,1987,65 years 08 months,430000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
289,YISHUN AVE 6,2021-02,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1987,65 years 06 months,350000.0,289 YISHUN AVENUE 6,"1.440455, 103.8391798",0.047554534,1
