block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
297,CHOA CHU KANG AVE 2,2020-02,CHOA CHU KANG,4 ROOM,13 TO 15,101.0,Premium Apartment,1999,78 years 05 months,346500.0,297 CHOA CHU KANG AVENUE 2,"1.37707955, 103.74193204032997",0.023397468,1
287,CHOA CHU KANG AVE 2,2020-01,CHOA CHU KANG,EXECUTIVE,01 TO 03,146.0,Maisonette,1990,69 years 08 months,516000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2020-01,CHOA CHU KANG,EXECUTIVE,07 TO 09,146.0,Maisonette,1990,69 years 07 months,575000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2020-04,CHOA CHU KANG,EXECUTIVE,01 TO 03,146.0,Maisonette,1990,69 years 05 months,510000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2020-06,CHOA CHU KANG,EXECUTIVE,07 TO 09,146.0,Maisonette,1990,69 years 04 months,500000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2020-06,CHOA CHU KANG,EXECUTIVE,04 TO 06,146.0,Maisonette,1990,69 years 04 months,550000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2020-12,CHOA CHU KANG,EXECUTIVE,04 TO 06,146.0,Maisonette,1990,68 years 09 months,585000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
287,CHOA CHU KANG AVE 2,2021-01,CHOA CHU KANG,EXECUTIVE,07 TO 09,149.0,Maisonette,1990,68 years 08 months,600000.0,287 CHOA CHU KANG AVENUE 2,"1.3787714000000002, 103.74160765204765",0.04730215,1
275,CHOA CHU KANG AVE 2,2020-07,CHOA CHU KANG,EXECUTIVE,01 TO 03,143.0,Apartment,1993,72 years,450000.0,275 CHOA CHU KANG AVENUE 2,"1.37926755, 103.74231270883989",0.05068159,1
296C,CHOA CHU KANG AVE 2,2020-06,CHOA CHU KANG,4 ROOM,07 TO 09,100.0,Premium Apartment,1999,78 years 04 months,327000.0,296C CHOA CHU KANG AVENUE 2,"1.3765861, 103.74234124572746",0.05339883,1
