block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
552,ANG MO KIO AVE 10,2020-02,ANG MO KIO,5 ROOM,13 TO 15,119.0,Improved,1980,59 years 07 months,552800.0,552 ANG MO KIO AVENUE 10,"1.37222145, 103.85694768733333",0.09134669,1
552,ANG MO KIO AVE 10,2020-02,ANG MO KIO,5 ROOM,25 TO 27,119.0,Improved,1980,59 years 07 months,590888.0,552 ANG MO KIO AVENUE 10,"1.37222145, 103.85694768733333",0.09134669,1
552,ANG MO KIO AVE 10,2020-08,ANG MO KIO,5 ROOM,13 TO 15,119.0,Improved,1980,59 years 02 months,545000.0,552 ANG MO KIO AVENUE 10,"1.37222145, 103.85694768733333",0.09134669,1
552,ANG MO KIO AVE 10,2020-11,ANG MO KIO,5 ROOM,25 TO 27,119.0,Improved,1980,58 years 10 months,623000.0,552 ANG MO KIO AVENUE 10,"1.37222145, 103.85694768733333",0.09134669,1
543,ANG MO KIO AVE 10,2020-06,ANG MO KIO,4 ROOM,04 TO 06,92.0,New Generation,1981,59 years 09 months,340000.0,543 ANG MO KIO AVENUE 10,"1.37431195, 103.85629298131309",0.12769303,1
543,ANG MO KIO AVE 10,2020-12,ANG MO KIO,4 ROOM,10 TO 12,92.0,New Generation,1981,59 years 01 month,430000.0,543 ANG MO KIO AVENUE 10,"1.37431195, 103.85629298131309",0.12769303,1
545,ANG MO KIO AVE 10,2020-02,ANG MO KIO,5 ROOM,07 TO 09,118.0,Improved,1981,60 years,530000.0,545 ANG MO KIO AVENUE 10,"1.373177, 103.85629250664167",0.13542326,1
545,ANG MO KIO AVE 10,2020-02,ANG MO KIO,5 ROOM,22 TO 24,118.0,Improved,1981,59 years 11 months,560000.0,545 ANG MO KIO AVENUE 10,"1.373177, 103.85629250664167",0.13542326,1
545,ANG MO KIO AVE 10,2020-08,ANG MO KIO,5 ROOM,01 TO 03,118.0,Improved,1981,59 years 05 months,473000.0,545 ANG MO KIO AVENUE 10,"1.373177, 103.85629250664167",0.13542326,1
545,ANG MO KIO AVE 10,2020-11,ANG MO KIO,5 ROOM,10 TO 12,118.0,Improved,1981,59 years 03 months,560000.0,545 ANG MO KIO AVENUE 10,"1.373177, 103.85629250664167",0.13542326,1
542,ANG MO KIO AVE 10,2020-06,ANG MO KIO,3 ROOM,04 TO 06,68.0,New Generation,1981,59 years 10 months,238000.0,542 ANG MO KIO AVENUE 10,"1.3747544, 103.85590132172422",0.1700489,1
