block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
367,CORPORATION DR,2020-03,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1997,76 years 05 months,480000.0,367 CORPORATION DRIVE,"1.33788995, 103.71911706933629",0.12609042,1
349,CORPORATION DR,2021-01,JURONG WEST,4 ROOM,04 TO 06,102.0,Model A,1997,75 years 11 months,428000.0,349 CORPORATION DRIVE,"1.33952015, 103.71919700918588",0.1379135,1
350,CORPORATION DR,2020-07,JURONG WEST,4 ROOM,01 TO 03,102.0,Model A,1997,76 years 04 months,360000.0,350 CORPORATION DRIVE,"1.33891155, 103.71929370132958",0.14591327,1
350,CORPORATION DR,2021-01,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1997,75 years 09 months,475000.0,350 CORPORATION DRIVE,"1.33891155, 103.71929370132958",0.14591327,1
518,JURONG WEST ST 52,2020-02,JURONG WEST,3 ROOM,07 TO 09,74.0,Model A,1984,63 years 09 months,318000.0,518 JURONG WEST STREET 52,"1.3450541999999999, 103.71807550740662",0.17711984,1
518,JURONG WEST ST 52,2020-07,JURONG WEST,4 ROOM,01 TO 03,104.0,Model A,1984,63 years 05 months,380000.0,518 JURONG WEST STREET 52,"1.3450541999999999, 103.71807550740662",0.17711984,1
518,JURONG WEST ST 52,2020-10,JURONG WEST,3 ROOM,07 TO 09,74.0,Model A,1984,63 years 01 month,320000.0,518 JURONG WEST STREET 52,"1.3450541999999999, 103.71807550740662",0.17711984,1
518,JURONG WEST ST 52,2020-11,JURONG WEST,3 ROOM,07 TO 09,74.0,Model A,1984,63 years,335000.0,518 JURONG WEST STREET 52,"1.3450541999999999, 103.71807550740662",0.17711984,1
518,JURONG WEST ST 52,2020-12,JURONG WEST,3 ROOM,04 TO 06,74.0,Model A,1984,63 years,340000.0,518 JURONG WEST STREET 52,"1.3450541999999999, 103.71807550740662",0.17711984,1
366,CORPORATION DR,2020-06,JURONG WEST,4 ROOM,07 TO 09,102.0,Model A,1997,76 years 04 months,388000.0,366 CORPORATION DRIVE,"1.33808645, 103.7196431693363",0.18414041,1
348,KANG CHING RD,2020-01,JURONG WEST,4 ROOM,01 TO 03,103.0,Model A,1997,76 years 04 months,353000.0,348 KANG CHING ROAD,"1.34032135, 103.71961478358483",0.18819803,1
348,KANG CHING RD,2020-02,JURONG WEST,4 ROOM,04 TO 06,102.0,Model A,1997,76 years 04 months,375000.0,348 KANG CHING ROAD,"1.34032135, 103.71961478358483",0.18819803,1
348,KANG CHING RD,2020-08,JURONG WEST,4 ROOM,04 TO 06,102.0,Model A,1997,75 years 09 months,369000.0,348 KANG CHING ROAD,"1.34032135, 103.71961478358483",0.18819803,1
368,CORPORATION DR,2020-11,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1997,76 years 01 month,460000.0,368 CORPORATION DRIVE,"1.3373631, 103.719728",0.19517809,1
368,CORPORATION DR,2021-01,JURONG WEST,5 ROOM,01 TO 03,122.0,Improved,1997,75 years 09 months,460000.0,368 CORPORATION DRIVE,"1.3373631, 103.719728",0.19517809,1
519,JURONG WEST ST 52,2020-10,JURONG WEST,3 ROOM,01 TO 03,74.0,Model A,1983,61 years 11 months,300000.0,519 JURONG WEST STREET 52,"1.345706, 103.7175118",0.20114209,1
351,CORPORATION DR,2020-01,JURONG WEST,5 ROOM,07 TO 09,120.0,Improved,1997,76 years 11 months,475000.0,351 CORPORATION DRIVE,"1.3393217499999999, 103.71981499198705",0.20473653,1
351,CORPORATION DR,2020-11,JURONG WEST,5 ROOM,07 TO 09,121.0,Improved,1997,76 years 02 months,494000.0,351 CORPORATION DRIVE,"1.3393217499999999, 103.71981499198705",0.20473653,1
520,JURONG WEST ST 52,2020-08,JURONG WEST,3 ROOM,10 TO 12,74.0,Model A,1984,62 years 11 months,288000.0,520 JURONG WEST STREET 52,"1.34596665, 103.71749298172602",0.20832352,1
520,JURONG WEST ST 52,2020-09,JURONG WEST,3 ROOM,16 TO 18,74.0,Model A,1984,62 years 10 months,328000.0,520 JURONG WEST STREET 52,"1.34596665, 103.71749298172602",0.20832352,1
362,YUNG AN RD,2020-09,JURONG WEST,EXECUTIVE,04 TO 06,151.0,Apartment,1995,73 years 11 months,550000.0,362 YUNG AN ROAD,"1.3362325, 103.71983752727209",0.21305244,1
521,JURONG WEST ST 52,2020-03,JURONG WEST,3 ROOM,07 TO 09,67.0,New Generation,1982,61 years 09 months,272000.0,521 JURONG WEST STREET 52,"1.3466874500000001, 103.71750190634037",0.22647044,1
521,JURONG WEST ST 52,2020-03,JURONG WEST,3 ROOM,07 TO 09,67.0,New Generation,1982,61 years 09 months,280000.0,521 JURONG WEST STREET 52,"1.3466874500000001, 103.71750190634037",0.22647044,1
521,JURONG WEST ST 52,2020-12,JURONG WEST,3 ROOM,07 TO 09,67.0,New Generation,1982,61 years 01 month,325000.0,521 JURONG WEST STREET 52,"1.3466874500000001, 103.71750190634037",0.22647044,1
521,JURONG WEST ST 52,2021-01,JURONG WEST,3 ROOM,04 TO 06,67.0,New Generation,1982,61 years,290500.0,521 JURONG WEST STREET 52,"1.3466874500000001, 103.71750190634037",0.22647044,1
369,YUNG AN RD,2020-06,JURONG WEST,EXECUTIVE,10 TO 12,148.0,Apartment,1995,74 years 05 months,535000.0,369 YUNG AN ROAD,"1.3370671, 103.72002593462166",0.22907497,1
369,YUNG AN RD,2020-11,JURONG WEST,EXECUTIVE,07 TO 09,148.0,Apartment,1995,73 years 10 months,565000.0,369 YUNG AN ROAD,"1.3370671, 103.72002593462166",0.22907497,1
352,KANG CHING RD,2020-08,JURONG WEST,4 ROOM,01 TO 03,102.0,Model A,1997,75 years 06 months,355000.0,352 KANG CHING ROAD,"1.3394087, 103.72017855307902",0.24514683,1
524,JURONG WEST ST 52,2020-06,JURONG WEST,3 ROOM,13 TO 15,67.0,New Generation,1982,61 years 01 month,280000.0,524 JURONG WEST STREET 52,"1.3472214999999998, 103.71727759999999",0.24698217,1
524,JURONG WEST ST 52,2020-11,JURONG WEST,3 ROOM,10 TO 12,67.0,New Generation,1982,60 years 06 months,290888.0,524 JURONG WEST STREET 52,"1.3472214999999998, 103.71727759999999",0.24698217,1
