block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
150,WOODLANDS ST 13,2021-02,WOODLANDS,4 ROOM,01 TO 03,97.0,New Generation,1986,64 years 08 months,345000.0,150 WOODLANDS STREET 13,"1.4353417, 103.77371983206605",0.05028801,1
145,WOODLANDS ST 13,2020-08,WOODLANDS,3 ROOM,04 TO 06,68.0,New Generation,1985,63 years 07 months,251000.0,145 WOODLANDS STREET 13,"1.43610095, 103.77324105",0.053373706,1
145,WOODLANDS ST 13,2020-08,WOODLANDS,3 ROOM,01 TO 03,68.0,New Generation,1985,63 years 07 months,235000.0,145 WOODLANDS STREET 13,"1.43610095, 103.77324105",0.053373706,1
301,WOODLANDS ST 31,2020-01,WOODLANDS,5 ROOM,01 TO 03,130.0,Improved,1993,71 years 11 months,433888.0,301 WOODLANDS STREET 31,"1.4315023, 103.7737451",0.08187093,1
301,WOODLANDS ST 31,2020-06,WOODLANDS,5 ROOM,01 TO 03,132.0,Model A,1993,71 years 09 months,430000.0,301 WOODLANDS STREET 31,"1.4315023, 103.7737451",0.08187093,1
301,WOODLANDS ST 31,2021-01,WOODLANDS,4 ROOM,01 TO 03,87.0,Simplified,1993,71 years 02 months,345000.0,301 WOODLANDS STREET 31,"1.4315023, 103.7737451",0.08187093,1
302,WOODLANDS ST 31,2020-11,WOODLANDS,3 ROOM,01 TO 03,72.0,Simplified,1993,71 years 04 months,308000.0,302 WOODLANDS STREET 31,"1.4314962, 103.7743811",0.13296127,1
409,WOODLANDS ST 41,2020-01,WOODLANDS,4 ROOM,07 TO 09,106.0,Model A,1996,75 years,345000.0,409 WOODLANDS STREET 41,"1.42904805, 103.77331092702966",0.13534333,1
409,WOODLANDS ST 41,2020-03,WOODLANDS,5 ROOM,10 TO 12,135.0,Model A,1996,74 years 10 months,435000.0,409 WOODLANDS STREET 41,"1.42904805, 103.77331092702966",0.13534333,1
409,WOODLANDS ST 41,2020-06,WOODLANDS,4 ROOM,04 TO 06,103.0,Model A,1996,74 years 09 months,325000.0,409 WOODLANDS STREET 41,"1.42904805, 103.77331092702966",0.13534333,1
