block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
769,PASIR RIS ST 71,2020-04,PASIR RIS,4 ROOM,07 TO 09,105.0,Model A,1996,75 years 05 months,395000.0,769 PASIR RIS STREET 71,"1.3750640500000002, 103.93527034367577",0.026854994,1
769,PASIR RIS ST 71,2020-05,PASIR RIS,4 ROOM,01 TO 03,105.0,Model A,1996,75 years 04 months,342000.0,769 PASIR RIS STREET 71,"1.3750640500000002, 103.93527034367577",0.026854994,1
769,PASIR RIS ST 71,2020-09,PASIR RIS,4 ROOM,10 TO 12,107.0,Model A,1996,75 years,415000.0,769 PASIR RIS STREET 71,"1.3750640500000002, 103.93527034367577",0.026854994,1
744,PASIR RIS ST 71,2020-10,PASIR RIS,5 ROOM,07 TO 09,125.0,Improved,1996,75 years,500000.0,744 PASIR RIS STREET 71,"1.37757035, 103.93510282222185",0.042798832,1
768,PASIR RIS ST 71,2020-09,PASIR RIS,5 ROOM,10 TO 12,125.0,Improved,1996,75 years,495000.0,768 PASIR RIS STREET 71,"1.3753207, 103.93565070376007",0.05279342,1
768,PASIR RIS ST 71,2021-02,PASIR RIS,4 ROOM,01 TO 03,104.0,Model A,1996,74 years 06 months,430000.0,768 PASIR RIS STREET 71,"1.3753207, 103.93565070376007",0.05279342,1
743,PASIR RIS ST 71,2020-02,PASIR RIS,4 ROOM,04 TO 06,104.0,Model A,1996,75 years 08 months,393000.0,743 PASIR RIS STREET 71,"1.37745085, 103.93554606291691",0.05343217,1
743,PASIR RIS ST 71,2020-06,PASIR RIS,5 ROOM,04 TO 06,127.0,Improved,1996,75 years 05 months,470000.0,743 PASIR RIS STREET 71,"1.37745085, 103.93554606291691",0.05343217,1
743,PASIR RIS ST 71,2020-11,PASIR RIS,5 ROOM,16 TO 18,125.0,Improved,1996,74 years 11 months,520000.0,743 PASIR RIS STREET 71,"1.37745085, 103.93554606291691",0.05343217,1
743,PASIR RIS ST 71,2021-01,PASIR RIS,5 ROOM,07 TO 09,128.0,Improved,1996,74 years 09 months,495000.0,743 PASIR RIS STREET 71,"1.37745085, 103.93554606291691",0.05343217,1
743,PASIR RIS ST 71,2021-01,PASIR RIS,5 ROOM,10 TO 12,128.0,Improved,1996,74 years 08 months,580000.0,743 PASIR RIS STREET 71,"1.37745085, 103.93554606291691",0.05343217,1
746,PASIR RIS ST 71,2020-10,PASIR RIS,4 ROOM,10 TO 12,108.0,Model A,1996,75 years 01 month,450000.0,746 PASIR RIS STREET 71,"1.3786390499999999, 103.93522473708886",0.06981359,1
746,PASIR RIS ST 71,2021-01,PASIR RIS,4 ROOM,07 TO 09,104.0,Model A,1996,74 years 11 months,428000.0,746 PASIR RIS STREET 71,"1.3786390499999999, 103.93522473708886",0.06981359,1
765,PASIR RIS ST 71,2020-12,PASIR RIS,5 ROOM,04 TO 06,127.0,Improved,1996,74 years 07 months,465000.0,765 PASIR RIS STREET 71,"1.37681245, 103.9346043991579",0.07028701,1
750,PASIR RIS ST 71,2020-10,PASIR RIS,4 ROOM,10 TO 12,105.0,Model A,1996,75 years 02 months,403000.0,750 PASIR RIS STREET 71,"1.3781773, 103.93482084002602",0.07176748,1
750,PASIR RIS ST 71,2020-10,PASIR RIS,5 ROOM,01 TO 03,128.0,Improved,1996,75 years 02 months,480000.0,750 PASIR RIS STREET 71,"1.3781773, 103.93482084002602",0.07176748,1
750,PASIR RIS ST 71,2021-02,PASIR RIS,4 ROOM,13 TO 15,106.0,Model A,1996,74 years 10 months,438000.0,750 PASIR RIS STREET 71,"1.3781773, 103.93482084002602",0.07176748,1
748,PASIR RIS ST 71,2020-07,PASIR RIS,4 ROOM,13 TO 15,106.0,Model A,1996,75 years 05 months,428888.0,748 PASIR RIS STREET 71,"1.3784302, 103.93491848485087",0.071814336,1
748,PASIR RIS ST 71,2020-09,PASIR RIS,5 ROOM,04 TO 06,128.0,Improved,1996,75 years 02 months,495000.0,748 PASIR RIS STREET 71,"1.3784302, 103.93491848485087",0.071814336,1
748,PASIR RIS ST 71,2021-01,PASIR RIS,4 ROOM,04 TO 06,105.0,Model A,1996,74 years 11 months,440000.0,748 PASIR RIS STREET 71,"1.3784302, 103.93491848485087",0.071814336,1
748,PASIR RIS ST 71,2021-02,PASIR RIS,4 ROOM,04 TO 06,104.0,Model A,1996,74 years 09 months,440000.0,748 PASIR RIS STREET 71,"1.3784302, 103.93491848485087",0.071814336,1
745,PASIR RIS ST 71,2020-08,PASIR RIS,5 ROOM,07 TO 09,123.0,Improved,1996,75 years 01 month,500000.0,745 PASIR RIS STREET 71,"1.37833495, 103.93567924643678",0.08090882,1
753,PASIR RIS ST 71,2020-10,PASIR RIS,4 ROOM,04 TO 06,105.0,Model A,1996,75 years 02 months,390000.0,753 PASIR RIS STREET 71,"1.37718295, 103.93451390618708",0.08309529,1
