block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
4,MARINE TER,2020-11,MARINE PARADE,3 ROOM,04 TO 06,65.0,Improved,1975,53 years 03 months,320000.0,4 MARINE TERRACE,"1.3051042499999999, 103.91766190891835",0.03440159,1
2,MARINE TER,2020-12,MARINE PARADE,5 ROOM,22 TO 24,122.0,Standard,1975,53 years 02 months,847500.0,2 MARINE TERRACE,"1.30445565, 103.91816869942869",0.037794806,1
2,MARINE TER,2021-01,MARINE PARADE,5 ROOM,10 TO 12,120.0,Standard,1975,53 years 01 month,850000.0,2 MARINE TERRACE,"1.30445565, 103.91816869942869",0.037794806,1
3,MARINE TER,2020-08,MARINE PARADE,5 ROOM,22 TO 24,120.0,Standard,1975,53 years 05 months,868000.0,3 MARINE TERRACE,"1.3040916500000002, 103.91772413463025",0.04644994,1
3,MARINE TER,2021-02,MARINE PARADE,5 ROOM,13 TO 15,120.0,Standard,1975,52 years 11 months,795000.0,3 MARINE TERRACE,"1.3040916500000002, 103.91772413463025",0.04644994,1
1,MARINE TER,2020-06,MARINE PARADE,5 ROOM,07 TO 09,120.0,Standard,1975,53 years 09 months,700000.0,1 MARINE TERRACE,"1.30481515, 103.91860152876515",0.07477145,1
1,MARINE TER,2020-10,MARINE PARADE,5 ROOM,19 TO 21,120.0,Standard,1975,53 years 03 months,843000.0,1 MARINE TERRACE,"1.30481515, 103.91860152876515",0.07477145,1
5,MARINE TER,2020-09,MARINE PARADE,3 ROOM,07 TO 09,76.0,Improved,1975,53 years 05 months,395000.0,5 MARINE TERRACE,"1.30456715, 103.91729193818159",0.07797422,1
7,MARINE TER,2020-08,MARINE PARADE,3 ROOM,07 TO 09,59.0,Improved,1975,53 years 06 months,321000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
7,MARINE TER,2020-08,MARINE PARADE,3 ROOM,10 TO 12,59.0,Improved,1975,53 years 05 months,330000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
7,MARINE TER,2020-09,MARINE PARADE,3 ROOM,04 TO 06,70.0,Improved,1975,53 years 04 months,310000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
7,MARINE TER,2020-11,MARINE PARADE,3 ROOM,10 TO 12,59.0,Improved,1975,53 years 02 months,305000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
7,MARINE TER,2021-02,MARINE PARADE,3 ROOM,04 TO 06,70.0,Improved,1975,53 years,397000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
7,MARINE TER,2021-02,MARINE PARADE,3 ROOM,10 TO 12,59.0,Improved,1975,53 years,352000.0,7 MARINE TERRACE,"1.30411215, 103.91727211344238",0.08481675,1
8,MARINE TER,2020-07,MARINE PARADE,3 ROOM,07 TO 09,76.0,Improved,1975,53 years 06 months,375000.0,8 MARINE TERRACE,"1.3043906, 103.91612003098889",0.2060881,1
8,MARINE TER,2021-01,MARINE PARADE,3 ROOM,10 TO 12,65.0,Improved,1975,53 years,380000.0,8 MARINE TERRACE,"1.3043906, 103.91612003098889",0.2060881,1
12,MARINE TER,2020-06,MARINE PARADE,5 ROOM,04 TO 06,120.0,Standard,1975,53 years 09 months,650000.0,12 MARINE TERRACE,"1.3046332500000002, 103.91574399731354",0.24678174,1
12,MARINE TER,2020-10,MARINE PARADE,5 ROOM,07 TO 09,117.0,Standard,1975,53 years 03 months,680000.0,12 MARINE TERRACE,"1.3046332500000002, 103.91574399731354",0.24678174,1
19,MARINE TER,2020-02,MARINE PARADE,3 ROOM,04 TO 06,76.0,Improved,1975,53 years 11 months,345000.0,19 MARINE TERRACE,"1.3045459, 103.91505038152879",0.32380456,1
19,MARINE TER,2020-02,MARINE PARADE,4 ROOM,01 TO 03,88.0,Improved,1975,53 years 11 months,388000.0,19 MARINE TERRACE,"1.3045459, 103.91505038152879",0.32380456,1
19,MARINE TER,2020-04,MARINE PARADE,3 ROOM,04 TO 06,76.0,Improved,1975,53 years 10 months,350000.0,19 MARINE TERRACE,"1.3045459, 103.91505038152879",0.32380456,1
20,MARINE TER,2020-01,MARINE PARADE,4 ROOM,04 TO 06,88.0,Improved,1975,54 years 01 month,475000.0,20 MARINE TERRACE,"1.30373745, 103.91506248605589",0.32497144,1
20,MARINE TER,2020-06,MARINE PARADE,4 ROOM,07 TO 09,88.0,Improved,1975,53 years 09 months,465000.0,20 MARINE TERRACE,"1.30373745, 103.91506248605589",0.32497144,1
20,MARINE TER,2021-02,MARINE PARADE,4 ROOM,07 TO 09,88.0,Improved,1975,53 years,452000.0,20 MARINE TERRACE,"1.30373745, 103.91506248605589",0.32497144,1
59,MARINE TER,2020-01,MARINE PARADE,3 ROOM,04 TO 06,65.0,Improved,1975,54 years 03 months,335000.0,59 MARINE TERRACE,"1.305812, 103.9147678",0.35419127,1
59,MARINE TER,2020-01,MARINE PARADE,3 ROOM,04 TO 06,65.0,Improved,1975,54 years 03 months,306000.0,59 MARINE TERRACE,"1.305812, 103.9147678",0.35419127,1
59,MARINE TER,2021-02,MARINE PARADE,3 ROOM,04 TO 06,76.0,Improved,1975,53 years 03 months,387000.0,59 MARINE TERRACE,"1.305812, 103.9147678",0.35419127,1
18,MARINE TER,2020-03,MARINE PARADE,4 ROOM,04 TO 06,88.0,Improved,1975,54 years 01 month,478000.0,18 MARINE TERRACE,"1.3032192500000002, 103.914297575",0.41114202,1
18,MARINE TER,2020-12,MARINE PARADE,4 ROOM,01 TO 03,88.0,Improved,1975,53 years 03 months,430000.0,18 MARINE TERRACE,"1.3032192500000002, 103.914297575",0.41114202,1
17,MARINE TER,2020-02,MARINE PARADE,4 ROOM,07 TO 09,82.0,Improved,1975,54 years 01 month,390000.0,17 MARINE TERRACE,"1.3037621000000001, 103.91420862224315",0.4190219,1
17,MARINE TER,2020-07,MARINE PARADE,4 ROOM,07 TO 09,82.0,Improved,1975,53 years 08 months,445000.0,17 MARINE TERRACE,"1.3037621000000001, 103.91420862224315",0.4190219,1
17,MARINE TER,2020-09,MARINE PARADE,4 ROOM,16 TO 18,82.0,Improved,1975,53 years 06 months,500000.0,17 MARINE TERRACE,"1.3037621000000001, 103.91420862224315",0.4190219,1
17,MARINE TER,2020-12,MARINE PARADE,4 ROOM,10 TO 12,82.0,Improved,1975,53 years 04 months,431688.0,17 MARINE TERRACE,"1.3037621000000001, 103.91420862224315",0.4190219,1
17,MARINE TER,2021-01,MARINE PARADE,4 ROOM,04 TO 06,82.0,Improved,1975,53 years 03 months,453000.0,17 MARINE TERRACE,"1.3037621000000001, 103.91420862224315",0.4190219,1
27,MARINE CRES,2020-05,MARINE PARADE,5 ROOM,10 TO 12,123.0,Standard,1975,53 years 10 months,760000.0,27 MARINE CRESCENT,"1.3040451499999999, 103.91350899939656",0.49571937,1
27,MARINE CRES,2020-06,MARINE PARADE,5 ROOM,10 TO 12,126.0,Standard,1975,53 years 11 months,760000.0,27 MARINE CRESCENT,"1.3040451499999999, 103.91350899939656",0.49571937,1
27,MARINE CRES,2021-01,MARINE PARADE,5 ROOM,22 TO 24,126.0,Standard,1975,53 years 03 months,825000.0,27 MARINE CRESCENT,"1.3040451499999999, 103.91350899939656",0.49571937,1
28,MARINE CRES,2020-12,MARINE PARADE,5 ROOM,19 TO 21,126.0,Standard,1975,53 years 03 months,700000.0,28 MARINE CRESCENT,"1.3034572500000001, 103.91335220110804",0.5145677,1
29,MARINE CRES,2020-09,MARINE PARADE,5 ROOM,10 TO 12,120.0,Standard,1975,53 years 07 months,730000.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2020-09,MARINE PARADE,5 ROOM,04 TO 06,120.0,Standard,1975,53 years 07 months,670000.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2020-10,MARINE PARADE,5 ROOM,19 TO 21,120.0,Standard,1975,53 years 06 months,890000.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2020-10,MARINE PARADE,5 ROOM,22 TO 24,120.0,Standard,1975,53 years 06 months,938000.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2020-11,MARINE PARADE,5 ROOM,07 TO 09,120.0,Standard,1975,53 years 04 months,758888.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2021-02,MARINE PARADE,5 ROOM,19 TO 21,120.0,Standard,1975,53 years 02 months,739999.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
29,MARINE CRES,2021-02,MARINE PARADE,5 ROOM,04 TO 06,120.0,Standard,1975,53 years 02 months,640000.0,29 MARINE CRESCENT,"1.30285725, 103.9131993343271",0.5333934,1
44,MARINE CRES,2020-12,MARINE PARADE,5 ROOM,04 TO 06,120.0,Standard,1975,54 years,728000.0,44 MARINE CRESCENT,"1.3047541, 103.91310441570248",0.5394954,1
44,MARINE CRES,2020-12,MARINE PARADE,5 ROOM,22 TO 24,120.0,Standard,1975,54 years,785000.0,44 MARINE CRESCENT,"1.3047541, 103.91310441570248",0.5394954,1
44,MARINE CRES,2021-01,MARINE PARADE,5 ROOM,19 TO 21,120.0,Standard,1975,53 years 11 months,788000.0,44 MARINE CRESCENT,"1.3047541, 103.91310441570248",0.5394954,1
43,MARINE CRES,2021-02,MARINE PARADE,5 ROOM,01 TO 03,120.0,Standard,1975,53 years 09 months,705000.0,43 MARINE CRESCENT,"1.3055406999999999, 103.9130303379668",0.5473168,1
35,MARINE CRES,2020-10,MARINE PARADE,3 ROOM,04 TO 06,59.0,Improved,1975,53 years 08 months,298000.0,35 MARINE CRESCENT,"1.30314875, 103.9128505243531",0.57092136,1
35,MARINE CRES,2020-12,MARINE PARADE,3 ROOM,07 TO 09,71.0,Improved,1975,53 years 06 months,368000.0,35 MARINE CRESCENT,"1.30314875, 103.9128505243531",0.57092136,1
