block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
138,LOR AH SOO,2021-02,HOUGANG,4 ROOM,04 TO 06,108.0,Model A,1984,62 years 08 months,395000.0,138 LORONG AH SOO,"1.35168925, 103.8844620875",0.069527164,1
141,LOR AH SOO,2020-01,HOUGANG,EXECUTIVE,04 TO 06,155.0,Maisonette,1985,64 years,663000.0,141 LORONG AH SOO,"1.3531046, 103.88391379954311",0.14063512,1
140,LOR AH SOO,2020-11,HOUGANG,5 ROOM,04 TO 06,133.0,Model A,1984,63 years 02 months,530000.0,140 LORONG AH SOO,"1.3524953499999999, 103.88374515000001",0.14783008,1
140,LOR AH SOO,2020-11,HOUGANG,5 ROOM,07 TO 09,131.0,Model A,1984,63 years 02 months,523000.0,140 LORONG AH SOO,"1.3524953499999999, 103.88374515000001",0.14783008,1
128,LOR AH SOO,2020-07,HOUGANG,EXECUTIVE,10 TO 12,142.0,Apartment,1984,63 years,630000.0,128 LORONG AH SOO,"1.35170795, 103.88634842410372",0.16535313,1
128,LOR AH SOO,2020-08,HOUGANG,EXECUTIVE,04 TO 06,151.0,Maisonette,1984,62 years 11 months,656000.0,128 LORONG AH SOO,"1.35170795, 103.88634842410372",0.16535313,1
128,LOR AH SOO,2020-09,HOUGANG,EXECUTIVE,01 TO 03,149.0,Maisonette,1984,62 years 10 months,608888.0,128 LORONG AH SOO,"1.35170795, 103.88634842410372",0.16535313,1
128,LOR AH SOO,2020-11,HOUGANG,EXECUTIVE,04 TO 06,151.0,Maisonette,1984,62 years 09 months,655000.0,128 LORONG AH SOO,"1.35170795, 103.88634842410372",0.16535313,1
128,LOR AH SOO,2020-12,HOUGANG,EXECUTIVE,07 TO 09,142.0,Apartment,1984,62 years 08 months,635000.0,128 LORONG AH SOO,"1.35170795, 103.88634842410372",0.16535313,1
123,HOUGANG AVE 1,2020-03,HOUGANG,3 ROOM,07 TO 09,67.0,New Generation,1981,60 years 06 months,272000.0,123 HOUGANG AVENUE 1,"1.35340035, 103.88627080646336",0.17607355,1
123,HOUGANG AVE 1,2020-07,HOUGANG,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 02 months,295000.0,123 HOUGANG AVENUE 1,"1.35340035, 103.88627080646336",0.17607355,1
123,HOUGANG AVE 1,2021-01,HOUGANG,3 ROOM,07 TO 09,82.0,New Generation,1981,59 years 09 months,350000.0,123 HOUGANG AVENUE 1,"1.35340035, 103.88627080646336",0.17607355,1
145,LOR AH SOO,2020-05,HOUGANG,EXECUTIVE,07 TO 09,148.0,Maisonette,1984,63 years 04 months,700000.0,145 LORONG AH SOO,"1.35147475, 103.88324188555953",0.19149244,1
145,LOR AH SOO,2020-09,HOUGANG,EXECUTIVE,01 TO 03,148.0,Maisonette,1984,63 years,645000.0,145 LORONG AH SOO,"1.35147475, 103.88324188555953",0.19149244,1
145,LOR AH SOO,2021-02,HOUGANG,EXECUTIVE,04 TO 06,148.0,Maisonette,1984,62 years 07 months,670000.0,145 LORONG AH SOO,"1.35147475, 103.88324188555953",0.19149244,1
220,HOUGANG ST 21,2020-03,HOUGANG,4 ROOM,01 TO 03,105.0,Model A,1992,71 years 07 months,472000.0,220 HOUGANG STREET 21,"1.3570484, 103.88426430024694",0.20355557,1
220,HOUGANG ST 21,2021-01,HOUGANG,4 ROOM,13 TO 15,104.0,Model A,1992,70 years 09 months,590000.0,220 HOUGANG STREET 21,"1.3570484, 103.88426430024694",0.20355557,1
220,HOUGANG ST 21,2021-02,HOUGANG,4 ROOM,13 TO 15,104.0,Model A,1992,70 years 08 months,550000.0,220 HOUGANG STREET 21,"1.3570484, 103.88426430024694",0.20355557,1
144,LOR AH SOO,2020-06,HOUGANG,EXECUTIVE,10 TO 12,148.0,Maisonette,1984,63 years 07 months,660000.0,144 LORONG AH SOO,"1.35193, 103.88302286686852",0.21798876,1
