block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
331C,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 06 months,470000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
331C,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 06 months,468000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
331C,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,94 years 06 months,438000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
331C,ANCHORVALE ST,2020-08,SENGKANG,4 ROOM,07 TO 09,92.0,Model A,2015,94 years,451000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
331C,ANCHORVALE ST,2020-09,SENGKANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years,360000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
331C,ANCHORVALE ST,2021-01,SENGKANG,4 ROOM,07 TO 09,92.0,Model A,2015,93 years 08 months,480000.0,331C ANCHORVALE STREET,"1.3956819500000002, 103.88972148801719",0.019793713,1
318A,ANCHORVALE LINK,2020-08,SENGKANG,4 ROOM,04 TO 06,92.0,Premium Apartment,2003,81 years 09 months,385000.0,318A ANCHORVALE LINK,"1.39383075, 103.88973556573262",0.030929161,1
318A,ANCHORVALE LINK,2020-09,SENGKANG,5 ROOM,01 TO 03,110.0,Premium Apartment,2003,81 years 08 months,418000.0,318A ANCHORVALE LINK,"1.39383075, 103.88973556573262",0.030929161,1
318A,ANCHORVALE LINK,2021-02,SENGKANG,4 ROOM,04 TO 06,92.0,Premium Apartment,2003,81 years 04 months,417000.0,318A ANCHORVALE LINK,"1.39383075, 103.88973556573262",0.030929161,1
329A,ANCHORVALE ST,2020-01,SENGKANG,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 07 months,452000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2020-05,SENGKANG,3 ROOM,07 TO 09,67.0,Model A,2015,94 years 05 months,350000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2020-06,SENGKANG,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 05 months,355000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2020-06,SENGKANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 04 months,490000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2020-08,SENGKANG,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 01 month,475000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2020-09,SENGKANG,4 ROOM,07 TO 09,93.0,Model A,2015,94 years,478000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2021-01,SENGKANG,3 ROOM,10 TO 12,67.0,Model A,2015,93 years 07 months,368000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2021-01,SENGKANG,4 ROOM,01 TO 03,93.0,Model A,2015,93 years 08 months,430000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2021-02,SENGKANG,3 ROOM,07 TO 09,67.0,Model A,2015,93 years 07 months,342000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329A,ANCHORVALE ST,2021-02,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 07 months,422000.0,329A ANCHORVALE STREET,"1.3961917499999998, 103.889792472967",0.03247874,1
329B,ANCHORVALE ST,2020-03,SENGKANG,5 ROOM,01 TO 03,112.0,Improved,2015,94 years 05 months,550000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-06,SENGKANG,4 ROOM,04 TO 06,93.0,Model A,2015,94 years 04 months,433000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-08,SENGKANG,5 ROOM,16 TO 18,112.0,Improved,2015,94 years,580000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-09,SENGKANG,5 ROOM,10 TO 12,112.0,Improved,2015,94 years,580000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-10,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 10 months,423000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-11,SENGKANG,4 ROOM,01 TO 03,92.0,Model A,2015,93 years 10 months,427800.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-11,SENGKANG,4 ROOM,16 TO 18,93.0,Model A,2015,93 years 10 months,485000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2020-12,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 09 months,468000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
329B,ANCHORVALE ST,2021-02,SENGKANG,5 ROOM,16 TO 18,112.0,Improved,2015,93 years 06 months,590000.0,329B ANCHORVALE STREET,"1.3957725, 103.8894976",0.0375941,1
331B,ANCHORVALE ST,2020-01,SENGKANG,5 ROOM,04 TO 06,112.0,Improved,2015,94 years 07 months,555000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 06 months,438000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 06 months,470000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-03,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,94 years 05 months,455000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-05,SENGKANG,4 ROOM,04 TO 06,92.0,Model A,2015,94 years 04 months,422000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-08,SENGKANG,5 ROOM,04 TO 06,112.0,Improved,2015,94 years,540000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-09,SENGKANG,5 ROOM,07 TO 09,112.0,Improved,2015,93 years 11 months,578000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-09,SENGKANG,5 ROOM,13 TO 15,112.0,Improved,2015,93 years 11 months,610000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-11,SENGKANG,5 ROOM,04 TO 06,112.0,Improved,2015,93 years 10 months,535000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
331B,ANCHORVALE ST,2020-12,SENGKANG,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 09 months,465000.0,331B ANCHORVALE STREET,"1.3956053499999999, 103.89016188195825",0.046013292,1
330A,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,01 TO 03,92.0,Model A,2015,94 years 06 months,425000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,13 TO 15,93.0,Model A,2015,94 years 06 months,455800.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-02,SENGKANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 06 months,436000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-03,SENGKANG,4 ROOM,13 TO 15,93.0,Model A,2015,94 years 05 months,453000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-03,SENGKANG,5 ROOM,10 TO 12,112.0,Improved,2015,94 years 05 months,600000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-04,SENGKANG,4 ROOM,16 TO 18,92.0,Model A,2015,94 years 05 months,452888.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-04,SENGKANG,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 04 months,462000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-06,SENGKANG,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 04 months,480000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-07,SENGKANG,4 ROOM,07 TO 09,93.0,Model A,2015,94 years 01 month,441000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-09,SENGKANG,5 ROOM,16 TO 18,112.0,Improved,2015,93 years 11 months,578888.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-11,SENGKANG,4 ROOM,04 TO 06,93.0,Model A,2015,93 years 10 months,428000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
330A,ANCHORVALE ST,2020-11,SENGKANG,4 ROOM,01 TO 03,92.0,Model A,2015,93 years 10 months,400000.0,330A ANCHORVALE STREET,"1.3966168, 103.8900411",0.052741278,1
