block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
25A,JLN MEMBINA,2021-01,BUKIT MERAH,5 ROOM,13 TO 15,110.0,Improved,2008,86 years 08 months,925000.0,25A JALAN MEMBINA,"1.28349635, 103.82604575339411",0.02041869,1
119B,KIM TIAN RD,2020-01,BUKIT MERAH,5 ROOM,25 TO 27,110.0,Improved,2002,81 years 11 months,825000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2020-02,BUKIT MERAH,5 ROOM,28 TO 30,110.0,Improved,2002,81 years 10 months,824000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2020-11,BUKIT MERAH,4 ROOM,10 TO 12,87.0,Model A,2002,81 years 02 months,675000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2020-11,BUKIT MERAH,5 ROOM,22 TO 24,110.0,Improved,2002,81 years 01 month,788000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2020-11,BUKIT MERAH,5 ROOM,16 TO 18,110.0,Improved,2002,81 years 01 month,868000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2021-01,BUKIT MERAH,4 ROOM,13 TO 15,92.0,Model A,2002,80 years 11 months,680000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
119B,KIM TIAN RD,2021-02,BUKIT MERAH,5 ROOM,22 TO 24,110.0,Improved,2002,80 years 11 months,825000.0,119B KIM TIAN ROAD,"1.2831479, 103.82614831062807",0.030194288,1
19,JLN MEMBINA,2020-03,BUKIT MERAH,5 ROOM,01 TO 03,110.0,Improved,2003,82 years 07 months,828000.0,19 JALAN MEMBINA,"1.285634, 103.8260893",0.036793966,1
19,JLN MEMBINA,2020-06,BUKIT MERAH,5 ROOM,25 TO 27,110.0,Improved,2003,82 years 06 months,950000.0,19 JALAN MEMBINA,"1.285634, 103.8260893",0.036793966,1
19,JLN MEMBINA,2020-08,BUKIT MERAH,5 ROOM,22 TO 24,110.0,Improved,2003,82 years 02 months,938000.0,19 JALAN MEMBINA,"1.285634, 103.8260893",0.036793966,1
