block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
590A,MONTREAL LINK,2020-01,SEMBAWANG,2 ROOM,04 TO 06,47.0,Model A,2015,94 years 03 months,215000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",2.4856267
463A,SEMBAWANG DR,2020-01,SEMBAWANG,2 ROOM,01 TO 03,46.0,Model A,2015,94 years 04 months,195000.0,463A SEMBAWANG DRIVE,"1.4555825, 103.81408942773894",1.1174059
592A,MONTREAL LINK,2020-01,SEMBAWANG,3 ROOM,10 TO 12,68.0,Model A,2015,94 years 04 months,300000.0,592A MONTREAL LINK,"1.45090595, 103.82724259271592",2.5170677
591A,MONTREAL LINK,2020-01,SEMBAWANG,3 ROOM,01 TO 03,68.0,Model A,2015,94 years 03 months,280000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",2.4075942
592A,MONTREAL LINK,2020-01,SEMBAWANG,3 ROOM,01 TO 03,68.0,Model A,2015,94 years 03 months,288000.0,592A MONTREAL LINK,"1.45090595, 103.82724259271592",2.5170677
463B,SEMBAWANG DR,2020-01,SEMBAWANG,3 ROOM,22 TO 24,67.0,Model A,2015,94 years 04 months,300000.0,463B SEMBAWANG DRIVE,"1.45610805, 103.81402055834704",1.1155802
463A,SEMBAWANG DR,2020-01,SEMBAWANG,3 ROOM,19 TO 21,67.0,Model A,2015,94 years 05 months,300000.0,463A SEMBAWANG DRIVE,"1.4555825, 103.81408942773894",1.1174059
487,ADMIRALTY LINK,2020-01,SEMBAWANG,4 ROOM,01 TO 03,96.0,Model A,2010,89 years 07 months,345000.0,487 ADMIRALTY LINK,"1.4556422, 103.81612013217614",1.3302441
489,ADMIRALTY LINK,2020-01,SEMBAWANG,4 ROOM,10 TO 12,96.0,Model A,2010,89 years 07 months,350000.0,489 ADMIRALTY LINK,"1.4550756, 103.81686057668045",1.4043151
504C,CANBERRA LINK,2020-01,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2001,80 years 07 months,345000.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",2.0846841
589A,MONTREAL DR,2020-01,SEMBAWANG,4 ROOM,13 TO 15,85.0,Model A2,2002,82 years,358000.0,589A MONTREAL DRIVE,"1.4498144, 103.82592673024772",2.3684115
463C,SEMBAWANG DR,2020-01,SEMBAWANG,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 05 months,378000.0,463C SEMBAWANG DRIVE,"1.4561723999999998, 103.81437923358388",1.1531441
463B,SEMBAWANG DR,2020-01,SEMBAWANG,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 04 months,392000.0,463B SEMBAWANG DRIVE,"1.45610805, 103.81402055834704",1.1155802
463C,SEMBAWANG DR,2020-01,SEMBAWANG,4 ROOM,16 TO 18,92.0,Model A,2015,94 years 05 months,400000.0,463C SEMBAWANG DRIVE,"1.4561723999999998, 103.81437923358388",1.1531441
410,SEMBAWANG DR,2020-01,SEMBAWANG,4 ROOM,04 TO 06,90.0,Model A,2001,80 years 03 months,310000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",1.5171849
508B,WELLINGTON CIRCLE,2020-01,SEMBAWANG,4 ROOM,10 TO 12,90.0,Model A,2004,83 years 08 months,346000.0,508B WELLINGTON CIRCLE,"1.45268855, 103.82105580585088",1.8435155
510B,WELLINGTON CIRCLE,2020-01,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2004,83 years 09 months,302000.0,510B WELLINGTON CIRCLE,"1.45370305, 103.82093350320318",1.8353095
401,ADMIRALTY LINK,2020-01,SEMBAWANG,5 ROOM,01 TO 03,110.0,Improved,2001,80 years 03 months,335000.0,401 ADMIRALTY LINK,"1.4542236000000002, 103.81580921409662",1.2858686
420,CANBERRA RD,2020-01,SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,2001,80 years 02 months,396000.0,420 CANBERRA ROAD,"1.45251745, 103.81854416011817",1.5688181
340A,SEMBAWANG CL,2020-01,SEMBAWANG,5 ROOM,01 TO 03,111.0,Premium Apartment,2001,80 years 05 months,378000.0,340A SEMBAWANG CLOSE,"1.4475413000000001, 103.81773246866237",1.4567168
410,SEMBAWANG DR,2020-01,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2001,80 years 03 months,410000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",1.5171849
468A,ADMIRALTY DR,2020-01,SEMBAWANG,EXECUTIVE,07 TO 09,137.0,Premium Apartment,2001,80 years 05 months,490000.0,468A ADMIRALTY DRIVE,"1.4505925, 103.81384395867278",1.0490175
588B,MONTREAL DR,2020-01,SEMBAWANG,EXECUTIVE,10 TO 12,125.0,Apartment,2002,81 years 10 months,522000.0,588B MONTREAL DRIVE,"1.4503960999999999, 103.82516789835104",2.286387
780A,WOODLANDS CRES,2020-01,WOODLANDS,2 ROOM,16 TO 18,47.0,Model A,2015,94 years 06 months,240000.0,780A WOODLANDS CRESCENT,"1.4488197999999999, 103.80066794119267",0.5118105
780A,WOODLANDS CRES,2020-01,WOODLANDS,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 06 months,210000.0,780A WOODLANDS CRESCENT,"1.4488197999999999, 103.80066794119267",0.5118105
12,MARSILING LANE,2020-01,WOODLANDS,3 ROOM,01 TO 03,65.0,Improved,1976,55 years 02 months,196000.0,12 MARSILING LANE,"1.4406477500000001, 103.7787539588818",2.891501
15,MARSILING LANE,2020-01,WOODLANDS,3 ROOM,07 TO 09,65.0,Improved,1976,55 years,204000.0,15 MARSILING LANE,"1.44199075, 103.77853185004115",2.916636
180B,MARSILING RD,2020-01,WOODLANDS,3 ROOM,28 TO 30,67.0,Model A,2015,94 years 06 months,320000.0,180B MARSILING ROAD,"1.43908195, 103.77838605702323",2.9324467
180A,MARSILING RD,2020-01,WOODLANDS,3 ROOM,28 TO 30,66.0,Model A,2015,94 years 07 months,315000.0,180A MARSILING ROAD,"1.43906985, 103.7780999118306",2.964266
570A,WOODLANDS AVE 1,2020-01,WOODLANDS,3 ROOM,10 TO 12,67.0,Model A,2013,92 years 10 months,310000.0,570A WOODLANDS AVENUE 1,"1.43061935, 103.79088304999999",1.562533
780A,WOODLANDS CRES,2020-01,WOODLANDS,3 ROOM,16 TO 18,67.0,Model A,2015,94 years 07 months,300000.0,780A WOODLANDS CRESCENT,"1.4488197999999999, 103.80066794119267",0.5118105
102,WOODLANDS ST 13,2020-01,WOODLANDS,3 ROOM,10 TO 12,67.0,New Generation,1985,64 years 03 months,265000.0,102 WOODLANDS STREET 13,"1.4360995, 103.78122246699809",2.6189647
571A,WOODLANDS AVE 1,2020-01,WOODLANDS,4 ROOM,04 TO 06,92.0,Model A,2013,92 years 11 months,415000.0,571A WOODLANDS AVENUE 1,"1.43021245, 103.7910025031592",1.5511829
353,WOODLANDS AVE 1,2020-01,WOODLANDS,4 ROOM,10 TO 12,105.0,Model A,1996,75 years 06 months,400000.0,353 WOODLANDS AVENUE 1,"1.4318561, 103.7853201",2.1719909
