block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
105,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,70.0,New Generation,1985,64 years 08 months,275000.0,105 BEDOK RESERVOIR ROAD,"1.32922715, 103.9090129815935",2.4236298
628,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1983,62 years 01 month,288000.0,628 BEDOK RESERVOIR ROAD,"1.3348973, 103.9150075010044",2.5035548
615,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 04 months,280000.0,615 BEDOK RESERVOIR ROAD,"1.3323588499999999, 103.91599244405376",2.615035
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,01 TO 03,68.0,New Generation,1981,60 years 06 months,260000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",2.793859
616,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1982,61 years 05 months,278000.0,616 BEDOK RESERVOIR ROAD,"1.33151275, 103.91474192856921",2.5712316
713,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1981,60 years 06 months,280000.0,713 BEDOK RESERVOIR ROAD,"1.3366234000000001, 103.92241945966447",2.9396794
703,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1980,59 years 10 months,300000.0,703 BEDOK RESERVOIR ROAD,"1.3371143, 103.9199923",2.7552195
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 06 months,300000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",2.793859
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,13 TO 15,87.0,DBSS,2014,93 years 08 months,718000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.8603206
747C,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,10 TO 12,87.0,DBSS,2014,93 years 08 months,663000.0,747C BEDOK RESERVOIR CRESCENT,"1.33676455, 103.92195930890526",2.902714
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,13 TO 15,87.0,DBSS,2014,93 years 08 months,670000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.8603206
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,01 TO 03,87.0,DBSS,2014,93 years 07 months,655000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.8603206
702,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,04 TO 06,93.0,New Generation,1980,59 years 11 months,388000.0,702 BEDOK RESERVOIR ROAD,"1.33718775, 103.91890683065095",2.6805935
627,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1981,60 years 03 months,400000.0,627 BEDOK RESERVOIR ROAD,"1.3339533000000001, 103.91561484529242",2.5574863
622,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1981,60 years 02 months,386500.0,622 BEDOK RESERVOIR ROAD,"1.33405435, 103.91685595002133",2.6237526
126,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,01 TO 03,89.0,Simplified,1987,66 years 03 months,380000.0,126 BEDOK RESERVOIR ROAD,"1.33273785, 103.91086890098741",2.3832443
