block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",2.3551617
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1984,63 years 08 months,268000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",2.103472
587,ANG MO KIO AVE 3,2020-01,ANG MO KIO,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 05 months,265000.0,587 ANG MO KIO AVENUE 3,"1.3701783, 103.85246795073925",2.5562196
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,246100.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",2.468388
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,318000.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",2.468388
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,07 TO 09,93.0,New Generation,1980,59 years 02 months,383000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",2.3551617
473,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,10 TO 12,91.0,New Generation,1984,63 years 07 months,345000.0,473 ANG MO KIO AVENUE 10,"1.36306195, 103.85683672723425",2.1500645
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,01 TO 03,93.0,New Generation,1984,63 years 08 months,328000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",2.103472
419,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,04 TO 06,99.0,New Generation,1979,58 years 07 months,360000.0,419 ANG MO KIO AVENUE 10,"1.36529435, 103.85415376916289",2.4109538
412,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,01 TO 03,92.0,New Generation,1979,58 years 07 months,370000.0,412 ANG MO KIO AVENUE 10,"1.3638542, 103.85528989596983",2.3035712
419,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,10 TO 12,99.0,New Generation,1979,58 years 07 months,452000.0,419 ANG MO KIO AVENUE 10,"1.36529435, 103.85415376916289",2.4109538
427,ANG MO KIO AVE 3,2020-01,ANG MO KIO,4 ROOM,04 TO 06,92.0,New Generation,1978,57 years 09 months,390000.0,427 ANG MO KIO AVENUE 3,"1.3692957, 103.85457673982793",2.3352852
353,ANG MO KIO ST 32,2020-01,ANG MO KIO,4 ROOM,07 TO 09,90.0,Model A,2001,80 years 08 months,510000.0,353 ANG MO KIO STREET 32,"1.3640154500000001, 103.8516217737573",2.6899931
352,ANG MO KIO ST 32,2020-01,ANG MO KIO,4 ROOM,16 TO 18,95.0,Model A,2001,80 years 09 months,582000.0,352 ANG MO KIO STREET 32,"1.3643903000000002, 103.85089539566314",2.7647233
588B,ANG MO KIO ST 52,2020-01,ANG MO KIO,4 ROOM,13 TO 15,90.0,DBSS,2011,90 years 07 months,639000.0,588B ANG MO KIO STREET 52,"1.3719907, 103.85303949516165",2.4832516
588C,ANG MO KIO ST 52,2020-01,ANG MO KIO,4 ROOM,16 TO 18,90.0,DBSS,2011,90 years 07 months,723888.0,588C ANG MO KIO STREET 52,"1.3718687, 103.85348335",2.4359255
401,ANG MO KIO AVE 10,2020-01,ANG MO KIO,5 ROOM,01 TO 03,119.0,Improved,1979,58 years 04 months,465000.0,401 ANG MO KIO AVENUE 10,"1.3609939500000001, 103.8554229016294",2.3165052
588B,ANG MO KIO ST 52,2020-01,ANG MO KIO,5 ROOM,07 TO 09,120.0,DBSS,2011,90 years 07 months,840000.0,588B ANG MO KIO STREET 52,"1.3719907, 103.85303949516165",2.4832516
588A,ANG MO KIO ST 52,2020-01,ANG MO KIO,5 ROOM,10 TO 12,117.0,DBSS,2011,90 years 07 months,819800.0,588A ANG MO KIO STREET 52,"1.3720898, 103.85269347839707",2.5201793
150A,BISHAN ST 11,2020-01,BISHAN,4 ROOM,01 TO 03,84.0,Simplified,1989,68 years,392000.0,150A BISHAN STREET 11,"1.34469605, 103.85592293182222",2.4609613
151,BISHAN ST 11,2020-01,BISHAN,4 ROOM,04 TO 06,93.0,Simplified,1989,68 years 02 months,420000.0,151 BISHAN STREET 11,"1.3452161, 103.8558022198873",2.4652507
127,BISHAN ST 12,2020-01,BISHAN,4 ROOM,07 TO 09,83.0,Simplified,1986,65 years 11 months,472000.0,127 BISHAN STREET 12,"1.3462184, 103.8515118847227",2.8728702
