block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
842,SIMS AVE,2020-08,GEYLANG,EXECUTIVE,01 TO 03,147.0,Maisonette,1985,64 years 02 months,770000.0,842 SIMS AVENUE,"1.3180851, 103.90182607168265",0.20346305,1
842,SIMS AVE,2021-01,GEYLANG,EXECUTIVE,16 TO 18,149.0,Maisonette,1985,63 years 10 months,905000.0,842 SIMS AVENUE,"1.3180851, 103.90182607168265",0.20346305,1
842,SIMS AVE,2021-02,GEYLANG,EXECUTIVE,10 TO 12,149.0,Maisonette,1985,63 years 09 months,890000.0,842 SIMS AVENUE,"1.3180851, 103.90182607168265",0.20346305,1
846,SIMS AVE,2020-01,GEYLANG,EXECUTIVE,13 TO 15,149.0,Maisonette,1985,64 years 09 months,818000.0,846 SIMS AVENUE,"1.3174807, 103.90154749445695",0.21187194,1
846,SIMS AVE,2020-08,GEYLANG,EXECUTIVE,04 TO 06,147.0,Maisonette,1985,64 years 02 months,733888.0,846 SIMS AVENUE,"1.3174807, 103.90154749445695",0.21187194,1
846,SIMS AVE,2020-10,GEYLANG,EXECUTIVE,19 TO 21,160.0,Apartment,1985,63 years 11 months,895000.0,846 SIMS AVENUE,"1.3174807, 103.90154749445695",0.21187194,1
846,SIMS AVE,2020-12,GEYLANG,EXECUTIVE,01 TO 03,151.0,Apartment,1985,63 years 09 months,840000.0,846 SIMS AVENUE,"1.3174807, 103.90154749445695",0.21187194,1
844,SIMS AVE,2020-10,GEYLANG,4 ROOM,04 TO 06,83.0,Simplified,1985,63 years 11 months,483888.0,844 SIMS AVENUE,"1.3179824500000001, 103.90116625622117",0.25248325,1
31,EUNOS CRES,2020-03,GEYLANG,3 ROOM,10 TO 12,60.0,Model A,2007,85 years 10 months,463000.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
31,EUNOS CRES,2020-06,GEYLANG,3 ROOM,16 TO 18,60.0,Model A,2007,85 years 09 months,490000.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
31,EUNOS CRES,2020-08,GEYLANG,3 ROOM,10 TO 12,60.0,Model A,2007,85 years 06 months,465000.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
31,EUNOS CRES,2020-08,GEYLANG,4 ROOM,13 TO 15,90.0,Model A,2007,85 years 06 months,735000.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
31,EUNOS CRES,2020-11,GEYLANG,4 ROOM,04 TO 06,90.0,Model A,2007,85 years 02 months,698888.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
31,EUNOS CRES,2020-12,GEYLANG,3 ROOM,16 TO 18,60.0,Model A,2007,85 years 02 months,488000.0,31 EUNOS CRESCENT,"1.32056745, 103.90183239378375",0.25933322,1
9,EUNOS CRES,2020-01,GEYLANG,4 ROOM,10 TO 12,91.0,New Generation,1978,57 years 06 months,435000.0,9 EUNOS CRESCENT,"1.3218556, 103.9032026",0.26567066,1
9,EUNOS CRES,2020-11,GEYLANG,4 ROOM,01 TO 03,91.0,New Generation,1978,56 years 09 months,392000.0,9 EUNOS CRESCENT,"1.3218556, 103.9032026",0.26567066,1
36,EUNOS CRES,2020-06,GEYLANG,4 ROOM,16 TO 18,85.0,Model A,2006,85 years 07 months,715000.0,36 EUNOS CRESCENT,"1.32110585, 103.90189022344258",0.26934233,1
36,EUNOS CRES,2020-07,GEYLANG,5 ROOM,04 TO 06,110.0,Improved,2006,85 years 05 months,730000.0,36 EUNOS CRESCENT,"1.32110585, 103.90189022344258",0.26934233,1
36,EUNOS CRES,2020-10,GEYLANG,4 ROOM,07 TO 09,85.0,Model A,2006,85 years 02 months,692000.0,36 EUNOS CRESCENT,"1.32110585, 103.90189022344258",0.26934233,1
36,EUNOS CRES,2020-11,GEYLANG,3 ROOM,04 TO 06,60.0,Model A,2006,85 years 01 month,446000.0,36 EUNOS CRESCENT,"1.32110585, 103.90189022344258",0.26934233,1
10,EUNOS CRES,2020-10,GEYLANG,4 ROOM,10 TO 12,91.0,New Generation,1978,56 years 09 months,473000.0,10 EUNOS CRESCENT,"1.32231075, 103.90278503723323",0.27637815,1
10,EUNOS CRES,2021-01,GEYLANG,4 ROOM,04 TO 06,91.0,New Generation,1978,56 years 06 months,445000.0,10 EUNOS CRESCENT,"1.32231075, 103.90278503723323",0.27637815,1
32,EUNOS CRES,2020-01,GEYLANG,4 ROOM,10 TO 12,90.0,Model A,2007,86 years,745000.0,32 EUNOS CRESCENT,"1.3204761999999999, 103.90134135724622",0.28693596,1
32,EUNOS CRES,2020-03,GEYLANG,3 ROOM,07 TO 09,60.0,Model A,2007,85 years 10 months,400000.0,32 EUNOS CRESCENT,"1.3204761999999999, 103.90134135724622",0.28693596,1
32,EUNOS CRES,2021-01,GEYLANG,3 ROOM,10 TO 12,60.0,Model A,2007,85 years,478000.0,32 EUNOS CRESCENT,"1.3204761999999999, 103.90134135724622",0.28693596,1
35,EUNOS CRES,2020-02,GEYLANG,4 ROOM,13 TO 15,85.0,Model A,2006,85 years 09 months,680000.0,35 EUNOS CRESCENT,"1.32102525, 103.9015066571163",0.28825176,1
35,EUNOS CRES,2020-10,GEYLANG,4 ROOM,10 TO 12,85.0,Model A,2006,85 years 01 month,663000.0,35 EUNOS CRESCENT,"1.32102525, 103.9015066571163",0.28825176,1
35,EUNOS CRES,2021-02,GEYLANG,4 ROOM,13 TO 15,85.0,Model A,2006,84 years 09 months,670000.0,35 EUNOS CRESCENT,"1.32102525, 103.9015066571163",0.28825176,1
