block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
83,WHAMPOA DR,2021-01,KALLANG/WHAMPOA,4 ROOM,19 TO 21,91.0,Improved,1974,52 years,370000.0,83 WHAMPOA DRIVE,"1.3235881, 103.85706220468357",0.07057614,1
74,WHAMPOA DR,2020-01,KALLANG/WHAMPOA,3 ROOM,13 TO 15,66.0,Improved,1981,60 years 05 months,305000.0,74 WHAMPOA DRIVE,"1.3247292000000002, 103.8578382",0.08575868,1
74,WHAMPOA DR,2021-02,KALLANG/WHAMPOA,3 ROOM,13 TO 15,75.0,Improved,1981,59 years 04 months,355000.0,74 WHAMPOA DRIVE,"1.3247292000000002, 103.8578382",0.08575868,1
114,WHAMPOA RD,2020-10,KALLANG/WHAMPOA,5 ROOM,10 TO 12,135.0,Model A,1995,73 years 11 months,720000.0,114 WHAMPOA ROAD,"1.3255504500000002, 103.85762684106031",0.10094759,1
114,WHAMPOA RD,2020-11,KALLANG/WHAMPOA,4 ROOM,01 TO 03,108.0,Model A,1995,73 years 10 months,465000.0,114 WHAMPOA ROAD,"1.3255504500000002, 103.85762684106031",0.10094759,1
114,WHAMPOA RD,2021-01,KALLANG/WHAMPOA,5 ROOM,01 TO 03,132.0,Model A,1995,73 years 08 months,570000.0,114 WHAMPOA ROAD,"1.3255504500000002, 103.85762684106031",0.10094759,1
114,WHAMPOA RD,2021-01,KALLANG/WHAMPOA,5 ROOM,04 TO 06,131.0,Model A,1995,73 years 08 months,710000.0,114 WHAMPOA ROAD,"1.3255504500000002, 103.85762684106031",0.10094759,1
111,MCNAIR RD,2020-06,KALLANG/WHAMPOA,4 ROOM,01 TO 03,84.0,Simplified,1987,66 years,460000.0,111 MCNAIR ROAD,"1.3211802499999998, 103.85847620333735",0.106770165,1
111,MCNAIR RD,2020-08,KALLANG/WHAMPOA,4 ROOM,07 TO 09,104.0,Model A,1987,65 years 08 months,535000.0,111 MCNAIR ROAD,"1.3211802499999998, 103.85847620333735",0.106770165,1
120,MCNAIR RD,2020-11,KALLANG/WHAMPOA,4 ROOM,10 TO 12,104.0,Model A,1987,65 years 05 months,500000.0,120 MCNAIR ROAD,"1.3193709, 103.85673776075643",0.10875039,1
113,WHAMPOA RD,2020-08,KALLANG/WHAMPOA,4 ROOM,01 TO 03,106.0,Model A,1994,73 years 04 months,450000.0,113 WHAMPOA ROAD,"1.3257617000000002, 103.85715112549738",0.113900125,1
113,WHAMPOA RD,2020-10,KALLANG/WHAMPOA,5 ROOM,01 TO 03,131.0,Model A,1994,73 years 02 months,600000.0,113 WHAMPOA ROAD,"1.3257617000000002, 103.85715112549738",0.113900125,1
