block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
920,JURONG WEST ST 92,2020-08,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1989,67 years 06 months,320000.0,920 JURONG WEST STREET 92,"1.33984975, 103.68814682548114",0.03125587,1
917,JURONG WEST ST 91,2021-02,JURONG WEST,3 ROOM,07 TO 09,73.0,Model A,1988,66 years 06 months,285000.0,917 JURONG WEST STREET 91,"1.34033225, 103.68787167510052",0.059462998,1
917,JURONG WEST ST 91,2021-02,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1988,66 years 06 months,342000.0,917 JURONG WEST STREET 91,"1.34033225, 103.68787167510052",0.059462998,1
915,JURONG WEST ST 91,2020-02,JURONG WEST,4 ROOM,07 TO 09,103.0,Model A,1988,67 years 05 months,320000.0,915 JURONG WEST STREET 91,"1.3410923000000001, 103.68789314425557",0.073502235,1
921,JURONG WEST ST 92,2020-06,JURONG WEST,5 ROOM,04 TO 06,122.0,Improved,1988,67 years 07 months,392000.0,921 JURONG WEST STREET 92,"1.33960345, 103.68891800305732",0.07718723,1
914,JURONG WEST ST 91,2020-02,JURONG WEST,3 ROOM,10 TO 12,73.0,Model A,1988,67 years 05 months,263000.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.07778483,1
914,JURONG WEST ST 91,2020-08,JURONG WEST,4 ROOM,04 TO 06,103.0,Model A,1988,66 years 11 months,318800.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.07778483,1
914,JURONG WEST ST 91,2021-02,JURONG WEST,4 ROOM,07 TO 09,103.0,Model A,1988,66 years 06 months,360000.0,914 JURONG WEST STREET 91,"1.3414134500000001, 103.68794967022059",0.07778483,1
934,JURONG WEST ST 91,2020-06,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 06 months,315000.0,934 JURONG WEST STREET 91,"1.34229165, 103.68841554291058",0.09487983,1
934,JURONG WEST ST 91,2020-08,JURONG WEST,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 02 months,330000.0,934 JURONG WEST STREET 91,"1.34229165, 103.68841554291058",0.09487983,1
