block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
106A,PUNGGOL FIELD,2020-10,PUNGGOL,5 ROOM,01 TO 03,110.0,Improved,2003,81 years 07 months,410000.0,106A PUNGGOL FIELD,"1.3967208, 103.90859402372688",0.04946718,1
110A,PUNGGOL FIELD,2020-07,PUNGGOL,5 ROOM,04 TO 06,110.0,Improved,2003,81 years 11 months,425000.0,110A PUNGGOL FIELD,"1.3963709, 103.9090457",0.06845929,1
110A,PUNGGOL FIELD,2020-08,PUNGGOL,5 ROOM,13 TO 15,110.0,Improved,2003,81 years 10 months,435000.0,110A PUNGGOL FIELD,"1.3963709, 103.9090457",0.06845929,1
110A,PUNGGOL FIELD,2021-01,PUNGGOL,5 ROOM,13 TO 15,110.0,Improved,2003,81 years 06 months,470000.0,110A PUNGGOL FIELD,"1.3963709, 103.9090457",0.06845929,1
106B,PUNGGOL FIELD,2020-07,PUNGGOL,4 ROOM,10 TO 12,90.0,Model A,2003,81 years 07 months,370000.0,106B PUNGGOL FIELD,"1.39709025, 103.90812392173652",0.07534013,1
106B,PUNGGOL FIELD,2020-09,PUNGGOL,4 ROOM,04 TO 06,90.0,Model A,2003,81 years 05 months,362000.0,106B PUNGGOL FIELD,"1.39709025, 103.90812392173652",0.07534013,1
175B,PUNGGOL FIELD,2020-11,PUNGGOL,5 ROOM,04 TO 06,110.0,Improved,2003,81 years 09 months,400000.0,175B PUNGGOL FIELD,"1.39786085, 103.90856286047297",0.079660684,1
175A,PUNGGOL FIELD,2020-01,PUNGGOL,5 ROOM,04 TO 06,110.0,Improved,2003,82 years 08 months,410000.0,175A PUNGGOL FIELD,"1.3975446, 103.90886855328944",0.07976651,1
175A,PUNGGOL FIELD,2020-12,PUNGGOL,4 ROOM,10 TO 12,90.0,Model A,2003,81 years 10 months,390000.0,175A PUNGGOL FIELD,"1.3975446, 103.90886855328944",0.07976651,1
183B,RIVERVALE CRES,2020-07,SENGKANG,5 ROOM,04 TO 06,110.0,Improved,2003,81 years 10 months,400000.0,183B RIVERVALE CRESCENT,"1.39131415, 103.90828251409408",0.09970776,1
183B,RIVERVALE CRES,2020-08,SENGKANG,5 ROOM,10 TO 12,110.0,Improved,2003,81 years 10 months,410000.0,183B RIVERVALE CRESCENT,"1.39131415, 103.90828251409408",0.09970776,1
183B,RIVERVALE CRES,2020-10,SENGKANG,4 ROOM,07 TO 09,90.0,Model A,2003,81 years 07 months,365000.0,183B RIVERVALE CRESCENT,"1.39131415, 103.90828251409408",0.09970776,1
