block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
2,TOH YI DR,2020-07,BUKIT TIMAH,EXECUTIVE,04 TO 06,146.0,Maisonette,1988,67 years 02 months,962000.0,2 TOH YI DRIVE,"1.3390216000000001, 103.77544139072614",0.089829445,1
2,TOH YI DR,2020-07,BUKIT TIMAH,EXECUTIVE,07 TO 09,146.0,Maisonette,1988,67 years 02 months,920000.0,2 TOH YI DRIVE,"1.3390216000000001, 103.77544139072614",0.089829445,1
2,TOH YI DR,2021-01,BUKIT TIMAH,EXECUTIVE,01 TO 03,150.0,Maisonette,1988,66 years 07 months,928000.0,2 TOH YI DRIVE,"1.3390216000000001, 103.77544139072614",0.089829445,1
2,TOH YI DR,2021-02,BUKIT TIMAH,EXECUTIVE,13 TO 15,154.0,Maisonette,1988,66 years 06 months,1210000.0,2 TOH YI DRIVE,"1.3390216000000001, 103.77544139072614",0.089829445,1
3,TOH YI DR,2020-10,BUKIT TIMAH,EXECUTIVE,07 TO 09,150.0,Maisonette,1988,66 years 11 months,982000.0,3 TOH YI DRIVE,"1.3387323, 103.77519333033752",0.11525449,1
3,TOH YI DR,2021-02,BUKIT TIMAH,EXECUTIVE,10 TO 12,146.0,Maisonette,1988,66 years 07 months,1128000.0,3 TOH YI DRIVE,"1.3387323, 103.77519333033752",0.11525449,1
1,TOH YI DR,2020-05,BUKIT TIMAH,5 ROOM,10 TO 12,122.0,Improved,1988,67 years 03 months,860000.0,1 TOH YI DRIVE,"1.3394912, 103.7749404114488",0.14685231,1
1,TOH YI DR,2020-09,BUKIT TIMAH,4 ROOM,01 TO 03,104.0,Model A,1988,66 years 10 months,620000.0,1 TOH YI DRIVE,"1.3394912, 103.7749404114488",0.14685231,1
4,TOH YI DR,2020-06,BUKIT TIMAH,4 ROOM,10 TO 12,104.0,Model A,1988,67 years 02 months,680000.0,4 TOH YI DRIVE,"1.33853615, 103.77440426333834",0.20210081,1
4,TOH YI DR,2020-10,BUKIT TIMAH,5 ROOM,04 TO 06,122.0,Improved,1988,66 years 11 months,832000.0,4 TOH YI DRIVE,"1.33853615, 103.77440426333834",0.20210081,1
4,TOH YI DR,2020-11,BUKIT TIMAH,4 ROOM,07 TO 09,104.0,Model A,1988,66 years 09 months,750000.0,4 TOH YI DRIVE,"1.33853615, 103.77440426333834",0.20210081,1
4,TOH YI DR,2020-12,BUKIT TIMAH,4 ROOM,13 TO 15,104.0,Model A,1988,66 years 09 months,710888.0,4 TOH YI DRIVE,"1.33853615, 103.77440426333834",0.20210081,1
8,TOH YI DR,2020-04,BUKIT TIMAH,EXECUTIVE,01 TO 03,146.0,Maisonette,1989,68 years 01 month,970000.0,8 TOH YI DRIVE,"1.3379367, 103.77401090008142",0.2455473,1
10,TOH YI DR,2020-07,BUKIT TIMAH,EXECUTIVE,04 TO 06,146.0,Maisonette,1989,68 years,998000.0,10 TOH YI DRIVE,"1.33782765, 103.7733116230985",0.3233456,1
11,TOH YI DR,2020-03,BUKIT TIMAH,4 ROOM,04 TO 06,104.0,Model A,1989,68 years 03 months,635000.0,11 TOH YI DRIVE,"1.3376138, 103.77272867449125",0.38829935,1
