block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
864,JURONG WEST ST 81,2020-07,JURONG WEST,4 ROOM,01 TO 03,105.0,Model A,1996,75 years 04 months,320000.0,864 JURONG WEST STREET 81,"1.3496048, 103.69453499770995",0.035442438,1
864,JURONG WEST ST 81,2020-11,JURONG WEST,4 ROOM,01 TO 03,105.0,Model A,1996,75 years,331000.0,864 JURONG WEST STREET 81,"1.3496048, 103.69453499770995",0.035442438,1
865,JURONG WEST ST 81,2020-06,JURONG WEST,4 ROOM,04 TO 06,106.0,Model A,1996,75 years 05 months,335000.0,865 JURONG WEST STREET 81,"1.3500605, 103.69535716664328",0.06804301,1
865,JURONG WEST ST 81,2020-11,JURONG WEST,5 ROOM,04 TO 06,126.0,Improved,1996,75 years,418000.0,865 JURONG WEST STREET 81,"1.3500605, 103.69535716664328",0.06804301,1
821,JURONG WEST ST 81,2020-05,JURONG WEST,5 ROOM,04 TO 06,121.0,Improved,1990,68 years 11 months,335000.0,821 JURONG WEST STREET 81,"1.3470274, 103.69432379379894",0.07331464,1
821,JURONG WEST ST 81,2020-07,JURONG WEST,4 ROOM,10 TO 12,104.0,Model A,1990,68 years 11 months,318000.0,821 JURONG WEST STREET 81,"1.3470274, 103.69432379379894",0.07331464,1
821,JURONG WEST ST 81,2021-02,JURONG WEST,5 ROOM,01 TO 03,121.0,Improved,1990,68 years 02 months,410000.0,821 JURONG WEST STREET 81,"1.3470274, 103.69432379379894",0.07331464,1
821,JURONG WEST ST 81,2021-02,JURONG WEST,5 ROOM,07 TO 09,121.0,Improved,1990,68 years 01 month,400000.0,821 JURONG WEST STREET 81,"1.3470274, 103.69432379379894",0.07331464,1
826,JURONG WEST ST 81,2020-06,JURONG WEST,5 ROOM,04 TO 06,121.0,Improved,1990,69 years,357000.0,826 JURONG WEST STREET 81,"1.3459854500000001, 103.69464788362397",0.0791561,1
826,JURONG WEST ST 81,2020-07,JURONG WEST,5 ROOM,10 TO 12,121.0,Improved,1990,68 years 10 months,388000.0,826 JURONG WEST STREET 81,"1.3459854500000001, 103.69464788362397",0.0791561,1
826,JURONG WEST ST 81,2021-02,JURONG WEST,4 ROOM,10 TO 12,104.0,Model A,1990,68 years 02 months,370000.0,826 JURONG WEST STREET 81,"1.3459854500000001, 103.69464788362397",0.0791561,1
820,JURONG WEST ST 81,2020-01,JURONG WEST,5 ROOM,01 TO 03,126.0,Improved,1993,73 years,333000.0,820 JURONG WEST STREET 81,"1.3463078, 103.6952",0.08125892,1
