block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
303C,PUNGGOL CTRL,2020-08,PUNGGOL,4 ROOM,01 TO 03,93.0,Premium Apartment,2010,88 years 11 months,406000.0,303C PUNGGOL CENTRAL,"1.4040793, 103.90529985288671",0.033470474,1
303C,PUNGGOL CTRL,2020-11,PUNGGOL,4 ROOM,10 TO 12,93.0,Premium Apartment,2010,88 years 09 months,480000.0,303C PUNGGOL CENTRAL,"1.4040793, 103.90529985288671",0.033470474,1
306A,PUNGGOL PL,2020-02,PUNGGOL,4 ROOM,16 TO 18,93.0,Premium Apartment,2012,91 years 05 months,560000.0,306A PUNGGOL PLACE,"1.40611565, 103.90553754681588",0.03569094,1
306A,PUNGGOL PL,2020-10,PUNGGOL,4 ROOM,13 TO 15,97.0,Premium Apartment,2012,90 years 10 months,555000.0,306A PUNGGOL PLACE,"1.40611565, 103.90553754681588",0.03569094,1
306A,PUNGGOL PL,2020-12,PUNGGOL,4 ROOM,10 TO 12,93.0,Premium Apartment,2012,90 years 07 months,542888.0,306A PUNGGOL PLACE,"1.40611565, 103.90553754681588",0.03569094,1
303B,PUNGGOL CTRL,2020-01,PUNGGOL,4 ROOM,01 TO 03,94.0,Premium Apartment,2010,89 years 06 months,440000.0,303B PUNGGOL CENTRAL,"1.40393605, 103.90551354383746",0.045491178,1
303B,PUNGGOL CTRL,2020-03,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2010,89 years 04 months,480000.0,303B PUNGGOL CENTRAL,"1.40393605, 103.90551354383746",0.045491178,1
303B,PUNGGOL CTRL,2020-06,PUNGGOL,4 ROOM,10 TO 12,93.0,Premium Apartment,2010,89 years 03 months,500000.0,303B PUNGGOL CENTRAL,"1.40393605, 103.90551354383746",0.045491178,1
306B,PUNGGOL PL,2020-01,PUNGGOL,4 ROOM,07 TO 09,97.0,Premium Apartment,2012,91 years 06 months,525000.0,306B PUNGGOL PLACE,"1.4058546, 103.90579158046026",0.05878821,1
306B,PUNGGOL PL,2020-03,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2012,91 years 04 months,510000.0,306B PUNGGOL PLACE,"1.4058546, 103.90579158046026",0.05878821,1
