block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
428,TAMPINES ST 41,2020-03,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,64 years 10 months,600000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
428,TAMPINES ST 41,2020-08,TAMPINES,EXECUTIVE,04 TO 06,143.0,Apartment,1986,64 years 06 months,615000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
428,TAMPINES ST 41,2020-11,TAMPINES,EXECUTIVE,07 TO 09,148.0,Maisonette,1986,64 years 02 months,628000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
428,TAMPINES ST 41,2020-12,TAMPINES,EXECUTIVE,04 TO 06,154.0,Maisonette,1986,64 years 01 month,658000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
428,TAMPINES ST 41,2021-01,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,64 years,620000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
428,TAMPINES ST 41,2021-02,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,63 years 11 months,625000.0,428 TAMPINES STREET 41,"1.35924175, 103.94911054062669",0.035017636,1
427,TAMPINES ST 41,2020-06,TAMPINES,EXECUTIVE,10 TO 12,149.0,Apartment,1986,65 years 01 month,570000.0,427 TAMPINES STREET 41,"1.3595077, 103.94858053866267",0.066573136,1
427,TAMPINES ST 41,2020-07,TAMPINES,EXECUTIVE,01 TO 03,148.0,Maisonette,1986,64 years 10 months,615000.0,427 TAMPINES STREET 41,"1.3595077, 103.94858053866267",0.066573136,1
427,TAMPINES ST 41,2020-07,TAMPINES,EXECUTIVE,04 TO 06,143.0,Apartment,1986,64 years 10 months,610000.0,427 TAMPINES STREET 41,"1.3595077, 103.94858053866267",0.066573136,1
427,TAMPINES ST 41,2020-08,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,64 years 09 months,628000.0,427 TAMPINES STREET 41,"1.3595077, 103.94858053866267",0.066573136,1
429,TAMPINES ST 41,2021-01,TAMPINES,EXECUTIVE,04 TO 06,152.0,Apartment,1985,63 years 11 months,625000.0,429 TAMPINES STREET 41,"1.3592686, 103.94964127371055",0.066920556,1
496E,TAMPINES AVE 9,2020-08,TAMPINES,5 ROOM,04 TO 06,137.0,Model A,1993,72 years,550000.0,496E TAMPINES AVENUE 9,"1.36110515, 103.94984401614559",0.08141373,1
496E,TAMPINES AVE 9,2020-09,TAMPINES,4 ROOM,10 TO 12,107.0,Model A,1993,71 years 10 months,420000.0,496E TAMPINES AVENUE 9,"1.36110515, 103.94984401614559",0.08141373,1
496E,TAMPINES AVE 9,2021-02,TAMPINES,5 ROOM,07 TO 09,124.0,Improved,1993,71 years 06 months,555000.0,496E TAMPINES AVENUE 9,"1.36110515, 103.94984401614559",0.08141373,1
425,TAMPINES ST 41,2020-06,TAMPINES,5 ROOM,04 TO 06,122.0,Improved,1985,64 years 07 months,505000.0,425 TAMPINES STREET 41,"1.35903605, 103.94818620000001",0.11189901,1
430,TAMPINES ST 41,2020-10,TAMPINES,EXECUTIVE,01 TO 03,149.0,Apartment,1986,64 years 06 months,615000.0,430 TAMPINES STREET 41,"1.3594891, 103.95012925",0.11528469,1
430,TAMPINES ST 41,2020-12,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,64 years 04 months,585000.0,430 TAMPINES STREET 41,"1.3594891, 103.95012925",0.11528469,1
430,TAMPINES ST 41,2021-02,TAMPINES,EXECUTIVE,10 TO 12,148.0,Maisonette,1986,64 years 02 months,630000.0,430 TAMPINES STREET 41,"1.3594891, 103.95012925",0.11528469,1
230J,TAMPINES ST 21,2020-09,TAMPINES,EXECUTIVE,10 TO 12,150.0,Apartment,1993,71 years 11 months,683000.0,230J TAMPINES STREET 21,"1.3563018, 103.94946535",0.11994222,1
230J,TAMPINES ST 21,2020-12,TAMPINES,EXECUTIVE,04 TO 06,149.0,Apartment,1993,71 years 08 months,680000.0,230J TAMPINES STREET 21,"1.3563018, 103.94946535",0.11994222,1
232,TAMPINES ST 21,2020-05,TAMPINES,5 ROOM,10 TO 12,121.0,Improved,1985,63 years 09 months,531000.0,232 TAMPINES STREET 21,"1.35637565, 103.94868524940279",0.122001976,1
232,TAMPINES ST 21,2020-09,TAMPINES,5 ROOM,07 TO 09,125.0,Improved,1985,63 years 05 months,545000.0,232 TAMPINES STREET 21,"1.35637565, 103.94868524940279",0.122001976,1
232,TAMPINES ST 21,2020-11,TAMPINES,5 ROOM,04 TO 06,121.0,Improved,1985,63 years 02 months,510000.0,232 TAMPINES STREET 21,"1.35637565, 103.94868524940279",0.122001976,1
232,TAMPINES ST 21,2021-01,TAMPINES,5 ROOM,04 TO 06,121.0,Improved,1985,63 years 01 month,535000.0,232 TAMPINES STREET 21,"1.35637565, 103.94868524940279",0.122001976,1
426,TAMPINES ST 41,2020-09,TAMPINES,EXECUTIVE,04 TO 06,148.0,Maisonette,1986,64 years 04 months,660000.0,426 TAMPINES STREET 41,"1.3595607, 103.94789351180518",0.13938887,1
496C,TAMPINES ST 43,2020-01,TAMPINES,5 ROOM,04 TO 06,121.0,Improved,1993,72 years 06 months,515000.0,496C TAMPINES STREET 43,"1.36202315, 103.95032819344937",0.13959126,1
496C,TAMPINES ST 43,2020-01,TAMPINES,5 ROOM,07 TO 09,121.0,Improved,1993,72 years 06 months,505000.0,496C TAMPINES STREET 43,"1.36202315, 103.95032819344937",0.13959126,1
496D,TAMPINES AVE 9,2020-09,TAMPINES,5 ROOM,13 TO 15,137.0,Model A,1993,71 years 10 months,553888.0,496D TAMPINES AVENUE 9,"1.3614963, 103.95038274011559",0.14222552,1
496D,TAMPINES AVE 9,2020-11,TAMPINES,5 ROOM,13 TO 15,126.0,Improved,1993,71 years 09 months,501000.0,496D TAMPINES AVENUE 9,"1.3614963, 103.95038274011559",0.14222552,1
496D,TAMPINES AVE 9,2021-02,TAMPINES,5 ROOM,04 TO 06,126.0,Improved,1993,71 years 07 months,490000.0,496D TAMPINES AVENUE 9,"1.3614963, 103.95038274011559",0.14222552,1
234,TAMPINES ST 21,2020-06,TAMPINES,4 ROOM,04 TO 06,105.0,Model A,1984,63 years 08 months,450000.0,234 TAMPINES STREET 21,"1.3558691999999999, 103.9482797",0.15665483,1
234,TAMPINES ST 21,2020-07,TAMPINES,4 ROOM,07 TO 09,104.0,Model A,1984,63 years 06 months,468500.0,234 TAMPINES STREET 21,"1.3558691999999999, 103.9482797",0.15665483,1
234,TAMPINES ST 21,2020-08,TAMPINES,3 ROOM,07 TO 09,73.0,Model A,1984,63 years 04 months,355000.0,234 TAMPINES STREET 21,"1.3558691999999999, 103.9482797",0.15665483,1
234,TAMPINES ST 21,2020-08,TAMPINES,4 ROOM,10 TO 12,105.0,Model A,1984,63 years 04 months,480000.0,234 TAMPINES STREET 21,"1.3558691999999999, 103.9482797",0.15665483,1
496G,TAMPINES AVE 9,2020-09,TAMPINES,4 ROOM,13 TO 15,106.0,Model A,1993,71 years 11 months,468000.0,496G TAMPINES AVENUE 9,"1.3607531000000002, 103.95057464731326",0.16136387,1
496G,TAMPINES AVE 9,2020-09,TAMPINES,4 ROOM,04 TO 06,106.0,Model A,1993,71 years 10 months,400000.0,496G TAMPINES AVENUE 9,"1.3607531000000002, 103.95057464731326",0.16136387,1
235,TAMPINES ST 21,2020-11,TAMPINES,4 ROOM,01 TO 03,108.0,Model A,1993,71 years 09 months,449000.0,235 TAMPINES STREET 21,"1.3554954000000001, 103.94830065",0.16346699,1
416,TAMPINES ST 41,2020-12,TAMPINES,4 ROOM,10 TO 12,103.0,Model A,1987,65 years 05 months,450000.0,416 TAMPINES STREET 41,"1.35899685, 103.94767408325791",0.16652484,1
