block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
503C,CANBERRA LINK,2021-01,SEMBAWANG,5 ROOM,01 TO 03,110.0,Improved,2001,79 years 08 months,410000.0,503C CANBERRA LINK,"1.4505655, 103.82261251742996",0.047278866,1
503B,CANBERRA LINK,2020-02,SEMBAWANG,4 ROOM,04 TO 06,90.0,Model A,2001,80 years 06 months,336000.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
503B,CANBERRA LINK,2020-03,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,80 years 05 months,445000.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
503B,CANBERRA LINK,2020-12,SEMBAWANG,4 ROOM,13 TO 15,91.0,Model A,2001,79 years 09 months,370000.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
503B,CANBERRA LINK,2020-12,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 08 months,508800.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
503B,CANBERRA LINK,2021-01,SEMBAWANG,4 ROOM,04 TO 06,90.0,Model A,2001,79 years 08 months,384000.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
503B,CANBERRA LINK,2021-02,SEMBAWANG,4 ROOM,01 TO 03,90.0,Model A,2001,79 years 06 months,360000.0,503B CANBERRA LINK,"1.45053225, 103.82215585030553",0.051293273,1
507B,WELLINGTON CIRCLE,2020-03,SEMBAWANG,5 ROOM,07 TO 09,111.0,Improved,2001,80 years 09 months,388000.0,507B WELLINGTON CIRCLE,"1.45272335, 103.82303540348822",0.070983715,1
508C,WELLINGTON CIRCLE,2021-02,SEMBAWANG,4 ROOM,10 TO 12,85.0,Model A,2004,82 years 06 months,398000.0,508C WELLINGTON CIRCLE,"1.4528493, 103.82148288930384",0.105103776,1
504C,CANBERRA LINK,2020-01,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2001,80 years 07 months,345000.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",0.115003,1
504C,CANBERRA LINK,2020-06,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,80 years 04 months,405000.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",0.115003,1
504C,CANBERRA LINK,2020-08,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,80 years,403000.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",0.115003,1
504C,CANBERRA LINK,2020-09,SEMBAWANG,4 ROOM,10 TO 12,90.0,Model A,2001,80 years,365000.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",0.115003,1
504C,CANBERRA LINK,2021-01,SEMBAWANG,5 ROOM,01 TO 03,110.0,Improved,2001,79 years 08 months,415888.0,504C CANBERRA LINK,"1.45025205, 103.82334376583442",0.115003,1
501B,WELLINGTON CIRCLE,2020-11,SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,2001,79 years 10 months,407000.0,501B WELLINGTON CIRCLE,"1.45216775, 103.82125447601146",0.12878388,1
501B,WELLINGTON CIRCLE,2020-12,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 08 months,439000.0,501B WELLINGTON CIRCLE,"1.45216775, 103.82125447601146",0.12878388,1
509B,WELLINGTON CIRCLE,2020-07,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2004,83 years 02 months,385000.0,509B WELLINGTON CIRCLE,"1.4532794500000001, 103.82122847289278",0.13512935,1
509B,WELLINGTON CIRCLE,2020-07,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2004,83 years 01 month,410000.0,509B WELLINGTON CIRCLE,"1.4532794500000001, 103.82122847289278",0.13512935,1
508B,WELLINGTON CIRCLE,2020-01,SEMBAWANG,4 ROOM,10 TO 12,90.0,Model A,2004,83 years 08 months,346000.0,508B WELLINGTON CIRCLE,"1.45268855, 103.82105580585088",0.15158397,1
508B,WELLINGTON CIRCLE,2021-02,SEMBAWANG,4 ROOM,01 TO 03,90.0,Model A,2004,82 years 07 months,378888.0,508B WELLINGTON CIRCLE,"1.45268855, 103.82105580585088",0.15158397,1
504A,MONTREAL DR,2020-07,SEMBAWANG,EXECUTIVE,04 TO 06,130.0,Apartment,2001,79 years 11 months,460000.0,504A MONTREAL DRIVE,"1.4513975000000001, 103.82379779079145",0.15526797,1
504A,MONTREAL DR,2020-08,SEMBAWANG,EXECUTIVE,01 TO 03,130.0,Apartment,2001,79 years 09 months,455000.0,504A MONTREAL DRIVE,"1.4513975000000001, 103.82379779079145",0.15526797,1
504A,MONTREAL DR,2021-02,SEMBAWANG,EXECUTIVE,07 TO 09,130.0,Apartment,2001,79 years 03 months,528000.0,504A MONTREAL DRIVE,"1.4513975000000001, 103.82379779079145",0.15526797,1
306,CANBERRA RD,2020-03,SEMBAWANG,5 ROOM,13 TO 15,121.0,Improved,1998,77 years 08 months,449500.0,306 CANBERRA ROAD,"1.44587185, 103.82244432769633",0.16645724,1
510B,WELLINGTON CIRCLE,2020-01,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2004,83 years 09 months,302000.0,510B WELLINGTON CIRCLE,"1.45370305, 103.82093350320318",0.16965637,1
504D,MONTREAL DR,2020-07,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 11 months,410000.0,504D MONTREAL DRIVE,"1.45059805, 103.82397018300358",0.17794771,1
504D,MONTREAL DR,2020-08,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 10 months,418000.0,504D MONTREAL DRIVE,"1.45059805, 103.82397018300358",0.17794771,1
307,CANBERRA RD,2020-07,SEMBAWANG,EXECUTIVE,10 TO 12,140.0,Apartment,1998,77 years 03 months,555000.0,307 CANBERRA ROAD,"1.4458921500000002, 103.82166145610978",0.1857192,1
300,CANBERRA RD,2020-04,SEMBAWANG,5 ROOM,07 TO 09,120.0,Improved,1998,77 years 06 months,426000.0,300 CANBERRA ROAD,"1.4455884, 103.82303718961336",0.18730417,1
300,CANBERRA RD,2021-01,SEMBAWANG,4 ROOM,01 TO 03,101.0,Model A,1998,76 years 09 months,385000.0,300 CANBERRA ROAD,"1.4455884, 103.82303718961336",0.18730417,1
509A,WELLINGTON CIRCLE,2021-01,SEMBAWANG,5 ROOM,01 TO 03,110.0,Improved,2004,82 years 09 months,413000.0,509A WELLINGTON CIRCLE,"1.45306495, 103.82072961104939",0.18876258,1
305,CANBERRA RD,2020-02,SEMBAWANG,EXECUTIVE,13 TO 15,141.0,Apartment,1998,77 years 09 months,510000.0,305 CANBERRA ROAD,"1.4454579, 103.8218316050505",0.18881075,1
305,CANBERRA RD,2020-07,SEMBAWANG,5 ROOM,04 TO 06,121.0,Improved,1998,77 years 03 months,435000.0,305 CANBERRA ROAD,"1.4454579, 103.8218316050505",0.18881075,1
350A,CANBERRA RD,2020-03,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,80 years 06 months,460000.0,350A CANBERRA ROAD,"1.4505682000000002, 103.82063415",0.20209749,1
350A,CANBERRA RD,2020-07,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,80 years 02 months,481000.0,350A CANBERRA ROAD,"1.4505682000000002, 103.82063415",0.20209749,1
350A,CANBERRA RD,2021-02,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 08 months,505000.0,350A CANBERRA ROAD,"1.4505682000000002, 103.82063415",0.20209749,1
508A,WELLINGTON CIRCLE,2020-06,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2004,83 years 04 months,338000.0,508A WELLINGTON CIRCLE,"1.4524756, 103.82058674999999",0.20322894,1
508A,WELLINGTON CIRCLE,2020-07,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2004,83 years 02 months,350000.0,508A WELLINGTON CIRCLE,"1.4524756, 103.82058674999999",0.20322894,1
316,SEMBAWANG VISTA,2020-03,SEMBAWANG,5 ROOM,07 TO 09,121.0,Improved,1999,78 years 02 months,443000.0,316 SEMBAWANG VISTA,"1.4463578, 103.82095040749465",0.22360468,1
316,SEMBAWANG VISTA,2020-07,SEMBAWANG,4 ROOM,07 TO 09,100.0,Model A,1999,77 years 10 months,375000.0,316 SEMBAWANG VISTA,"1.4463578, 103.82095040749465",0.22360468,1
351A,CANBERRA RD,2020-06,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,80 years 06 months,463000.0,351A CANBERRA ROAD,"1.4504107, 103.8202211",0.24796084,1
351A,CANBERRA RD,2021-01,SEMBAWANG,4 ROOM,07 TO 09,93.0,Model A,2001,79 years 10 months,410000.0,351A CANBERRA ROAD,"1.4504107, 103.8202211",0.24796084,1
314,SEMBAWANG DR,2020-07,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A2,1999,77 years 07 months,280000.0,314 SEMBAWANG DRIVE,"1.44370015, 103.821378743651",0.251872,1
588C,MONTREAL DR,2020-02,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2003,81 years 11 months,406000.0,588C MONTREAL DRIVE,"1.45052705, 103.82468237370833",0.25597924,1
588C,MONTREAL DR,2020-06,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2003,81 years 08 months,414000.0,588C MONTREAL DRIVE,"1.45052705, 103.82468237370833",0.25597924,1
588C,MONTREAL DR,2020-06,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2003,81 years 08 months,406000.0,588C MONTREAL DRIVE,"1.45052705, 103.82468237370833",0.25597924,1
312,SEMBAWANG DR,2020-09,SEMBAWANG,4 ROOM,04 TO 06,101.0,Model A,1999,77 years 06 months,345000.0,312 SEMBAWANG DRIVE,"1.44447005, 103.82084983436204",0.26771364,1
312,SEMBAWANG DR,2020-09,SEMBAWANG,4 ROOM,04 TO 06,101.0,Model A,1999,77 years 06 months,365000.0,312 SEMBAWANG DRIVE,"1.44447005, 103.82084983436204",0.26771364,1
351B,CANBERRA RD,2020-08,SEMBAWANG,5 ROOM,01 TO 03,110.0,Improved,2001,80 years 02 months,393900.0,351B CANBERRA ROAD,"1.45089135, 103.81998665",0.27177638,1
351B,CANBERRA RD,2020-10,SEMBAWANG,4 ROOM,04 TO 06,93.0,Model A,2001,80 years 01 month,395000.0,351B CANBERRA ROAD,"1.45089135, 103.81998665",0.27177638,1
351B,CANBERRA RD,2021-01,SEMBAWANG,5 ROOM,10 TO 12,113.0,Improved,2001,79 years 10 months,510000.0,351B CANBERRA ROAD,"1.45089135, 103.81998665",0.27177638,1
588B,MONTREAL DR,2020-01,SEMBAWANG,EXECUTIVE,10 TO 12,125.0,Apartment,2002,81 years 10 months,522000.0,588B MONTREAL DRIVE,"1.4503960999999999, 103.82516789835104",0.30984035,1
588B,MONTREAL DR,2020-11,SEMBAWANG,EXECUTIVE,10 TO 12,125.0,Apartment,2002,81 years 01 month,525000.0,588B MONTREAL DRIVE,"1.4503960999999999, 103.82516789835104",0.30984035,1
418,CANBERRA RD,2020-10,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 05 months,422000.0,418 CANBERRA ROAD,"1.4524045, 103.81925093611089",0.35163683,1
418,CANBERRA RD,2021-01,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 03 months,415000.0,418 CANBERRA ROAD,"1.4524045, 103.81925093611089",0.35163683,1
419,CANBERRA RD,2020-09,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 07 months,415000.0,419 CANBERRA ROAD,"1.4521939, 103.81894878535847",0.3851653,1
419,CANBERRA RD,2020-11,SEMBAWANG,4 ROOM,13 TO 15,90.0,Model A,2001,79 years 04 months,400000.0,419 CANBERRA ROAD,"1.4521939, 103.81894878535847",0.3851653,1
589A,MONTREAL DR,2020-01,SEMBAWANG,4 ROOM,13 TO 15,85.0,Model A2,2002,82 years,358000.0,589A MONTREAL DRIVE,"1.4498144, 103.82592673024772",0.3955895,1
424,CANBERRA RD,2020-08,SEMBAWANG,4 ROOM,01 TO 03,90.0,Model A,2001,79 years 08 months,310000.0,424 CANBERRA ROAD,"1.4538829, 103.81878775224604",0.40572974,1
424,CANBERRA RD,2020-09,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 08 months,412000.0,424 CANBERRA ROAD,"1.4538829, 103.81878775224604",0.40572974,1
424,CANBERRA RD,2020-09,SEMBAWANG,5 ROOM,07 TO 09,110.0,Improved,2001,79 years 07 months,399000.0,424 CANBERRA ROAD,"1.4538829, 103.81878775224604",0.40572974,1
425,CANBERRA RD,2020-06,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,80 years 01 month,403000.0,425 CANBERRA ROAD,"1.45427035, 103.8187210228379",0.41438395,1
421,CANBERRA RD,2020-04,SEMBAWANG,4 ROOM,04 TO 06,90.0,Model A,2001,80 years,320000.0,421 CANBERRA ROAD,"1.4530214, 103.81868710154471",0.41492686,1
320,SEMBAWANG CL,2020-03,SEMBAWANG,4 ROOM,01 TO 03,100.0,Model A,1999,78 years 02 months,346000.0,320 SEMBAWANG CLOSE,"1.44646155, 103.81886673672317",0.4221163,1
591A,MONTREAL LINK,2020-01,SEMBAWANG,3 ROOM,01 TO 03,68.0,Model A,2015,94 years 03 months,280000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
591A,MONTREAL LINK,2020-02,SEMBAWANG,3 ROOM,01 TO 03,68.0,Model A,2015,94 years 02 months,292000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
591A,MONTREAL LINK,2020-08,SEMBAWANG,3 ROOM,13 TO 15,68.0,Model A,2015,93 years 09 months,315000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
591A,MONTREAL LINK,2020-08,SEMBAWANG,3 ROOM,10 TO 12,68.0,Model A,2015,93 years 08 months,315000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
591A,MONTREAL LINK,2021-02,SEMBAWANG,2 ROOM,04 TO 06,47.0,Model A,2015,93 years 03 months,258000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
591A,MONTREAL LINK,2021-02,SEMBAWANG,2 ROOM,13 TO 15,47.0,Model A,2015,93 years 03 months,230000.0,591A MONTREAL LINK,"1.4508228, 103.82625356089954",0.4285151,1
420,CANBERRA RD,2020-01,SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,2001,80 years 02 months,396000.0,420 CANBERRA ROAD,"1.45251745, 103.81854416011817",0.4302737,1
420,CANBERRA RD,2020-07,SEMBAWANG,4 ROOM,13 TO 15,90.0,Model A,2001,79 years 08 months,332000.0,420 CANBERRA ROAD,"1.45251745, 103.81854416011817",0.4302737,1
325,SEMBAWANG CRES,2020-02,SEMBAWANG,4 ROOM,10 TO 12,101.0,Model A,1999,78 years 04 months,355000.0,325 SEMBAWANG CRESCENT,"1.44454965, 103.81883359538914",0.446084,1
325,SEMBAWANG CRES,2020-06,SEMBAWANG,5 ROOM,04 TO 06,120.0,Improved,1999,78 years 03 months,418000.0,325 SEMBAWANG CRESCENT,"1.44454965, 103.81883359538914",0.446084,1
325,SEMBAWANG CRES,2020-06,SEMBAWANG,5 ROOM,13 TO 15,123.0,Improved,1999,78 years 01 month,428000.0,325 SEMBAWANG CRESCENT,"1.44454965, 103.81883359538914",0.446084,1
325,SEMBAWANG CRES,2020-09,SEMBAWANG,4 ROOM,07 TO 09,101.0,Model A,1999,77 years 09 months,355000.0,325 SEMBAWANG CRESCENT,"1.44454965, 103.81883359538914",0.446084,1
321,SEMBAWANG CL,2020-05,SEMBAWANG,4 ROOM,04 TO 06,101.0,Model A,1999,78 years 01 month,350000.0,321 SEMBAWANG CLOSE,"1.4460923, 103.81857729788084",0.45568633,1
422,CANBERRA RD,2020-05,SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,2001,79 years 11 months,382000.0,422 CANBERRA ROAD,"1.453263, 103.81820292913943",0.4690535,1
422,CANBERRA RD,2020-11,SEMBAWANG,4 ROOM,07 TO 09,90.0,Model A,2001,79 years 05 months,350000.0,422 CANBERRA ROAD,"1.453263, 103.81820292913943",0.4690535,1
423,CANBERRA RD,2020-02,SEMBAWANG,EXECUTIVE,13 TO 15,130.0,Apartment,2001,80 years 01 month,478000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-05,SEMBAWANG,EXECUTIVE,10 TO 12,130.0,Apartment,2001,79 years 11 months,478000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-07,SEMBAWANG,EXECUTIVE,13 TO 15,130.0,Apartment,2001,79 years 09 months,480000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-07,SEMBAWANG,EXECUTIVE,07 TO 09,130.0,Apartment,2001,79 years 08 months,454000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-08,SEMBAWANG,EXECUTIVE,10 TO 12,130.0,Apartment,2001,79 years 07 months,490000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-08,SEMBAWANG,EXECUTIVE,07 TO 09,130.0,Apartment,2001,79 years 07 months,458000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2020-08,SEMBAWANG,EXECUTIVE,07 TO 09,130.0,Apartment,2001,79 years 07 months,480000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2021-01,SEMBAWANG,EXECUTIVE,10 TO 12,130.0,Apartment,2001,79 years 02 months,480000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
423,CANBERRA RD,2021-02,SEMBAWANG,EXECUTIVE,04 TO 06,130.0,Apartment,2001,79 years 01 month,500000.0,423 CANBERRA ROAD,"1.45378655, 103.81819129061152",0.47143424,1
410,SEMBAWANG DR,2020-01,SEMBAWANG,4 ROOM,04 TO 06,90.0,Model A,2001,80 years 03 months,310000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",0.4849721,1
410,SEMBAWANG DR,2020-01,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2001,80 years 03 months,410000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",0.4849721,1
410,SEMBAWANG DR,2020-03,SEMBAWANG,5 ROOM,13 TO 15,110.0,Improved,2001,80 years 01 month,410000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",0.4849721,1
410,SEMBAWANG DR,2020-08,SEMBAWANG,5 ROOM,10 TO 12,110.0,Improved,2001,79 years 08 months,403000.0,410 SEMBAWANG DRIVE,"1.45278705, 103.81805394565022",0.4849721,1
411,SEMBAWANG DR,2020-09,SEMBAWANG,5 ROOM,04 TO 06,110.0,Improved,2001,79 years 08 months,365000.0,411 SEMBAWANG DRIVE,"1.4523077, 103.81804634478466",0.48553044,1
340B,SEMBAWANG CL,2020-03,SEMBAWANG,5 ROOM,10 TO 12,110.0,Premium Apartment,2001,80 years 03 months,438000.0,340B SEMBAWANG CLOSE,"1.44724075, 103.81819286390828",0.48690182,1
340B,SEMBAWANG CL,2020-09,SEMBAWANG,5 ROOM,04 TO 06,111.0,Premium Apartment,2001,79 years 10 months,406888.0,340B SEMBAWANG CLOSE,"1.44724075, 103.81819286390828",0.48690182,1
340B,SEMBAWANG CL,2020-09,SEMBAWANG,5 ROOM,07 TO 09,110.0,Premium Apartment,2001,79 years 09 months,447000.0,340B SEMBAWANG CLOSE,"1.44724075, 103.81819286390828",0.48690182,1
330,SEMBAWANG CL,2020-03,SEMBAWANG,5 ROOM,10 TO 12,120.0,Improved,1999,78 years 04 months,460000.0,330 SEMBAWANG CLOSE,"1.4466546500000002, 103.81811769076538",0.49927795,1
330,SEMBAWANG CL,2020-04,SEMBAWANG,5 ROOM,01 TO 03,115.0,Improved,1999,78 years 04 months,412000.0,330 SEMBAWANG CLOSE,"1.4466546500000002, 103.81811769076538",0.49927795,1
330,SEMBAWANG CL,2020-07,SEMBAWANG,5 ROOM,04 TO 06,119.0,Improved,1999,78 years,425000.0,330 SEMBAWANG CLOSE,"1.4466546500000002, 103.81811769076538",0.49927795,1
330,SEMBAWANG CL,2020-11,SEMBAWANG,4 ROOM,16 TO 18,100.0,Model A,1999,77 years 09 months,370000.0,330 SEMBAWANG CLOSE,"1.4466546500000002, 103.81811769076538",0.49927795,1
330,SEMBAWANG CL,2021-02,SEMBAWANG,4 ROOM,07 TO 09,100.0,Model A,1999,77 years 06 months,415000.0,330 SEMBAWANG CLOSE,"1.4466546500000002, 103.81811769076538",0.49927795,1
590A,MONTREAL LINK,2020-01,SEMBAWANG,2 ROOM,04 TO 06,47.0,Model A,2015,94 years 03 months,215000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2020-03,SEMBAWANG,3 ROOM,16 TO 18,68.0,Model A,2015,94 years 02 months,300000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2020-04,SEMBAWANG,3 ROOM,16 TO 18,68.0,Model A,2015,94 years,310000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2020-06,SEMBAWANG,3 ROOM,07 TO 09,68.0,Model A,2015,94 years 01 month,308000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2020-07,SEMBAWANG,3 ROOM,13 TO 15,68.0,Model A,2015,93 years 09 months,312000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2021-02,SEMBAWANG,3 ROOM,04 TO 06,68.0,Model A,2015,93 years 03 months,305000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
590A,MONTREAL LINK,2021-02,SEMBAWANG,3 ROOM,13 TO 15,68.0,Model A,2015,93 years 03 months,320000.0,590A MONTREAL LINK,"1.4502042, 103.82697699335108",0.5101233,1
