block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
223,SERANGOON AVE 4,2020-09,SERANGOON,3 ROOM,01 TO 03,67.0,New Generation,1984,63 years 04 months,290000.0,223 SERANGOON AVENUE 4,"1.3577742499999998, 103.8707064",0.12456045,1
223,SERANGOON AVE 4,2020-10,SERANGOON,3 ROOM,01 TO 03,72.0,New Generation,1984,63 years 03 months,273000.0,223 SERANGOON AVENUE 4,"1.3577742499999998, 103.8707064",0.12456045,1
223,SERANGOON AVE 4,2020-10,SERANGOON,3 ROOM,07 TO 09,67.0,New Generation,1984,63 years 03 months,308000.0,223 SERANGOON AVENUE 4,"1.3577742499999998, 103.8707064",0.12456045,1
223,SERANGOON AVE 4,2020-10,SERANGOON,4 ROOM,10 TO 12,94.0,New Generation,1984,63 years 03 months,430000.0,223 SERANGOON AVENUE 4,"1.3577742499999998, 103.8707064",0.12456045,1
234,SERANGOON AVE 3,2020-10,SERANGOON,4 ROOM,04 TO 06,84.0,Simplified,1985,63 years 09 months,394000.0,234 SERANGOON AVENUE 3,"1.35480025, 103.86954966485246",0.13740212,1
224,SERANGOON AVE 4,2020-01,SERANGOON,4 ROOM,04 TO 06,105.0,New Generation,1984,63 years 06 months,515000.0,224 SERANGOON AVENUE 4,"1.35720645, 103.87083895",0.14474587,1
224,SERANGOON AVE 4,2020-08,SERANGOON,4 ROOM,10 TO 12,91.0,New Generation,1984,63 years,460000.0,224 SERANGOON AVENUE 4,"1.35720645, 103.87083895",0.14474587,1
224,SERANGOON AVE 4,2020-09,SERANGOON,4 ROOM,01 TO 03,91.0,New Generation,1984,62 years 10 months,395000.0,224 SERANGOON AVENUE 4,"1.35720645, 103.87083895",0.14474587,1
224,SERANGOON AVE 4,2021-01,SERANGOON,4 ROOM,01 TO 03,91.0,New Generation,1984,62 years 07 months,395000.0,224 SERANGOON AVENUE 4,"1.35720645, 103.87083895",0.14474587,1
226,SERANGOON AVE 4,2020-06,SERANGOON,4 ROOM,10 TO 12,91.0,New Generation,1984,63 years 04 months,450000.0,226 SERANGOON AVENUE 4,"1.35683695, 103.87085398119318",0.151298,1
226,SERANGOON AVE 4,2020-12,SERANGOON,4 ROOM,04 TO 06,93.0,New Generation,1984,62 years 08 months,442000.0,226 SERANGOON AVENUE 4,"1.35683695, 103.87085398119318",0.151298,1
226,SERANGOON AVE 4,2021-01,SERANGOON,4 ROOM,04 TO 06,91.0,New Generation,1984,62 years 07 months,418000.0,226 SERANGOON AVENUE 4,"1.35683695, 103.87085398119318",0.151298,1
227,SERANGOON AVE 4,2020-04,SERANGOON,4 ROOM,04 TO 06,96.0,New Generation,1984,63 years 09 months,410000.0,227 SERANGOON AVENUE 4,"1.35623275, 103.87087319239542",0.16229056,1
227,SERANGOON AVE 4,2020-08,SERANGOON,4 ROOM,07 TO 09,92.0,New Generation,1984,63 years 04 months,428000.0,227 SERANGOON AVENUE 4,"1.35623275, 103.87087319239542",0.16229056,1
234A,SERANGOON AVE 2,2020-10,SERANGOON,EXECUTIVE,04 TO 06,140.0,Apartment,1998,76 years 08 months,790000.0,234A SERANGOON AVENUE 2,"1.35437345, 103.8690572777148",0.16450042,1
237,SERANGOON AVE 3,2020-08,SERANGOON,3 ROOM,04 TO 06,64.0,Simplified,1985,64 years 04 months,365000.0,237 SERANGOON AVENUE 3,"1.3541311999999999, 103.87025658648464",0.16561976,1
237,SERANGOON AVE 3,2020-11,SERANGOON,4 ROOM,01 TO 03,84.0,Simplified,1985,64 years 01 month,475000.0,237 SERANGOON AVENUE 3,"1.3541311999999999, 103.87025658648464",0.16561976,1
242,SERANGOON AVE 3,2020-10,SERANGOON,4 ROOM,04 TO 06,84.0,Simplified,1986,64 years 08 months,458000.0,242 SERANGOON AVENUE 3,"1.3527087999999998, 103.86969435",0.19199383,1
239,SERANGOON AVE 2,2020-02,SERANGOON,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 04 months,500000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.19764082,1
239,SERANGOON AVE 2,2020-04,SERANGOON,4 ROOM,07 TO 09,84.0,Simplified,1985,64 years 03 months,508000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.19764082,1
239,SERANGOON AVE 2,2020-05,SERANGOON,4 ROOM,10 TO 12,104.0,Model A,1985,64 years 02 months,615000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.19764082,1
239,SERANGOON AVE 2,2020-09,SERANGOON,4 ROOM,01 TO 03,104.0,Model A,1985,63 years 09 months,575000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.19764082,1
239,SERANGOON AVE 2,2021-01,SERANGOON,4 ROOM,04 TO 06,90.0,Simplified,1985,63 years 06 months,505000.0,239 SERANGOON AVENUE 2,"1.3532385, 103.8689351823913",0.19764082,1
253,SERANGOON CTRL DR,2020-09,SERANGOON,3 ROOM,04 TO 06,64.0,Simplified,1988,66 years 10 months,360000.0,253 SERANGOON CENTRAL DRIVE,"1.3540772, 103.8708075",0.1976674,1
222,SERANGOON AVE 4,2020-01,SERANGOON,4 ROOM,01 TO 03,92.0,New Generation,1985,64 years 09 months,403000.0,222 SERANGOON AVENUE 4,"1.3586475, 103.87147476513556",0.19907978,1
222,SERANGOON AVE 4,2020-04,SERANGOON,3 ROOM,10 TO 12,67.0,New Generation,1985,64 years 06 months,315000.0,222 SERANGOON AVENUE 4,"1.3586475, 103.87147476513556",0.19907978,1
222,SERANGOON AVE 4,2020-11,SERANGOON,3 ROOM,04 TO 06,67.0,New Generation,1985,63 years 10 months,310000.0,222 SERANGOON AVENUE 4,"1.3586475, 103.87147476513556",0.19907978,1
222,SERANGOON AVE 4,2020-12,SERANGOON,4 ROOM,04 TO 06,99.0,New Generation,1985,63 years 10 months,435000.0,222 SERANGOON AVENUE 4,"1.3586475, 103.87147476513556",0.19907978,1
222,SERANGOON AVE 4,2021-01,SERANGOON,3 ROOM,01 TO 03,67.0,New Generation,1985,63 years 09 months,291000.0,222 SERANGOON AVENUE 4,"1.3586475, 103.87147476513556",0.19907978,1
232A,SERANGOON AVE 2,2020-01,SERANGOON,EXECUTIVE,01 TO 03,140.0,Apartment,1998,77 years 05 months,800000.0,232A SERANGOON AVENUE 2,"1.35433855, 103.86842707771481",0.20596331,1
