block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
540,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1980,59 years 06 months,245000.0,540 BEDOK NORTH STREET 3,"1.3310533, 103.92192894307725",2.9203272
542,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1985,64 years 08 months,245000.0,542 BEDOK NORTH STREET 3,"1.33059935, 103.92263093651664",2.9971108
105,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,70.0,New Generation,1985,64 years 08 months,275000.0,105 BEDOK RESERVOIR ROAD,"1.32922715, 103.9090129815935",1.7204713
628,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1983,62 years 01 month,288000.0,628 BEDOK RESERVOIR ROAD,"1.3348973, 103.9150075010044",2.1796677
615,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 04 months,280000.0,615 BEDOK RESERVOIR ROAD,"1.3323588499999999, 103.91599244405376",2.3082411
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,01 TO 03,68.0,New Generation,1981,60 years 06 months,260000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",2.712434
616,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1982,61 years 05 months,278000.0,616 BEDOK RESERVOIR ROAD,"1.33151275, 103.91474192856921",2.1979508
713,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,04 TO 06,68.0,New Generation,1981,60 years 06 months,280000.0,713 BEDOK RESERVOIR ROAD,"1.3366234000000001, 103.92241945966447",2.917658
703,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1980,59 years 10 months,300000.0,703 BEDOK RESERVOIR ROAD,"1.3371143, 103.9199923",2.6600199
704,BEDOK RESERVOIR RD,2020-01,BEDOK,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 06 months,300000.0,704 BEDOK RESERVOIR ROAD,"1.3368673, 103.9204745",2.712434
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,13 TO 15,87.0,DBSS,2014,93 years 08 months,718000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.7980678
747C,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,10 TO 12,87.0,DBSS,2014,93 years 08 months,663000.0,747C BEDOK RESERVOIR CRESCENT,"1.33676455, 103.92195930890526",2.8682005
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,13 TO 15,87.0,DBSS,2014,93 years 08 months,670000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.7980678
748B,BEDOK RESERVOIR CRES,2020-01,BEDOK,4 ROOM,01 TO 03,87.0,DBSS,2014,93 years 07 months,655000.0,748B BEDOK RESERVOIR CRESCENT,"1.3362955, 103.92124589531625",2.7980678
702,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,04 TO 06,93.0,New Generation,1980,59 years 11 months,388000.0,702 BEDOK RESERVOIR ROAD,"1.33718775, 103.91890683065095",2.547113
627,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1981,60 years 03 months,400000.0,627 BEDOK RESERVOIR ROAD,"1.3339533000000001, 103.91561484529242",2.25118
622,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1981,60 years 02 months,386500.0,622 BEDOK RESERVOIR ROAD,"1.33405435, 103.91685595002133",2.3730652
126,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,01 TO 03,89.0,Simplified,1987,66 years 03 months,380000.0,126 BEDOK RESERVOIR ROAD,"1.33273785, 103.91086890098741",1.8196882
143,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,01 TO 03,104.0,Model A,1987,66 years,405000.0,143 BEDOK RESERVOIR ROAD,"1.33497055, 103.91276106377518",1.9614207
110,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,01 TO 03,91.0,New Generation,1985,64 years 06 months,365000.0,110 BEDOK RESERVOIR ROAD,"1.33019585, 103.91031734471434",1.8128384
110,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,93.0,New Generation,1985,64 years 06 months,388000.0,110 BEDOK RESERVOIR ROAD,"1.33019585, 103.91031734471434",1.8128384
628,BEDOK RESERVOIR RD,2020-01,BEDOK,4 ROOM,10 TO 12,93.0,New Generation,1983,62 years,395000.0,628 BEDOK RESERVOIR ROAD,"1.3348973, 103.9150075010044",2.1796677
61,CHAI CHEE RD,2020-01,BEDOK,4 ROOM,10 TO 12,91.0,New Generation,1982,61 years 09 months,350000.0,61 CHAI CHEE ROAD,"1.3251396, 103.920696930352",2.8616223
655,JLN TENAGA,2020-01,BEDOK,4 ROOM,07 TO 09,108.0,Model A,1996,75 years 11 months,480000.0,655 JALAN TENAGA,"1.3333292, 103.9067607549411",1.4652387
659,JLN TENAGA,2020-01,BEDOK,4 ROOM,13 TO 15,106.0,Model A,1996,75 years 09 months,500000.0,659 JALAN TENAGA,"1.3342316, 103.90613509785102",1.4002535
601,BEDOK RESERVOIR RD,2020-01,BEDOK,5 ROOM,10 TO 12,123.0,Improved,1982,61 years 04 months,465000.0,601 BEDOK RESERVOIR ROAD,"1.3299436, 103.9113629270509",1.9084011
611,BEDOK RESERVOIR RD,2020-01,BEDOK,5 ROOM,13 TO 15,123.0,Improved,1993,72 years 04 months,488000.0,611 BEDOK RESERVOIR ROAD,"1.33105705, 103.91524226298515",2.2521832
147,BEDOK RESERVOIR RD,2020-01,BEDOK,5 ROOM,04 TO 06,122.0,Improved,1987,66 years 01 month,448000.0,147 BEDOK RESERVOIR ROAD,"1.3348851000000002, 103.91173421423875",1.8660374
112,BEDOK RESERVOIR RD,2020-01,BEDOK,5 ROOM,10 TO 12,125.0,Improved,1985,64 years 06 months,470000.0,112 BEDOK RESERVOIR ROAD,"1.32967695, 103.91035606477229",1.8249617
611,BEDOK RESERVOIR RD,2020-01,BEDOK,5 ROOM,07 TO 09,121.0,Improved,1993,72 years 04 months,500000.0,611 BEDOK RESERVOIR ROAD,"1.33105705, 103.91524226298515",2.2521832
1,CHAI CHEE RD,2020-01,BEDOK,5 ROOM,04 TO 06,133.0,Model A,1983,62 years 07 months,525000.0,1 CHAI CHEE ROAD,"1.32802795, 103.92220408106277",2.980363
805,CHAI CHEE RD,2020-01,BEDOK,5 ROOM,04 TO 06,126.0,Improved,1993,72 years 04 months,610000.0,805 CHAI CHEE ROAD,"1.324478, 103.92146504951143",2.9460042
670,JLN DAMAI,2020-01,BEDOK,5 ROOM,07 TO 09,128.0,Improved,1996,75 years 09 months,610000.0,670 JALAN DAMAI,"1.3326737, 103.90821903998742",1.5931036
634,BEDOK RESERVOIR RD,2020-01,BEDOK,EXECUTIVE,07 TO 09,142.0,Apartment,1993,72 years 04 months,680000.0,634 BEDOK RESERVOIR ROAD,"1.3302334, 103.90509711629387",1.4108391
643,BEDOK RESERVOIR RD,2020-01,BEDOK,EXECUTIVE,13 TO 15,143.0,Apartment,1993,72 years 04 months,798888.0,643 BEDOK RESERVOIR ROAD,"1.3309521, 103.90583427823313",1.4452205
115,BEDOK RESERVOIR RD,2020-01,BEDOK,EXECUTIVE,07 TO 09,148.0,Maisonette,1985,64 years 09 months,580000.0,115 BEDOK RESERVOIR ROAD,"1.33068155, 103.90881655030253",1.6780536
