block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
152,BT BATOK ST 11,2020-01,BUKIT BATOK,3 ROOM,04 TO 06,67.0,New Generation,1998,77 years,240000.0,152 BUKIT BATOK STREET 11,"1.3483439000000002, 103.74426291587886",2.9334924
178,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,3 ROOM,04 TO 06,73.0,Model A,1984,64 years,250000.0,178 BUKIT BATOK WEST AVENUE 8,"1.34600415, 103.74273114983285",2.7586896
177,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,73.0,Model A,1985,64 years 01 month,242000.0,177 BUKIT BATOK WEST AVENUE 8,"1.3463664, 103.7415893",2.63283
161,BT BATOK ST 11,2020-01,BUKIT BATOK,4 ROOM,13 TO 15,104.0,Model A,1984,63 years 06 months,392000.0,161 BUKIT BATOK STREET 11,"1.34845485, 103.7420858139877",2.6927655
193,BT BATOK WEST AVE 6,2020-01,BUKIT BATOK,4 ROOM,04 TO 06,100.0,Model A,1997,76 years 05 months,410000.0,193 BUKIT BATOK WEST AVENUE 6,"1.34594955, 103.74448766097709",2.9534173
180,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,4 ROOM,07 TO 09,93.0,New Generation,1984,63 years 10 months,330000.0,180 BUKIT BATOK WEST AVENUE 8,"1.3456695, 103.74317765487326",2.8075862
179,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,4 ROOM,01 TO 03,96.0,New Generation,1985,64 years 01 month,310000.0,179 BUKIT BATOK WEST AVENUE 8,"1.3457329, 103.74224702100592",2.7044787
175,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,4 ROOM,04 TO 06,93.0,New Generation,1985,64 years,321000.0,175 BUKIT BATOK WEST AVENUE 8,"1.3456785, 103.74190213035324",2.666125
172,BT BATOK WEST AVE 8,2020-01,BUKIT BATOK,5 ROOM,25 TO 27,134.0,Model A,1985,64 years 04 months,540000.0,172 BUKIT BATOK WEST AVENUE 8,"1.34570115, 103.74073058681124",2.5362616
141,BT BATOK ST 11,2020-01,BUKIT BATOK,EXECUTIVE,07 TO 09,148.0,Maisonette,1984,64 years,570000.0,141 BUKIT BATOK STREET 11,"1.35037275, 103.74339059383058",2.8423805
141,BT BATOK ST 11,2020-01,BUKIT BATOK,EXECUTIVE,10 TO 12,155.0,Maisonette,1984,63 years 11 months,680000.0,141 BUKIT BATOK STREET 11,"1.35037275, 103.74339059383058",2.8423805
140,BT BATOK ST 11,2020-01,BUKIT BATOK,EXECUTIVE,10 TO 12,150.0,Maisonette,1984,63 years 10 months,708000.0,140 BUKIT BATOK STREET 11,"1.35081015, 103.74375565712667",2.884018
141,BT BATOK ST 11,2020-01,BUKIT BATOK,EXECUTIVE,04 TO 06,142.0,Apartment,1984,63 years 11 months,580000.0,141 BUKIT BATOK STREET 11,"1.35037275, 103.74339059383058",2.8423805
476A,CHOA CHU KANG AVE 5,2020-01,CHOA CHU KANG,3 ROOM,13 TO 15,67.0,Model A,2013,92 years 07 months,310000.0,476A CHOA CHU KANG AVENUE 5,"1.3766384500000002, 103.7380001212963",2.443875
294,CHOA CHU KANG AVE 2,2020-01,CHOA CHU KANG,4 ROOM,01 TO 03,104.0,Model A,1990,69 years 05 months,305000.0,294 CHOA CHU KANG AVENUE 2,"1.3786342, 103.74100626251632",2.771522
294,CHOA CHU KANG AVE 2,2020-01,CHOA CHU KANG,4 ROOM,13 TO 15,103.0,Model A,1990,69 years 05 months,352888.0,294 CHOA CHU KANG AVENUE 2,"1.3786342, 103.74100626251632",2.771522
294,CHOA CHU KANG AVE 2,2020-01,CHOA CHU KANG,4 ROOM,04 TO 06,103.0,Model A,1990,69 years 04 months,340000.0,294 CHOA CHU KANG AVENUE 2,"1.3786342, 103.74100626251632",2.771522
405,CHOA CHU KANG AVE 3,2020-01,CHOA CHU KANG,4 ROOM,10 TO 12,104.0,Model A,1993,72 years 06 months,345000.0,405 CHOA CHU KANG AVENUE 3,"1.38005115, 103.73964115431035",2.6472907
286,CHOA CHU KANG AVE 3,2020-01,CHOA CHU KANG,4 ROOM,10 TO 12,106.0,Model A,1993,72 years 05 months,365000.0,286 CHOA CHU KANG AVENUE 3,"1.379746, 103.74144891237457",2.8282511
423,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,01 TO 03,104.0,Model A,1992,71 years 07 months,310000.0,423 CHOA CHU KANG AVENUE 4,"1.3820039, 103.74034618023342",2.7400632
415,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,01 TO 03,108.0,Model A,1993,72 years 05 months,388000.0,415 CHOA CHU KANG AVENUE 4,"1.38274665, 103.74248645619367",2.9654102
440,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,04 TO 06,106.0,Model A,1993,72 years 05 months,355000.0,440 CHOA CHU KANG AVENUE 4,"1.38363125, 103.73922624522311",2.646687
456,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,07 TO 09,105.0,Premium Apartment,2000,79 years 03 months,325000.0,456 CHOA CHU KANG AVENUE 4,"1.3790442, 103.73521630829525",2.1960928
442,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,13 TO 15,91.0,Model A2,1997,76 years 02 months,323288.0,442 CHOA CHU KANG AVENUE 4,"1.3809278, 103.73779047188793",2.4720128
443,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,01 TO 03,90.0,Model A2,1997,76 years 03 months,311000.0,443 CHOA CHU KANG AVENUE 4,"1.3812934000000001, 103.73757290562173",2.4549232
455,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,4 ROOM,16 TO 18,103.0,Premium Apartment,2000,79 years 04 months,325000.0,455 CHOA CHU KANG AVENUE 4,"1.37943405, 103.73520864139343",2.2003987
