block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",2.8983834
587,ANG MO KIO AVE 3,2020-01,ANG MO KIO,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 05 months,265000.0,587 ANG MO KIO AVENUE 3,"1.3701783, 103.85246795073925",2.7842762
178,ANG MO KIO AVE 4,2020-01,ANG MO KIO,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 04 months,302500.0,178 ANG MO KIO AVENUE 4,"1.3763809, 103.83682141001981",1.3264282
155,ANG MO KIO AVE 4,2020-01,ANG MO KIO,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 04 months,362000.0,155 ANG MO KIO AVENUE 4,"1.37586315, 103.84009975237961",1.569186
154,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 01 month,278000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",1.6534793
601,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 06 months,280000.0,601 ANG MO KIO AVENUE 5,"1.3810333, 103.8351336785349",1.1224148
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,246100.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",2.7909753
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,318000.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",2.7909753
728,ANG MO KIO AVE 6,2020-01,ANG MO KIO,3 ROOM,01 TO 03,82.0,New Generation,1980,59 years 09 months,305000.0,728 ANG MO KIO AVENUE 6,"1.3726394499999999, 103.84568315",2.1018825
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,07 TO 09,93.0,New Generation,1980,59 years 02 months,383000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",2.8983834
700B,ANG MO KIO AVE 6,2020-01,ANG MO KIO,4 ROOM,04 TO 06,90.0,Model A,2003,82 years 08 months,590800.0,700B ANG MO KIO AVENUE 6,"1.3694566, 103.84627600671641",2.2045946
353,ANG MO KIO ST 32,2020-01,ANG MO KIO,4 ROOM,07 TO 09,90.0,Model A,2001,80 years 08 months,510000.0,353 ANG MO KIO STREET 32,"1.3640154500000001, 103.8516217737573",2.7814622
352,ANG MO KIO ST 32,2020-01,ANG MO KIO,4 ROOM,16 TO 18,95.0,Model A,2001,80 years 09 months,582000.0,352 ANG MO KIO STREET 32,"1.3643903000000002, 103.85089539566314",2.7072477
588B,ANG MO KIO ST 52,2020-01,ANG MO KIO,4 ROOM,13 TO 15,90.0,DBSS,2011,90 years 07 months,639000.0,588B ANG MO KIO STREET 52,"1.3719907, 103.85303949516165",2.819864
