block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
191,BOON LAY DR,2020-10,JURONG WEST,2 ROOM,07 TO 09,44.0,Model A,1978,56 years 09 months,205000.0,191 BOON LAY DRIVE,"1.34437465, 103.71267559043542",0.04853233,1
197B,BOON LAY DR,2020-01,JURONG WEST,3 ROOM,16 TO 18,68.0,Model A,2015,94 years 03 months,352000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-02,JURONG WEST,4 ROOM,01 TO 03,93.0,Model A,2015,94 years 02 months,430000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-03,JURONG WEST,3 ROOM,13 TO 15,68.0,Model A,2015,94 years 01 month,350000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-08,JURONG WEST,4 ROOM,13 TO 15,93.0,Model A,2015,93 years 08 months,508000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-09,JURONG WEST,3 ROOM,10 TO 12,68.0,Model A,2015,93 years 08 months,350000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-09,JURONG WEST,3 ROOM,13 TO 15,68.0,Model A,2015,93 years 08 months,350000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-10,JURONG WEST,3 ROOM,04 TO 06,68.0,Model A,2015,93 years 07 months,338000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-10,JURONG WEST,3 ROOM,10 TO 12,68.0,Model A,2015,93 years 07 months,360000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2020-12,JURONG WEST,4 ROOM,16 TO 18,93.0,Model A,2015,93 years 05 months,516000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197B,BOON LAY DR,2021-01,JURONG WEST,3 ROOM,13 TO 15,68.0,Model A,2015,93 years 04 months,375000.0,197B BOON LAY DRIVE,"1.34391305, 103.71343915818494",0.0624156,1
197C,BOON LAY DR,2020-06,JURONG WEST,5 ROOM,13 TO 15,113.0,Improved,2015,93 years 11 months,610000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
197C,BOON LAY DR,2020-08,JURONG WEST,5 ROOM,07 TO 09,113.0,Improved,2015,93 years 09 months,585000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
197C,BOON LAY DR,2020-09,JURONG WEST,5 ROOM,04 TO 06,113.0,Improved,2015,93 years 07 months,530000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
197C,BOON LAY DR,2020-12,JURONG WEST,5 ROOM,13 TO 15,113.0,Improved,2015,93 years 04 months,610000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
197C,BOON LAY DR,2021-01,JURONG WEST,4 ROOM,16 TO 18,93.0,Model A,2015,93 years 03 months,528000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
197C,BOON LAY DR,2021-01,JURONG WEST,5 ROOM,10 TO 12,113.0,Improved,2015,93 years 04 months,592000.0,197C BOON LAY DRIVE,"1.34346565, 103.71368294681321",0.08475245,1
196A,BOON LAY DR,2020-02,JURONG WEST,5 ROOM,13 TO 15,113.0,Improved,2015,94 years 03 months,578000.0,196A BOON LAY DRIVE,"1.3429782000000001, 103.71383507335466",0.10031807,1
196A,BOON LAY DR,2020-08,JURONG WEST,5 ROOM,07 TO 09,113.0,Improved,2015,93 years 09 months,568000.0,196A BOON LAY DRIVE,"1.3429782000000001, 103.71383507335466",0.10031807,1
196A,BOON LAY DR,2020-08,JURONG WEST,5 ROOM,10 TO 12,113.0,Improved,2015,93 years 08 months,598000.0,196A BOON LAY DRIVE,"1.3429782000000001, 103.71383507335466",0.10031807,1
196A,BOON LAY DR,2020-10,JURONG WEST,5 ROOM,16 TO 18,113.0,Improved,2015,93 years 06 months,610000.0,196A BOON LAY DRIVE,"1.3429782000000001, 103.71383507335466",0.10031807,1
197A,BOON LAY DR,2020-01,JURONG WEST,3 ROOM,16 TO 18,68.0,Model A,2015,94 years 03 months,345000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-02,JURONG WEST,3 ROOM,07 TO 09,68.0,Model A,2015,94 years 02 months,325000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-03,JURONG WEST,3 ROOM,04 TO 06,68.0,Model A,2015,94 years 01 month,318000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-03,JURONG WEST,4 ROOM,01 TO 03,93.0,Model A,2015,94 years 01 month,420000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-06,JURONG WEST,4 ROOM,04 TO 06,93.0,Model A,2015,94 years,440000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-07,JURONG WEST,3 ROOM,01 TO 03,68.0,Model A,2015,93 years 10 months,332000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-08,JURONG WEST,3 ROOM,10 TO 12,68.0,Model A,2015,93 years 08 months,355000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2020-09,JURONG WEST,4 ROOM,10 TO 12,93.0,Model A,2015,93 years 07 months,465000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
197A,BOON LAY DR,2021-01,JURONG WEST,4 ROOM,07 TO 09,93.0,Model A,2015,93 years 04 months,505000.0,197A BOON LAY DRIVE,"1.34423255, 103.71379558271354",0.102237046,1
