block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
449,CHOA CHU KANG AVE 4,2020-10,CHOA CHU KANG,5 ROOM,13 TO 15,123.0,Premium Apartment,2000,78 years 05 months,425000.0,449 CHOA CHU KANG AVENUE 4,"1.3791581, 103.7363220101308",0.028009113,1
457,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,EXECUTIVE,13 TO 15,142.0,Premium Apartment,2000,79 years,515000.0,457 CHOA CHU KANG AVENUE 4,"1.3787542, 103.73621461206771",0.040817406,1
457,CHOA CHU KANG AVE 4,2020-11,CHOA CHU KANG,5 ROOM,01 TO 03,123.0,Premium Apartment,2000,78 years 04 months,446888.0,457 CHOA CHU KANG AVENUE 4,"1.3787542, 103.73621461206771",0.040817406,1
457,CHOA CHU KANG AVE 4,2020-12,CHOA CHU KANG,5 ROOM,16 TO 18,123.0,Premium Apartment,2000,78 years 04 months,460000.0,457 CHOA CHU KANG AVENUE 4,"1.3787542, 103.73621461206771",0.040817406,1
457,CHOA CHU KANG AVE 4,2021-01,CHOA CHU KANG,5 ROOM,04 TO 06,123.0,Premium Apartment,2000,78 years 02 months,428000.0,457 CHOA CHU KANG AVENUE 4,"1.3787542, 103.73621461206771",0.040817406,1
458,CHOA CHU KANG AVE 4,2020-01,CHOA CHU KANG,EXECUTIVE,07 TO 09,142.0,Premium Apartment,2000,79 years 02 months,515000.0,458 CHOA CHU KANG AVENUE 4,"1.3781267, 103.73614268085497",0.059120364,1
458,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,5 ROOM,04 TO 06,123.0,Premium Apartment,2000,79 years 01 month,390000.0,458 CHOA CHU KANG AVENUE 4,"1.3781267, 103.73614268085497",0.059120364,1
446,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,4 ROOM,10 TO 12,100.0,Model A,1997,76 years 03 months,325000.0,446 CHOA CHU KANG AVENUE 4,"1.3806922, 103.73691555008534",0.066010274,1
446,CHOA CHU KANG AVE 4,2020-09,CHOA CHU KANG,5 ROOM,01 TO 03,119.0,Improved,1997,75 years 07 months,412000.0,446 CHOA CHU KANG AVENUE 4,"1.3806922, 103.73691555008534",0.066010274,1
445,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,5 ROOM,04 TO 06,122.0,Improved,1997,76 years,420000.0,445 CHOA CHU KANG AVENUE 4,"1.3817913000000002, 103.73679658681348",0.066232,1
445,CHOA CHU KANG AVE 4,2020-12,CHOA CHU KANG,4 ROOM,04 TO 06,100.0,Model A,1997,75 years 03 months,350000.0,445 CHOA CHU KANG AVENUE 4,"1.3817913000000002, 103.73679658681348",0.066232,1
465,CHOA CHU KANG AVE 4,2020-03,CHOA CHU KANG,4 ROOM,13 TO 15,102.0,Premium Apartment,2000,79 years 01 month,365000.0,465 CHOA CHU KANG AVENUE 4,"1.37754895, 103.73648842046056",0.072568335,1
465,CHOA CHU KANG AVE 4,2020-12,CHOA CHU KANG,4 ROOM,07 TO 09,104.0,Premium Apartment,2000,78 years 04 months,362000.0,465 CHOA CHU KANG AVENUE 4,"1.37754895, 103.73648842046056",0.072568335,1
451,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,4 ROOM,13 TO 15,103.0,Premium Apartment,2000,79 years 01 month,350000.0,451 CHOA CHU KANG AVENUE 4,"1.38006135, 103.73565884048257",0.07504208,1
451,CHOA CHU KANG AVE 4,2020-06,CHOA CHU KANG,4 ROOM,01 TO 03,104.0,Premium Apartment,2000,78 years 11 months,308000.0,451 CHOA CHU KANG AVENUE 4,"1.38006135, 103.73565884048257",0.07504208,1
484A,CHOA CHU KANG AVE 5,2020-02,CHOA CHU KANG,4 ROOM,04 TO 06,92.0,Model A2,1999,78 years 02 months,315000.0,484A CHOA CHU KANG AVENUE 5,"1.3765842, 103.73671839031337",0.10509525,1
484A,CHOA CHU KANG AVE 5,2020-07,CHOA CHU KANG,4 ROOM,01 TO 03,92.0,Model A2,1999,77 years 09 months,320000.0,484A CHOA CHU KANG AVENUE 5,"1.3765842, 103.73671839031337",0.10509525,1
484A,CHOA CHU KANG AVE 5,2020-12,CHOA CHU KANG,4 ROOM,13 TO 15,91.0,Model A2,1999,77 years 05 months,355000.0,484A CHOA CHU KANG AVENUE 5,"1.3765842, 103.73671839031337",0.10509525,1
484B,CHOA CHU KANG AVE 5,2020-07,CHOA CHU KANG,4 ROOM,04 TO 06,101.0,Model A,1999,77 years 09 months,335000.0,484B CHOA CHU KANG AVENUE 5,"1.3760924, 103.73648010973304",0.11015693,1
484B,CHOA CHU KANG AVE 5,2020-08,CHOA CHU KANG,4 ROOM,01 TO 03,100.0,Model A,1999,77 years 09 months,325000.0,484B CHOA CHU KANG AVENUE 5,"1.3760924, 103.73648010973304",0.11015693,1
484B,CHOA CHU KANG AVE 5,2020-11,CHOA CHU KANG,4 ROOM,04 TO 06,101.0,Model A,1999,77 years 06 months,355000.0,484B CHOA CHU KANG AVENUE 5,"1.3760924, 103.73648010973304",0.11015693,1
484B,CHOA CHU KANG AVE 5,2020-12,CHOA CHU KANG,4 ROOM,16 TO 18,102.0,Model A,1999,77 years 04 months,370000.0,484B CHOA CHU KANG AVENUE 5,"1.3760924, 103.73648010973304",0.11015693,1
484B,CHOA CHU KANG AVE 5,2021-01,CHOA CHU KANG,5 ROOM,04 TO 06,116.0,Improved,1999,77 years 04 months,420000.0,484B CHOA CHU KANG AVENUE 5,"1.3760924, 103.73648010973304",0.11015693,1
444,CHOA CHU KANG AVE 4,2020-03,CHOA CHU KANG,5 ROOM,10 TO 12,118.0,Improved,1997,76 years 01 month,420000.0,444 CHOA CHU KANG AVENUE 4,"1.38163045, 103.73731984873623",0.11593085,1
444,CHOA CHU KANG AVE 4,2021-01,CHOA CHU KANG,5 ROOM,01 TO 03,120.0,Improved,1997,75 years 04 months,422000.0,444 CHOA CHU KANG AVENUE 4,"1.38163045, 103.73731984873623",0.11593085,1
448,CHOA CHU KANG AVE 4,2020-02,CHOA CHU KANG,EXECUTIVE,01 TO 03,143.0,Maisonette,1997,76 years 02 months,520000.0,448 CHOA CHU KANG AVENUE 4,"1.38021145, 103.7373900388055",0.117572516,1
448,CHOA CHU KANG AVE 4,2020-06,CHOA CHU KANG,EXECUTIVE,07 TO 09,143.0,Maisonette,1997,76 years,515000.0,448 CHOA CHU KANG AVENUE 4,"1.38021145, 103.7373900388055",0.117572516,1
448,CHOA CHU KANG AVE 4,2020-06,CHOA CHU KANG,EXECUTIVE,04 TO 06,139.0,Maisonette,1997,75 years 10 months,510000.0,448 CHOA CHU KANG AVENUE 4,"1.38021145, 103.7373900388055",0.117572516,1
448,CHOA CHU KANG AVE 4,2020-07,CHOA CHU KANG,EXECUTIVE,04 TO 06,139.0,Apartment,1997,75 years 09 months,536000.0,448 CHOA CHU KANG AVENUE 4,"1.38021145, 103.7373900388055",0.117572516,1
448,CHOA CHU KANG AVE 4,2020-10,CHOA CHU KANG,EXECUTIVE,07 TO 09,143.0,Maisonette,1997,75 years 06 months,555000.0,448 CHOA CHU KANG AVENUE 4,"1.38021145, 103.7373900388055",0.117572516,1
471,CHOA CHU KANG AVE 3,2020-03,CHOA CHU KANG,5 ROOM,01 TO 03,120.0,Improved,1999,78 years,370000.0,471 CHOA CHU KANG AVENUE 3,"1.3786656000000002, 103.73739053135303",0.124564335,1
471,CHOA CHU KANG AVE 3,2020-03,CHOA CHU KANG,5 ROOM,10 TO 12,121.0,Improved,1999,77 years 11 months,426888.0,471 CHOA CHU KANG AVENUE 3,"1.3786656000000002, 103.73739053135303",0.124564335,1
471,CHOA CHU KANG AVE 3,2021-01,CHOA CHU KANG,5 ROOM,10 TO 12,121.0,Improved,1999,77 years 02 months,475000.0,471 CHOA CHU KANG AVENUE 3,"1.3786656000000002, 103.73739053135303",0.124564335,1
471,CHOA CHU KANG AVE 3,2021-02,CHOA CHU KANG,5 ROOM,07 TO 09,121.0,Improved,1999,77 years 01 month,498000.0,471 CHOA CHU KANG AVENUE 3,"1.3786656000000002, 103.73739053135303",0.124564335,1
470,CHOA CHU KANG AVE 3,2020-08,CHOA CHU KANG,4 ROOM,13 TO 15,100.0,Model A,1999,77 years 06 months,335000.0,470 CHOA CHU KANG AVENUE 3,"1.37824535, 103.73735207309201",0.12474509,1
