block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
411,BEDOK NTH AVE 2,2020-08,BEDOK,4 ROOM,07 TO 09,92.0,New Generation,1980,58 years 08 months,433800.0,411 BEDOK NORTH AVENUE 2,"1.32828785, 103.93180904359372",0.049162652,1
411,BEDOK NTH AVE 2,2021-02,BEDOK,4 ROOM,04 TO 06,92.0,New Generation,1980,58 years 03 months,405000.0,411 BEDOK NORTH AVENUE 2,"1.32828785, 103.93180904359372",0.049162652,1
410,BEDOK NTH AVE 2,2021-01,BEDOK,3 ROOM,10 TO 12,68.0,New Generation,1980,58 years 04 months,325000.0,410 BEDOK NORTH AVENUE 2,"1.32786405, 103.93185179261482",0.059923474,1
503,BEDOK NTH ST 3,2020-07,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 09 months,242000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
503,BEDOK NTH ST 3,2020-08,BEDOK,3 ROOM,10 TO 12,70.0,Improved,1978,56 years 08 months,265000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
503,BEDOK NTH ST 3,2020-09,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 07 months,255000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
503,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 05 months,260000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
503,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,01 TO 03,59.0,Improved,1978,56 years 04 months,248000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
503,BEDOK NTH ST 3,2021-02,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 02 months,265000.0,503 BEDOK NORTH STREET 3,"1.33144265, 103.93242485038215",0.0702296,1
504,BEDOK NTH ST 3,2020-02,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,57 years 03 months,223000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-07,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 10 months,233000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-08,BEDOK,3 ROOM,13 TO 15,59.0,Improved,1978,56 years 09 months,232000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-10,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,56 years 07 months,260000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-10,BEDOK,3 ROOM,10 TO 12,70.0,Improved,1978,56 years 07 months,286000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 06 months,235000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 05 months,235000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-11,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,56 years 05 months,252500.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2020-12,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 05 months,250000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
504,BEDOK NTH ST 3,2021-02,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,56 years 03 months,260000.0,504 BEDOK NORTH STREET 3,"1.3318580500000001, 103.93246045032313",0.07968295,1
502,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,01 TO 03,59.0,Improved,1978,57 years 04 months,226000.0,502 BEDOK NORTH STREET 3,"1.33119695, 103.93120255038214",0.081117496,1
502,BEDOK NTH ST 3,2020-02,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,57 years 02 months,225000.0,502 BEDOK NORTH STREET 3,"1.33119695, 103.93120255038214",0.081117496,1
502,BEDOK NTH ST 3,2020-06,BEDOK,3 ROOM,04 TO 06,59.0,Improved,1978,57 years,230000.0,502 BEDOK NORTH STREET 3,"1.33119695, 103.93120255038214",0.081117496,1
