block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
443B,FERNVALE RD,2020-01,SENGKANG,4 ROOM,19 TO 21,94.0,Model A,2012,91 years 11 months,415000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
443B,FERNVALE RD,2020-07,SENGKANG,4 ROOM,01 TO 03,94.0,Model A,2012,91 years 04 months,360000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
443B,FERNVALE RD,2020-08,SENGKANG,4 ROOM,10 TO 12,94.0,Model A,2012,91 years 03 months,420000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
443B,FERNVALE RD,2020-09,SENGKANG,2 ROOM,19 TO 21,47.0,Model A,2012,91 years 02 months,265000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
443B,FERNVALE RD,2020-10,SENGKANG,4 ROOM,13 TO 15,94.0,Model A,2012,91 years 02 months,440000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
443B,FERNVALE RD,2020-10,SENGKANG,4 ROOM,25 TO 27,95.0,Model A,2012,91 years 01 month,475000.0,443B FERNVALE ROAD,"1.3912724, 103.87406772441861",0.03448397,1
405A,FERNVALE LANE,2020-06,SENGKANG,5 ROOM,16 TO 18,112.0,Premium Apartment,2004,82 years 10 months,475000.0,405A FERNVALE LANE,"1.3888532, 103.87384175133303",0.039878417,1
405A,FERNVALE LANE,2020-07,SENGKANG,5 ROOM,10 TO 12,112.0,Premium Apartment,2004,82 years 07 months,410000.0,405A FERNVALE LANE,"1.3888532, 103.87384175133303",0.039878417,1
405A,FERNVALE LANE,2020-08,SENGKANG,4 ROOM,16 TO 18,93.0,Premium Apartment,2004,82 years 06 months,386800.0,405A FERNVALE LANE,"1.3888532, 103.87384175133303",0.039878417,1
405A,FERNVALE LANE,2020-08,SENGKANG,5 ROOM,10 TO 12,112.0,Premium Apartment,2004,82 years 07 months,435000.0,405A FERNVALE LANE,"1.3888532, 103.87384175133303",0.039878417,1
405A,FERNVALE LANE,2021-02,SENGKANG,5 ROOM,16 TO 18,112.0,Premium Apartment,2004,82 years 01 month,448000.0,405A FERNVALE LANE,"1.3888532, 103.87384175133303",0.039878417,1
443A,FERNVALE RD,2020-09,SENGKANG,4 ROOM,19 TO 21,95.0,Model A,2012,91 years 03 months,445000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
443A,FERNVALE RD,2020-11,SENGKANG,4 ROOM,07 TO 09,94.0,Model A,2012,91 years 02 months,413000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
443A,FERNVALE RD,2020-12,SENGKANG,4 ROOM,19 TO 21,95.0,Model A,2012,91 years,460000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
443A,FERNVALE RD,2020-12,SENGKANG,4 ROOM,04 TO 06,94.0,Model A,2012,91 years,440000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
443A,FERNVALE RD,2020-12,SENGKANG,4 ROOM,13 TO 15,94.0,Model A,2012,91 years,445000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
443A,FERNVALE RD,2021-01,SENGKANG,4 ROOM,22 TO 24,95.0,Model A,2012,90 years 10 months,475000.0,443A FERNVALE ROAD,"1.3912227000000001, 103.87432667056285",0.043186616,1
406B,FERNVALE RD,2020-06,SENGKANG,4 ROOM,10 TO 12,90.0,Premium Apartment,2004,83 years 08 months,371000.0,406B FERNVALE ROAD,"1.38848945, 103.87431805916295",0.047891743,1
406B,FERNVALE RD,2020-08,SENGKANG,5 ROOM,07 TO 09,110.0,Premium Apartment,2004,83 years 04 months,410000.0,406B FERNVALE ROAD,"1.38848945, 103.87431805916295",0.047891743,1
406B,FERNVALE RD,2020-09,SENGKANG,5 ROOM,07 TO 09,110.0,Premium Apartment,2004,83 years 03 months,436000.0,406B FERNVALE ROAD,"1.38848945, 103.87431805916295",0.047891743,1
