block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
632B,PUNGGOL DR,2020-02,PUNGGOL,4 ROOM,13 TO 15,91.0,Premium Apartment,2007,86 years 10 months,400000.0,632B PUNGGOL DRIVE,"1.40083605, 103.91318080738117",0.023860369,1
632B,PUNGGOL DR,2020-08,PUNGGOL,4 ROOM,01 TO 03,91.0,Premium Apartment,2007,86 years 05 months,410000.0,632B PUNGGOL DRIVE,"1.40083605, 103.91318080738117",0.023860369,1
632B,PUNGGOL DR,2021-01,PUNGGOL,4 ROOM,16 TO 18,91.0,Premium Apartment,2007,85 years 11 months,435000.0,632B PUNGGOL DRIVE,"1.40083605, 103.91318080738117",0.023860369,1
632C,PUNGGOL DR,2020-03,PUNGGOL,4 ROOM,04 TO 06,92.0,Premium Apartment,2007,86 years 09 months,388000.0,632C PUNGGOL DRIVE,"1.40096145, 103.91299546328648",0.02935546,1
632C,PUNGGOL DR,2020-08,PUNGGOL,4 ROOM,10 TO 12,92.0,Premium Apartment,2007,86 years 04 months,418000.0,632C PUNGGOL DRIVE,"1.40096145, 103.91299546328648",0.02935546,1
632C,PUNGGOL DR,2020-08,PUNGGOL,4 ROOM,13 TO 15,90.0,Premium Apartment,2007,86 years 04 months,420000.0,632C PUNGGOL DRIVE,"1.40096145, 103.91299546328648",0.02935546,1
632A,PUNGGOL DR,2020-10,PUNGGOL,4 ROOM,07 TO 09,92.0,Premium Apartment,2007,86 years 03 months,435000.0,632A PUNGGOL DRIVE,"1.4006953000000002, 103.9133893824202",0.035824105,1
633A,PUNGGOL DR,2020-09,PUNGGOL,4 ROOM,01 TO 03,91.0,Premium Apartment,2007,86 years 03 months,380000.0,633A PUNGGOL DRIVE,"1.4013273000000002, 103.9131541374675",0.03613469,1
633A,PUNGGOL DR,2020-12,PUNGGOL,4 ROOM,10 TO 12,92.0,Premium Apartment,2007,86 years 01 month,410000.0,633A PUNGGOL DRIVE,"1.4013273000000002, 103.9131541374675",0.03613469,1
633A,PUNGGOL DR,2021-01,PUNGGOL,4 ROOM,13 TO 15,91.0,Premium Apartment,2007,86 years,450000.0,633A PUNGGOL DRIVE,"1.4013273000000002, 103.9131541374675",0.03613469,1
633A,PUNGGOL DR,2021-01,PUNGGOL,4 ROOM,04 TO 06,91.0,Premium Apartment,2007,86 years,402888.0,633A PUNGGOL DRIVE,"1.4013273000000002, 103.9131541374675",0.03613469,1
633B,PUNGGOL DR,2020-03,PUNGGOL,4 ROOM,07 TO 09,92.0,Premium Apartment,2007,86 years 09 months,410000.0,633B PUNGGOL DRIVE,"1.40121115, 103.91339759754804",0.04531844,1
633B,PUNGGOL DR,2020-07,PUNGGOL,4 ROOM,04 TO 06,90.0,Premium Apartment,2007,86 years 05 months,400000.0,633B PUNGGOL DRIVE,"1.40121115, 103.91339759754804",0.04531844,1
633B,PUNGGOL DR,2020-11,PUNGGOL,4 ROOM,07 TO 09,92.0,Premium Apartment,2007,86 years 01 month,420000.0,633B PUNGGOL DRIVE,"1.40121115, 103.91339759754804",0.04531844,1
617D,PUNGGOL DR,2020-03,PUNGGOL,4 ROOM,07 TO 09,95.0,Premium Apartment,2013,92 years 07 months,456000.0,617D PUNGGOL DRIVE,"1.40169935, 103.91283341535987",0.055583525,1
617D,PUNGGOL DR,2020-06,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2013,92 years 05 months,480000.0,617D PUNGGOL DRIVE,"1.40169935, 103.91283341535987",0.055583525,1
617D,PUNGGOL DR,2021-02,PUNGGOL,4 ROOM,10 TO 12,93.0,Premium Apartment,2013,91 years 07 months,470000.0,617D PUNGGOL DRIVE,"1.40169935, 103.91283341535987",0.055583525,1
635A,PUNGGOL DR,2021-02,PUNGGOL,4 ROOM,04 TO 06,92.0,Premium Apartment,2007,85 years 10 months,440000.0,635A PUNGGOL DRIVE,"1.4009318, 103.91370832098244",0.07053954,1
636B,PUNGGOL DR,2021-02,PUNGGOL,4 ROOM,01 TO 03,91.0,Premium Apartment,2007,85 years 11 months,420000.0,636B PUNGGOL DRIVE,"1.40041335, 103.91377220044603",0.073837586,1
618A,PUNGGOL DR,2020-08,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2013,92 years 01 month,462888.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
618A,PUNGGOL DR,2020-11,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2013,91 years 10 months,435000.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
618A,PUNGGOL DR,2020-12,PUNGGOL,4 ROOM,07 TO 09,93.0,Premium Apartment,2013,91 years 10 months,465000.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
618A,PUNGGOL DR,2020-12,PUNGGOL,4 ROOM,07 TO 09,93.0,Premium Apartment,2013,91 years 10 months,455000.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
618A,PUNGGOL DR,2021-01,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2013,91 years 08 months,465000.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
618A,PUNGGOL DR,2021-02,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2013,91 years 07 months,468000.0,618A PUNGGOL DRIVE,"1.4012003499999999, 103.91249924886961",0.075907506,1
617C,PUNGGOL DR,2020-02,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2013,92 years 07 months,475000.0,617C PUNGGOL DRIVE,"1.4019221499999999, 103.9125164732976",0.084435545,1
617C,PUNGGOL DR,2020-08,PUNGGOL,5 ROOM,13 TO 15,120.0,Premium Apartment,2013,92 years 01 month,675000.0,617C PUNGGOL DRIVE,"1.4019221499999999, 103.9125164732976",0.084435545,1
617C,PUNGGOL DR,2020-11,PUNGGOL,5 ROOM,01 TO 03,118.0,Premium Apartment,2013,91 years 11 months,578000.0,617C PUNGGOL DRIVE,"1.4019221499999999, 103.9125164732976",0.084435545,1
635B,PUNGGOL DR,2020-01,PUNGGOL,4 ROOM,13 TO 15,90.0,Premium Apartment,2007,86 years 11 months,393000.0,635B PUNGGOL DRIVE,"1.40078485, 103.91391754848027",0.09163626,1
635B,PUNGGOL DR,2020-07,PUNGGOL,4 ROOM,04 TO 06,90.0,Premium Apartment,2007,86 years 05 months,426000.0,635B PUNGGOL DRIVE,"1.40078485, 103.91391754848027",0.09163626,1
635B,PUNGGOL DR,2020-12,PUNGGOL,4 ROOM,10 TO 12,90.0,Premium Apartment,2007,86 years,442000.0,635B PUNGGOL DRIVE,"1.40078485, 103.91391754848027",0.09163626,1
635B,PUNGGOL DR,2021-02,PUNGGOL,4 ROOM,07 TO 09,91.0,Premium Apartment,2007,85 years 11 months,420000.0,635B PUNGGOL DRIVE,"1.40078485, 103.91391754848027",0.09163626,1
636A,PUNGGOL DR,2020-09,PUNGGOL,4 ROOM,04 TO 06,92.0,Premium Apartment,2007,86 years 03 months,405000.0,636A PUNGGOL DRIVE,"1.4003006999999998, 103.91396372312114",0.09461765,1
636A,PUNGGOL DR,2020-10,PUNGGOL,4 ROOM,13 TO 15,92.0,Premium Apartment,2007,86 years 02 months,437000.0,636A PUNGGOL DRIVE,"1.4003006999999998, 103.91396372312114",0.09461765,1
636A,PUNGGOL DR,2020-12,PUNGGOL,4 ROOM,13 TO 15,92.0,Premium Apartment,2007,86 years,435000.0,636A PUNGGOL DRIVE,"1.4003006999999998, 103.91396372312114",0.09461765,1
665A,PUNGGOL DR,2020-02,PUNGGOL,4 ROOM,07 TO 09,93.0,Premium Apartment,2016,95 years,488000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-04,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2016,94 years 10 months,498000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-06,PUNGGOL,4 ROOM,16 TO 18,93.0,Premium Apartment,2016,94 years 09 months,527488.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-07,PUNGGOL,4 ROOM,07 TO 09,93.0,Premium Apartment,2016,94 years 07 months,490000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-07,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2016,94 years 07 months,488000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-07,PUNGGOL,5 ROOM,13 TO 15,113.0,Premium Apartment,2016,94 years 07 months,660000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-07,PUNGGOL,5 ROOM,10 TO 12,113.0,Premium Apartment,2016,94 years 08 months,650000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-08,PUNGGOL,5 ROOM,13 TO 15,113.0,Premium Apartment,2016,94 years 06 months,652000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-09,PUNGGOL,4 ROOM,16 TO 18,93.0,Premium Apartment,2016,94 years 06 months,510800.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-09,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2016,94 years 05 months,488000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-09,PUNGGOL,5 ROOM,10 TO 12,113.0,Premium Apartment,2016,94 years 06 months,655000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-10,PUNGGOL,5 ROOM,13 TO 15,113.0,Premium Apartment,2016,94 years 05 months,660000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-11,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2016,94 years 04 months,480000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-11,PUNGGOL,4 ROOM,13 TO 15,93.0,Premium Apartment,2016,94 years 04 months,530000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
665A,PUNGGOL DR,2020-11,PUNGGOL,4 ROOM,04 TO 06,93.0,Premium Apartment,2016,94 years 03 months,465000.0,665A PUNGGOL DRIVE,"1.40212915, 103.9138642149625",0.10101829,1
