block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
732,YISHUN AVE 5,2020-06,YISHUN,3 ROOM,01 TO 03,82.0,New Generation,1984,63 years 02 months,263888.0,732 YISHUN AVENUE 5,"1.42905425, 103.830318",0.030009432,1
733,YISHUN AVE 5,2020-07,YISHUN,4 ROOM,10 TO 12,100.0,New Generation,1984,63 years 02 months,368000.0,733 YISHUN AVENUE 5,"1.4295095999999998, 103.83044959005892",0.048465066,1
733,YISHUN AVE 5,2020-08,YISHUN,5 ROOM,04 TO 06,123.0,Improved,1984,63 years 02 months,405000.0,733 YISHUN AVENUE 5,"1.4295095999999998, 103.83044959005892",0.048465066,1
733,YISHUN AVE 5,2021-02,YISHUN,5 ROOM,04 TO 06,121.0,Improved,1984,62 years 07 months,495000.0,733 YISHUN AVENUE 5,"1.4295095999999998, 103.83044959005892",0.048465066,1
724,YISHUN ST 71,2020-07,YISHUN,EXECUTIVE,04 TO 06,145.0,Apartment,1986,65 years,535000.0,724 YISHUN STREET 71,"1.4264651000000002, 103.82986443669347",0.05538541,1
724,YISHUN ST 71,2020-08,YISHUN,EXECUTIVE,07 TO 09,142.0,Apartment,1986,64 years 11 months,555000.0,724 YISHUN STREET 71,"1.4264651000000002, 103.82986443669347",0.05538541,1
724,YISHUN ST 71,2020-10,YISHUN,EXECUTIVE,01 TO 03,142.0,Apartment,1986,64 years 10 months,570000.0,724 YISHUN STREET 71,"1.4264651000000002, 103.82986443669347",0.05538541,1
724,YISHUN ST 71,2021-01,YISHUN,EXECUTIVE,10 TO 12,146.0,Maisonette,1986,64 years 07 months,588000.0,724 YISHUN STREET 71,"1.4264651000000002, 103.82986443669347",0.05538541,1
723,YISHUN ST 71,2020-04,YISHUN,EXECUTIVE,07 TO 09,146.0,Maisonette,1986,65 years 02 months,570000.0,723 YISHUN STREET 71,"1.42607355, 103.8299186918859",0.0609085,1
725,YISHUN ST 71,2020-01,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1987,66 years 09 months,365500.0,725 YISHUN STREET 71,"1.4269295, 103.83068857887051",0.06552868,1
725,YISHUN ST 71,2020-08,YISHUN,3 ROOM,07 TO 09,64.0,Simplified,1987,66 years 02 months,268000.0,725 YISHUN STREET 71,"1.4269295, 103.83068857887051",0.06552868,1
725,YISHUN ST 71,2020-08,YISHUN,4 ROOM,01 TO 03,84.0,Simplified,1987,66 years 02 months,270000.0,725 YISHUN STREET 71,"1.4269295, 103.83068857887051",0.06552868,1
725,YISHUN ST 71,2020-08,YISHUN,4 ROOM,04 TO 06,89.0,Simplified,1987,66 years 02 months,355000.0,725 YISHUN STREET 71,"1.4269295, 103.83068857887051",0.06552868,1
734,YISHUN AVE 5,2020-01,YISHUN,3 ROOM,01 TO 03,67.0,New Generation,1985,64 years 01 month,268000.0,734 YISHUN AVENUE 5,"1.42916795, 103.83080018122214",0.07543372,1
734,YISHUN AVE 5,2020-06,YISHUN,3 ROOM,07 TO 09,82.0,New Generation,1985,63 years 10 months,331300.0,734 YISHUN AVENUE 5,"1.42916795, 103.83080018122214",0.07543372,1
734,YISHUN AVE 5,2020-07,YISHUN,3 ROOM,10 TO 12,67.0,New Generation,1985,63 years 07 months,285000.0,734 YISHUN AVENUE 5,"1.42916795, 103.83080018122214",0.07543372,1
734,YISHUN AVE 5,2020-09,YISHUN,3 ROOM,01 TO 03,67.0,New Generation,1985,63 years 06 months,285000.0,734 YISHUN AVENUE 5,"1.42916795, 103.83080018122214",0.07543372,1
141,YISHUN RING RD,2020-03,YISHUN,4 ROOM,01 TO 03,93.0,New Generation,1984,63 years 09 months,315000.0,141 YISHUN RING ROAD,"1.4310125, 103.82993753443186",0.0814564,1
141,YISHUN RING RD,2020-07,YISHUN,4 ROOM,10 TO 12,99.0,New Generation,1984,63 years 06 months,340000.0,141 YISHUN RING ROAD,"1.4310125, 103.82993753443186",0.0814564,1
141,YISHUN RING RD,2020-09,YISHUN,4 ROOM,07 TO 09,96.0,New Generation,1984,63 years 04 months,349000.0,141 YISHUN RING ROAD,"1.4310125, 103.82993753443186",0.0814564,1
702,YISHUN AVE 5,2020-10,YISHUN,3 ROOM,01 TO 03,72.0,New Generation,1984,62 years 08 months,290000.0,702 YISHUN AVENUE 5,"1.4298243, 103.82949992546128",0.08745723,1
728,YISHUN ST 71,2020-08,YISHUN,4 ROOM,01 TO 03,84.0,Simplified,1987,65 years 05 months,318000.0,728 YISHUN STREET 71,"1.42577215, 103.83077969011683",0.09184879,1
728,YISHUN ST 71,2020-10,YISHUN,3 ROOM,04 TO 06,64.0,Simplified,1987,65 years 03 months,265000.0,728 YISHUN STREET 71,"1.42577215, 103.83077969011683",0.09184879,1
728,YISHUN ST 71,2020-12,YISHUN,3 ROOM,07 TO 09,64.0,Simplified,1987,65 years 02 months,280000.0,728 YISHUN STREET 71,"1.42577215, 103.83077969011683",0.09184879,1
140,YISHUN RING RD,2020-07,YISHUN,3 ROOM,07 TO 09,68.0,New Generation,1985,63 years 10 months,275000.0,140 YISHUN RING ROAD,"1.4311779, 103.83056875",0.092828386,1
140,YISHUN RING RD,2020-09,YISHUN,4 ROOM,01 TO 03,96.0,New Generation,1985,63 years 07 months,340000.0,140 YISHUN RING ROAD,"1.4311779, 103.83056875",0.092828386,1
140,YISHUN RING RD,2020-10,YISHUN,3 ROOM,07 TO 09,68.0,New Generation,1985,63 years 07 months,275000.0,140 YISHUN RING ROAD,"1.4311779, 103.83056875",0.092828386,1
140,YISHUN RING RD,2020-10,YISHUN,3 ROOM,07 TO 09,68.0,New Generation,1985,63 years 06 months,310000.0,140 YISHUN RING ROAD,"1.4311779, 103.83056875",0.092828386,1
726,YISHUN ST 71,2020-01,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1985,64 years 09 months,315000.0,726 YISHUN STREET 71,"1.42655885, 103.83095734812065",0.09665331,1
726,YISHUN ST 71,2020-04,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1985,64 years 07 months,338000.0,726 YISHUN STREET 71,"1.42655885, 103.83095734812065",0.09665331,1
726,YISHUN ST 71,2020-06,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1985,64 years 04 months,313000.0,726 YISHUN STREET 71,"1.42655885, 103.83095734812065",0.09665331,1
726,YISHUN ST 71,2020-09,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,64 years 01 month,320000.0,726 YISHUN STREET 71,"1.42655885, 103.83095734812065",0.09665331,1
726,YISHUN ST 71,2021-01,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,63 years 10 months,310000.0,726 YISHUN STREET 71,"1.42655885, 103.83095734812065",0.09665331,1
137,YISHUN RING RD,2020-01,YISHUN,4 ROOM,01 TO 03,91.0,New Generation,1985,64 years,330000.0,137 YISHUN RING ROAD,"1.4316505, 103.8298906600704",0.09919249,1
727,YISHUN ST 71,2020-03,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1985,64 years 08 months,335000.0,727 YISHUN STREET 71,"1.4262134, 103.83098410217809",0.10349591,1
727,YISHUN ST 71,2020-03,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1985,64 years 08 months,316800.0,727 YISHUN STREET 71,"1.4262134, 103.83098410217809",0.10349591,1
138,YISHUN RING RD,2020-09,YISHUN,3 ROOM,01 TO 03,68.0,New Generation,1984,63 years 01 month,265000.0,138 YISHUN RING ROAD,"1.43162805, 103.8305786",0.10397782,1
