block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
699,HOUGANG ST 52,2020-06,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1999,77 years 10 months,468000.0,699 HOUGANG STREET 52,"1.3761368, 103.8892811",0.048766725,1
699,HOUGANG ST 52,2020-11,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1999,77 years 04 months,525000.0,699 HOUGANG STREET 52,"1.3761368, 103.8892811",0.048766725,1
699,HOUGANG ST 52,2021-01,HOUGANG,5 ROOM,13 TO 15,120.0,Improved,1999,77 years 02 months,538888.0,699 HOUGANG STREET 52,"1.3761368, 103.8892811",0.048766725,1
699,HOUGANG ST 52,2021-02,HOUGANG,5 ROOM,07 TO 09,120.0,Improved,1999,77 years,528889.0,699 HOUGANG STREET 52,"1.3761368, 103.8892811",0.048766725,1
516,HOUGANG AVE 10,2020-06,HOUGANG,4 ROOM,04 TO 06,84.0,Simplified,1986,65 years 04 months,345000.0,516 HOUGANG AVENUE 10,"1.3727498, 103.88904455028234",0.07466238,1
516,HOUGANG AVE 10,2020-06,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1986,65 years 03 months,420000.0,516 HOUGANG AVENUE 10,"1.3727498, 103.88904455028234",0.07466238,1
516,HOUGANG AVE 10,2020-08,HOUGANG,4 ROOM,07 TO 09,90.0,Simplified,1986,65 years,378000.0,516 HOUGANG AVENUE 10,"1.3727498, 103.88904455028234",0.07466238,1
516,HOUGANG AVE 10,2020-09,HOUGANG,4 ROOM,04 TO 06,104.0,Model A,1986,64 years 11 months,490000.0,516 HOUGANG AVENUE 10,"1.3727498, 103.88904455028234",0.07466238,1
699A,HOUGANG ST 52,2021-02,HOUGANG,5 ROOM,07 TO 09,120.0,Improved,1999,77 years,535000.0,699A HOUGANG STREET 52,"1.3768139, 103.88903880097416",0.07996747,1
515,HOUGANG AVE 10,2020-01,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1986,65 years 08 months,413000.0,515 HOUGANG AVENUE 10,"1.3724033, 103.88904685028234",0.08106441,1
515,HOUGANG AVE 10,2020-03,HOUGANG,4 ROOM,01 TO 03,84.0,Simplified,1986,65 years 06 months,318000.0,515 HOUGANG AVENUE 10,"1.3724033, 103.88904685028234",0.08106441,1
515,HOUGANG AVE 10,2021-01,HOUGANG,4 ROOM,07 TO 09,84.0,Simplified,1986,64 years 09 months,410000.0,515 HOUGANG AVENUE 10,"1.3724033, 103.88904685028234",0.08106441,1
568,HOUGANG ST 51,2020-11,HOUGANG,5 ROOM,16 TO 18,117.0,Improved,1997,75 years 05 months,500000.0,568 HOUGANG STREET 51,"1.37795705, 103.88896757025897",0.10856615,1
567,HOUGANG ST 51,2020-01,HOUGANG,5 ROOM,10 TO 12,117.0,Improved,1997,76 years 04 months,505000.0,567 HOUGANG STREET 51,"1.3787140500000001, 103.88907218230408",0.120093584,1
567,HOUGANG ST 51,2020-06,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1997,76 years 02 months,368000.0,567 HOUGANG STREET 51,"1.3787140500000001, 103.88907218230408",0.120093584,1
567,HOUGANG ST 51,2020-10,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1997,75 years 09 months,390000.0,567 HOUGANG STREET 51,"1.3787140500000001, 103.88907218230408",0.120093584,1
567,HOUGANG ST 51,2020-11,HOUGANG,5 ROOM,13 TO 15,117.0,Improved,1997,75 years 06 months,530000.0,567 HOUGANG STREET 51,"1.3787140500000001, 103.88907218230408",0.120093584,1
555,HOUGANG ST 51,2021-01,HOUGANG,4 ROOM,01 TO 03,103.0,Model A,1992,70 years 09 months,408000.0,555 HOUGANG STREET 51,"1.37946085, 103.88955979868054",0.12837619,1
555,HOUGANG ST 51,2021-02,HOUGANG,4 ROOM,04 TO 06,103.0,Model A,1992,70 years 08 months,396000.0,555 HOUGANG STREET 51,"1.37946085, 103.88955979868054",0.12837619,1
521,HOUGANG AVE 6,2020-06,HOUGANG,5 ROOM,04 TO 06,121.0,Improved,1987,66 years 05 months,550000.0,521 HOUGANG AVENUE 6,"1.3731529, 103.8906705719497",0.13227458,1
834,HOUGANG CTRL,2020-09,HOUGANG,EXECUTIVE,01 TO 03,147.0,Maisonette,1992,70 years 11 months,745000.0,834 HOUGANG CENTRAL,"1.3700252000000002, 103.89001678421756",0.13455169,1
835,HOUGANG CTRL,2020-11,HOUGANG,4 ROOM,13 TO 15,104.0,Model A,1992,70 years 11 months,505000.0,835 HOUGANG CENTRAL,"1.3702811000000001, 103.89015150181818",0.13522987,1
830,HOUGANG CTRL,2020-03,HOUGANG,4 ROOM,13 TO 15,105.0,Model A,1992,71 years 07 months,504000.0,830 HOUGANG CENTRAL,"1.3708038, 103.89036990239734",0.13833205,1
830,HOUGANG CTRL,2020-07,HOUGANG,5 ROOM,07 TO 09,124.0,Improved,1992,71 years 03 months,555000.0,830 HOUGANG CENTRAL,"1.3708038, 103.89036990239734",0.13833205,1
552,HOUGANG ST 51,2020-06,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1990,68 years 09 months,420000.0,552 HOUGANG STREET 51,"1.37875875, 103.8903942",0.14527625,1
552,HOUGANG ST 51,2020-09,HOUGANG,4 ROOM,04 TO 06,104.0,Model A,1990,68 years 05 months,370000.0,552 HOUGANG STREET 51,"1.37875875, 103.8903942",0.14527625,1
552,HOUGANG ST 51,2020-10,HOUGANG,4 ROOM,04 TO 06,104.0,Model A,1990,68 years 04 months,400000.0,552 HOUGANG STREET 51,"1.37875875, 103.8903942",0.14527625,1
504,HOUGANG AVE 8,2020-03,HOUGANG,4 ROOM,04 TO 06,84.0,Simplified,1987,66 years 05 months,339000.0,504 HOUGANG AVENUE 8,"1.3733647, 103.88821347490706",0.1511038,1
504,HOUGANG AVE 8,2020-12,HOUGANG,4 ROOM,04 TO 06,84.0,Simplified,1987,65 years 09 months,350000.0,504 HOUGANG AVENUE 8,"1.3733647, 103.88821347490706",0.1511038,1
504,HOUGANG AVE 8,2021-01,HOUGANG,4 ROOM,04 TO 06,84.0,Simplified,1987,65 years 07 months,370000.0,504 HOUGANG AVENUE 8,"1.3733647, 103.88821347490706",0.1511038,1
504,HOUGANG AVE 8,2021-02,HOUGANG,4 ROOM,07 TO 09,103.0,Model A,1987,65 years 06 months,425000.0,504 HOUGANG AVENUE 8,"1.3733647, 103.88821347490706",0.1511038,1
553,HOUGANG ST 51,2020-02,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1989,68 years 07 months,455000.0,553 HOUGANG STREET 51,"1.37908025, 103.8903931",0.15177912,1
